Region,"Town / Township","Quarter / Village Tract","Postal Code"
Ayeyarwady Region,"Pathein Township","No (1) Quarter",1001001
Ayeyarwady Region,"Pathein Township","No (2) Quarter",1001002
Ayeyarwady Region,"Pathein Township","No (3) Quarter",1001003
Ayeyarwady Region,"Pathein Township","No (4) Quarter",1001004
Ayeyarwady Region,"Pathein Township","No (5) Quarter",1001005
Ayeyarwady Region,"Pathein Township","No (6) Quarter",1001006
Ayeyarwady Region,"Pathein Township","No (7) Quarter",1001007
Ayeyarwady Region,"Pathein Township","No (8) Quarter",1001008
Ayeyarwady Region,"Pathein Township","No (9) Quarter",1001009
Ayeyarwady Region,"Pathein Township","No (10) Quarter",1001010
Ayeyarwady Region,"Pathein Township","No (11) (Kan To Min Nei Myay) Quarter",1001011
Ayeyarwady Region,"Pathein Township","No (12)  (Yae  Kyi U ) Quarter",1001012
Ayeyarwady Region,"Pathein Township","No (13)  (Shwe Wit Hmon ) Quarter",1001013
Ayeyarwady Region,"Pathein Township","No (14) Quarter",1001014
Ayeyarwady Region,"Pathein Township","No (15) Quarter",1001015
Ayeyarwady Region,"Pathein Township","Shan Kwin Village Tract",1001200
Ayeyarwady Region,"Pathein Township","Shaw Pyar Village Tract",1001201
Ayeyarwady Region,"Pathein Township","Ywar Thit Village Tract",1001202
Ayeyarwady Region,"Pathein Township","Htan Kant Lant Village Tract",1001203
Ayeyarwady Region,"Pathein Township","Kyauk Chaung Gyi Village Tract",1001204
Ayeyarwady Region,"Pathein Township","Min Kone Village Tract",1001205
Ayeyarwady Region,"Pathein Township","Ah Nan Kone Village Tract",1001206
Ayeyarwady Region,"Pathein Township","Kan Ni Village Tract",1001207
Ayeyarwady Region,"Pathein Township","Kyaung Pan Kone Village Tract",1001208
Ayeyarwady Region,"Pathein Township","Lin Win Gyi Village Tract",1001209
Ayeyarwady Region,"Pathein Township","Kwin Pauk Gyi Village Tract",1001210
Ayeyarwady Region,"Pathein Township","Pan Pin Seik Village Tract",1001211
Ayeyarwady Region,"Pathein Township","Gway Kone Village Tract",1001212
Ayeyarwady Region,"Pathein Township","Yae Ma Nay Pin Kaing Village Tract",1001213
Ayeyarwady Region,"Pathein Township","U To Village Tract",1001214
Ayeyarwady Region,"Pathein Township","Hpa Yar Chaung Village Tract",1001215
Ayeyarwady Region,"Pathein Township","Lein Kone Village Tract",1001216
Ayeyarwady Region,"Pathein Township","Htan Kone Village Tract",1001217
Ayeyarwady Region,"Pathein Township","Wet Gyi Kwin Village Tract",1001218
Ayeyarwady Region,"Pathein Township","Htein Lay Pin Lin Win Gyi Village Tract",1001219
Ayeyarwady Region,"Pathein Township","Let Pan Village Tract",1001220
Ayeyarwady Region,"Pathein Township","Me Za Li Village Tract",1001221
Ayeyarwady Region,"Pathein Township","Ywar Haung Gyi Village Tract",1001222
Ayeyarwady Region,"Pathein Township","Yae Twin Chaung Village Tract",1001223
Ayeyarwady Region,"Pathein Township","Taung Tan Kone Village Tract",1001224
Ayeyarwady Region,"Pathein Township","Kyet Paung Village Tract",1001225
Ayeyarwady Region,"Pathein Township","Moe Goke Village Tract",1001226
Ayeyarwady Region,"Pathein Township","Tun Pa Lun Village Tract",1001227
