Region,"Town / Township","Quarter / Village Tract","Postal Code"
Ayeyarwady,"Pathein Township","No (1) Quarter",1001001
Ayeyarwady,"Pathein Township","No (2) Quarter",1001002
Ayeyarwady,"Pathein Township","No (3) Quarter",1001003
Ayeyarwady,"Pathein Township","No (4) Quarter",1001004
Ayeyarwady,"Pathein Township","No (5) Quarter",1001005
Ayeyarwady,"Pathein Township","No (6) Quarter",1001006
Ayeyarwady,"Pathein Township","No (7) Quarter",1001007
Ayeyarwady,"Pathein Township","No (8) Quarter",1001008
Ayeyarwady,"Pathein Township","No (9) Quarter",1001009
Ayeyarwady,"Pathein Township","No (10) Quarter",1001010
Ayeyarwady,"Pathein Township","No (11) (Kan To Min Nei Myay) Quarter",1001011
Ayeyarwady,"Pathein Township","No (12)  (Yae  Kyi U ) Quarter",1001012
Ayeyarwady,"Pathein Township","No (13)  (Shwe Wit Hmon ) Quarter",1001013
Ayeyarwady,"Pathein Township","No (14) Quarter",1001014
Ayeyarwady,"Pathein Township","No (15) Quarter",1001015
Ayeyarwady,"Kangyidaunt Township","No (1) Quarter",1002001
Ayeyarwady,"Kangyidaunt Township","No (2) Quarter",1002002
Ayeyarwady,"Kangyidaunt Township","No (3) Quarter",1002003
Ayeyarwady,"Kangyidaunt Township","No (4) Quarter",1002004
Ayeyarwady,"Kangyidaunt Township","No (5) Quarter",1002005
Ayeyarwady,"Kangyidaunt Township","No (6) Quarter",1002006
Ayeyarwady,"Kangyidaunt Township","No (7) Quarter",1002007
Ayeyarwady,"Kyangin Township","Myo Ma Quarter",1003001
Ayeyarwady,"Kyangin Township","Ywar Thit Quarter",1003002
Ayeyarwady,"Kyangin Township","Shwe Taung Su Quarter",1003003
Ayeyarwady,"Myanaung Township","No (1) Quarter",1004001
Ayeyarwady,"Myanaung Township","No (2) Quarter",1004002
Ayeyarwady,"Myanaung Township","No (3) Quarter",1004003
Ayeyarwady,"Myanaung Township","No (4) Quarter",1004004
