Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Bago Region (East)","Bago Township","Myo Twin (East-Ka Gyi) Quarter",0801001
"Bago Region (East)","Bago Township","Myo Twin (East-Kha Gway) Quarter",0801002
"Bago Region (East)","Bago Township","Myo Twin (West-Ka Gyi) Quarter",0801003
"Bago Region (East)","Bago Township","Myo Twin (West-Kha Gway) Quarter",0801004
"Bago Region (East)","Bago Township","Leik Pyar Kan Quarter",0801005
"Bago Region (East)","Bago Township","Pon Nar Su Quarter",0801006
"Bago Region (East)","Bago Township","Pan Hlaing Quarter",0801007
"Bago Region (East)","Bago Township","Zay Paing Quarter",0801008
"Bago Region (East)","Bago Township","Nyaung Waing (South) Quarter",0801009
"Bago Region (East)","Bago Township","Nyaung Waing (North) Quarter",0801010
"Bago Region (East)","Bago Township","Thun Hpa Yar Kone Quarter",0801011
"Bago Region (East)","Bago Township","Kyauk Gyi Su Quarter",0801012
"Bago Region (East)","Bago Township","Zyaing Ga Naing (South) Quarter",0801013
"Bago Region (East)","Bago Township","Zyaing Ga Naing (North) Quarter",0801014
"Bago Region (East)","Bago Township","Ma Zin (Ka Gyi) Quarter",0801015
"Bago Region (East)","Bago Township","Ma Zin (Kha Gway) Quarter",0801016
"Bago Region (East)","Bago Township","Ma Zin( Ga Nge) Quarter",0801017
"Bago Region (East)","Bago Township","Hin Thar Kone Quarter",0801018
"Bago Region (East)","Bago Township","Bo Kone Quarter",0801019
"Bago Region (East)","Bago Township","Han Thar Wa Di Quarter",0801020
"Bago Region (East)","Bago Township","Ywar Thit Quarter",0801021
"Bago Region (East)","Bago Township","Myo Thit Quarter",0801022
"Bago Region (East)","Bago Township","No (1) Quarter",0801023
"Bago Region (East)","Bago Township","No (2) Quarter",0801024
"Bago Region (East)","Bago Township","No (3) Quarter",0801025
"Bago Region (East)","Bago Township","No (4) Quarter",0801026
"Bago Region (East)","Bago Township","No (5) Quarter",0801027
"Bago Region (East)","Bago Township","No (6) Quarter",0801028
"Bago Region (East)","Bago Township","No (7) Quarter",0801029
"Bago Region (East)","Bago Township","No (8) Quarter",0801030
"Bago Region (East)","Bago Township","No (9) Quarter",0801031
"Bago Region (East)","Bago Township","Me Khon Village Tract",0801200
"Bago Region (East)","Bago Township","Ka Twin Chan Village Tract",0801201
"Bago Region (East)","Bago Township","Hmon Taing Village Tract",0801202
"Bago Region (East)","Bago Township","Ka Mar Nat Village Tract",0801203
"Bago Region (East)","Bago Township","Zay Nyaung Pin Village Tract",0801204
"Bago Region (East)","Bago Township","Ah Htet Si Dee (West) Village Tract",0801205
"Bago Region (East)","Bago Township","Ah Htet Si Dee (East) Village Tract",0801206
"Bago Region (East)","Bago Township","Auk Si Dee (West) Village Tract",0801207
"Bago Region (East)","Bago Township","Auk Si Dee (East) Village Tract",0801208
"Bago Region (East)","Bago Township","Oe Bo Village Tract",0801209
"Bago Region (East)","Bago Township","Saing Di Village Tract",0801210
"Bago Region (East)","Bago Township","Moke Ka La Village Tract",0801211
"Bago Region (East)","Bago Township","Hpa Yar Ka Lay Village Tract",0801212
"Bago Region (East)","Bago Township","Hpa Yar Gyi Village Tract",0801213
"Bago Region (East)","Bago Township","Tat Ka Lay Village Tract",0801214
"Bago Region (East)","Bago Township","Ma Yin Village Tract",0801215
"Bago Region (East)","Bago Township","Ah Waing Village Tract",0801216
"Bago Region (East)","Bago Township","Wan Be Inn Village Tract",0801217
"Bago Region (East)","Bago Township","Ywar Thit Village Tract",0801218
"Bago Region (East)","Bago Township","Pyin Pon Gyi Village Tract",0801219
"Bago Region (East)","Bago Township","Tha Pyay Yoe Village Tract",0801220
"Bago Region (East)","Bago Township","Win Ga Baw Village Tract",0801221
"Bago Region (East)","Bago Township","Shwe Tan Village Tract",0801222
"Bago Region (East)","Bago Township","Let Pan Khon Village Tract",0801223
"Bago Region (East)","Bago Township","Khon Taing Village Tract",0801224
"Bago Region (East)","Bago Township","Pay Pin Chaung Village Tract",0801225
"Bago Region (East)","Bago Township","Shan Ywar Gyi Village Tract",0801226
"Bago Region (East)","Bago Township","Oke Hpo Village Tract",0801227
"Bago Region (East)","Bago Township","Ah Htet Zaing Ga Naing Gyi Village Tract",0801228
"Bago Region (East)","Bago Township","Baw Net Gyi Village Tract",0801229
"Bago Region (East)","Bago Township","Sit Pin Seik Village Tract",0801230
"Bago Region (East)","Bago Township","Kyaik Day Yon Village Tract",0801231
"Bago Region (East)","Bago Township","Pauk Taw Village Tract",0801232
"Bago Region (East)","Bago Township","Inn Ta Kaw Village Tract",0801233
"Bago Region (East)","Bago Township","Kyauk Tan Village Tract",0801234
"Bago Region (East)","Bago Township","Tar Wa Bu Tar Village Tract",0801235
"Bago Region (East)","Bago Township","Kin Paing Chon Village Tract",0801236
"Bago Region (East)","Bago Township","Gwayt Tan Shey Village Tract",0801237
"Bago Region (East)","Bago Township","Htone Gyi Village Tract",0801238
"Bago Region (East)","Bago Township","Kan Ni Village Tract",0801239
"Bago Region (East)","Bago Township","Kawt Che Village Tract",0801240
"Bago Region (East)","Bago Township","Nyaung Inn Village Tract",0801241
"Bago Region (East)","Bago Township","Hnget Pyaw Taw Village Tract",0801242
"Bago Region (East)","Bago Township","Bu Lel Inn Village Tract",0801243
"Bago Region (East)","Bago Township","Htan Pin Chaung Village Tract",0801244
"Bago Region (East)","Bago Township","Let Pan Win Village Tract",0801245
"Bago Region (East)","Bago Township","Kun Paung Village Tract",0801246
"Bago Region (East)","Bago Township","Thar Yar Kone Village Tract",0801247
"Bago Region (East)","Bago Township","La Thar Kone Village Tract",0801248
"Bago Region (East)","Bago Township","Hpa Yar Ngoke To Village Tract",0801249
"Bago Region (East)","Bago Township","Pyin Ma Ngu Village Tract",0801250
"Bago Region (East)","Bago Township","Hmaw Lon Village Tract",0801251
"Bago Region (East)","Bago Township","Zaung Tu Village Tract",0801252
"Bago Region (East)","Bago Township","Zee Taw Village Tract",0801253
"Bago Region (East)","Bago Township","Ta Mar Pin Village Tract",0801254
"Bago Region (East)","Bago Township","Htan Taw Gyi Village Tract",0801255
"Bago Region (East)","Bago Township","Auk Ka Bar Village Tract",0801256
"Bago Region (East)","Bago Township","Kan Myint Village Tract",0801257
"Bago Region (East)","Bago Township","Ah Seik Taung Village Tract",0801258
"Bago Region (East)","Bago Township","War Pyan Kone Village Tract",0801259
