Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Bago Region (East)","Bago Township","Myo Twin (East-Ka Gyi) Quarter",0801001
"Bago Region (East)","Bago Township","Myo Twin (East-Kha Gway) Quarter",0801002
"Bago Region (East)","Bago Township","Myo Twin (West-Ka Gyi) Quarter",0801003
"Bago Region (East)","Bago Township","Myo Twin (West-Kha Gway) Quarter",0801004
"Bago Region (East)","Bago Township","Leik Pyar Kan Quarter",0801005
"Bago Region (East)","Bago Township","Pon Nar Su Quarter",0801006
"Bago Region (East)","Bago Township","Pan Hlaing Quarter",0801007
"Bago Region (East)","Bago Township","Zay Paing Quarter",0801008
"Bago Region (East)","Bago Township","Nyaung Waing (South) Quarter",0801009
"Bago Region (East)","Bago Township","Nyaung Waing (North) Quarter",0801010
"Bago Region (East)","Bago Township","Thun Hpa Yar Kone Quarter",0801011
"Bago Region (East)","Bago Township","Kyauk Gyi Su Quarter",0801012
"Bago Region (East)","Bago Township","Zyaing Ga Naing (South) Quarter",0801013
"Bago Region (East)","Bago Township","Zyaing Ga Naing (North) Quarter",0801014
"Bago Region (East)","Bago Township","Ma Zin (Ka Gyi) Quarter",0801015
"Bago Region (East)","Bago Township","Ma Zin (Kha Gway) Quarter",0801016
"Bago Region (East)","Bago Township","Ma Zin( Ga Nge) Quarter",0801017
"Bago Region (East)","Bago Township","Hin Thar Kone Quarter",0801018
"Bago Region (East)","Bago Township","Bo Kone Quarter",0801019
"Bago Region (East)","Bago Township","Han Thar Wa Di Quarter",0801020
"Bago Region (East)","Bago Township","Ywar Thit Quarter",0801021
"Bago Region (East)","Bago Township","Myo Thit Quarter",0801022
"Bago Region (East)","Bago Township","No (1) Quarter",0801023
"Bago Region (East)","Bago Township","No (2) Quarter",0801024
"Bago Region (East)","Bago Township","No (3) Quarter",0801025
"Bago Region (East)","Bago Township","No (4) Quarter",0801026
"Bago Region (East)","Bago Township","No (5) Quarter",0801027
"Bago Region (East)","Bago Township","No (6) Quarter",0801028
"Bago Region (East)","Bago Township","No (7) Quarter",0801029
"Bago Region (East)","Bago Township","No (8) Quarter",0801030
"Bago Region (East)","Bago Township","No (9) Quarter",0801031
"Bago Region (East)","Kyauktaga Township","Kwin (West) Quarter",0802001
"Bago Region (East)","Kyauktaga Township","Sar Taik Quarter",0802002
"Bago Region (East)","Kyauktaga Township","Zay Paing Quarter",0802003
"Bago Region (East)","Kyauktaga Township","Kwin (South) Quarter",0802004
"Bago Region (East)","Kyauktaga Township","Kwin (North) Quarter",0802005
"Bago Region (East)","Nyaunglebin Township","Myo Ma No (1) Quarter",0803001
"Bago Region (East)","Nyaunglebin Township","Myo Ma  No  (2) Quarter",0803002
"Bago Region (East)","Nyaunglebin Township","Myo Ma  No (3) Quarter",0803003
"Bago Region (East)","Nyaunglebin Township","Myo Ma  No (4) Quarter",0803004
"Bago Region (East)","Nyaunglebin Township","Myo Ma  No (5) Quarter",0803005
"Bago Region (East)","Kyaukkyi Township","Bago Quarter",0804001
"Bago Region (East)","Kyaukkyi Township","Sar Tan Quarter",0804002
"Bago Region (East)","Kyaukkyi Township","Kat Kyay Quarter",0804003
"Bago Region (East)","Kyaukkyi Township","Thein Tan Quarter",0804004
"Bago Region (East)","Kyaukkyi Township","Taungoo Tan Quarter",0804005
"Bago Region (East)","Kyaukkyi Township","Myit Tar Quarter",0804006
"Bago Region (East)","Kyaukkyi Township","Laung Poke Quarter",0804007
"Bago Region (East)","Shwegyin Township","Ma Gyi Tan Quarter",0805001
"Bago Region (East)","Shwegyin Township","Pwe Kone Quarter",0805002
"Bago Region (East)","Shwegyin Township","Kyay Nan Tan + Shan Kone Quarter",0805003
"Bago Region (East)","Shwegyin Township","Pyin Ma Pin Quarter",0805004
"Bago Region (East)","Shwegyin Township","Gant Gaw Waing Quarter",0805005
"Bago Region (East)","Shwegyin Township","Pan Be Dan Quarter",0805006
"Bago Region (East)","Shwegyin Township","Ta Yoke Tan + Nyaung Waing Quarter",0805007
"Bago Region (East)","Shwegyin Township","Kywe Te Quarter",0805008
"Bago Region (East)","Daik-U Township","Zay Paing Quarter",0806001
"Bago Region (East)","Daik-U Township","Kon Thei Quarter",0806002
"Bago Region (East)","Daik-U Township","War So Quarter",0806003
"Bago Region (East)","Daik-U Township","Kyaung Su Quarter",0806004
"Bago Region (East)","Daik-U Township","Than Ta Dar Quarter",0806005
"Bago Region (East)","Daik-U Township","Min Te Quarter",0806006
"Bago Region (East)","Daik-U Township","Set Kwin Quarter",0806007
"Bago Region (East)","Daik-U Township","Da Yei Mee Quarter",0806008
"Bago Region (East)","Daik-U Township","Hpa Aung Wea Quarter",0806009
"Bago Region (East)","Waw Township","Kan Taw Quarter",0807001
"Bago Region (East)","Waw Township","Thit Set Quarter",0807002
"Bago Region (East)","Waw Township","Chan Mya Thar Si Quarter",0807003
"Bago Region (East)","Waw Township","Aye Chan Thar Yar Quarter",0807004
"Bago Region (East)","Waw Township","Boe Bon Quarter",0807005
"Bago Region (East)","Waw Township","Waw Ah Shey Bet Kan Quarter",0807006
"Bago Region (East)","Thanatpin Township","Zay Paing Quarter",0808001
"Bago Region (East)","Thanatpin Township","Auk Su Paing Quarter",0808002
"Bago Region (East)","Thanatpin Township","Hpa Yar Gyi Paing Quarter",0808003
"Bago Region (East)","Thanatpin Township","Bu Tar Paing Quarter",0808004
"Bago Region (East)","Thanatpin Township","Set Kone Paing Quarter",0808005
"Bago Region (East)","Thanatpin Township","Ywar Thit Paing Quarter",0808006
"Bago Region (East)","Kawa Township","Kawa Ywar Thit Quarter",0809001
"Bago Region (East)","Kawa Township","Ta Dar Gyi Quarter",0809002
"Bago Region (East)","Kawa Township","Kyaung Gyi Quarter",0809003
"Bago Region (East)","Kawa Township","Min Paing Quarter",0809004
"Bago Region (East)","Kawa Township","Yone Gyi Quarter",0809005
"Bago Region (East)","Kawa Township","Kha May Lay Quarter",0809006
"Bago Region (East)","Taungoo Township","Htee Hlaing Quarter",0810001
"Bago Region (East)","Taungoo Township","Rakhine Su /Nay Pu Kone Quarter",0810002
"Bago Region (East)","Taungoo Township","Yoe Da Yar Tan Quarter",0810003
"Bago Region (East)","Taungoo Township","Kyet Ti Quarter",0810004
"Bago Region (East)","Taungoo Township","Pan Be Dan (South) Quarter",0810005
"Bago Region (East)","Taungoo Township","Pan Be Dan (North) Quarter",0810006
