Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Bago Region (West)","Pyay Township","Na Win Ward Quarter",1801001
"Bago Region (West)","Pyay Township","Shwe Ku Quarter",1801002
"Bago Region (West)","Pyay Township","Oe Tan Quarter",1801003
"Bago Region (West)","Pyay Township","San Taw Quarter",1801004
"Bago Region (West)","Pyay Township","Sin Su Quarter",1801005
"Bago Region (West)","Pyay Township","Ywar Be Quarter",1801006
"Bago Region (West)","Pyay Township","Khit Ta Yar Myo Thit Quarter",1801007
"Bago Region (West)","Pyay Township","Pyi Thar Yar Quarter",1801008
"Bago Region (West)","Pyay Township","Na Wa Day Quarter",1801009
"Bago Region (West)","Pyay Township","Shwe Ta Gar Quarter",1801010
"Bago Region (West)","Paukkhaung Township","No (1) Quarter",1802001
"Bago Region (West)","Paukkhaung Township","No (2) Quarter",1802002
"Bago Region (West)","Paukkhaung Township","No (3) Quarter",1802003
"Bago Region (West)","Paukkhaung Township","No (4) Quarter",1802004
"Bago Region (West)","Paukkhaung Township","No (၅) Quarter",1802005
"Bago Region (West)","Padaung Township","Kya Khat Quarter",1803001
"Bago Region (West)","Padaung Township","Min Yat Quarter",1803002
"Bago Region (West)","Padaung Township","Wun Lo Quarter",1803003
"Bago Region (West)","Padaung Township","Si Thar Quarter",1803004
"Bago Region (West)","Padaung Township","Hpaung Kan Quarter",1803005
"Bago Region (West)","Paungde Township","Bweit Pin Kan Quarter",1804001
"Bago Region (West)","Paungde Township","Pyin Pin Kan Quarter",1804002
"Bago Region (West)","Paungde Township","Oke Hpo (1) Ah Shey Quarter",1804003
"Bago Region (West)","Paungde Township","Oke Hpo (2) Ah Nauk Quarter",1804004
"Bago Region (West)","Paungde Township","Zay (1) Quarter",1804005
"Bago Region (West)","Paungde Township","Zay (2) Quarter",1804006
"Bago Region (West)","Paungde Township","Min Kwet (1) Quarter",1804007
"Bago Region (West)","Paungde Township","Min Kwet  (2) Quarter",1804008
"Bago Region (West)","Paungde Township","Min Kwet (3) Quarter",1804009
"Bago Region (West)","Paungde Township","Nwe Cho (1) Quarter",1804010
"Bago Region (West)","Paungde Township","Nwe Cho (2) Quarter",1804011
"Bago Region (West)","Paungde Township","Hin Thar Kan Quarter",1804012
"Bago Region (West)","Thegon Township","Myo Ma Quarter",1805001
"Bago Region (West)","Thegon Township","Kan Taw Min Ga Lar Quarter",1805002
"Bago Region (West)","Thegon Township","Htan Yin Quarter",1805003
"Bago Region (West)","Thegon Township","Pauk Taw Quarter",1805004
"Bago Region (West)","Shwedaung Township","Tha Yet Taw Quarter",1806001
"Bago Region (West)","Shwedaung Township","Kyar Ni Kan Quarter",1806002
"Bago Region (West)","Shwedaung Township","Yun Tan Quarter",1806003
"Bago Region (West)","Thayarwady Township","Zay Paing Quarter",1807001
"Bago Region (West)","Thayarwady Township","Kwet Thit Quarter",1807002
