Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Chin State","Hakha Township","Zay Haung Quarter",0301001
"Chin State","Hakha Township","Zay Thit Quarter",0301002
"Chin State","Hakha Township","Pyi Taw Thar Quarter",0301003
"Chin State","Hakha Township","Kyaw Boke Quarter",0301004
"Chin State","Hakha Township","Myo Haung Quarter",0301005
"Chin State","Hakha Township","Myo Thit Quarter",0301006
"Chin State","Hakha Township","Hakha Htar (1) Quarter",0301007
"Chin State","Hakha Township","Hakha Htar (2) Quarter",0301008
"Chin State","Thantlang Township","No (1) Ward Quarter",0302001
"Chin State","Thantlang Township","No (2) Ward Quarter",0302002
"Chin State","Thantlang Township","No (3) Ward Quarter",0302003
"Chin State","Falam Township","Cinmual Ward Quarter",0303001
"Chin State","Falam Township","Balai Ward Quarter",0303002
"Chin State","Falam Township","Phathauk Ward Quarter",0303003
"Chin State","Falam Township","Tlanlau Ward Quarter",0303004
"Chin State","Falam Township","Laizo Ward Quarter",0303005
"Chin State","Falam Township","Lailun Ward Quarter",0303006
"Chin State","Falam Township","Lungpi Ward Quarter",0303007
"Chin State","Falam Township","Zalai Ward Quarter",0303008
"Chin State","Tedim Township","Sakollam Quarter",0304001
"Chin State","Tedim Township","Myo Ma Quarter",0304002
"Chin State","Tedim Township","Lawibual Quarter",0304003
"Chin State","Tedim Township","Lay Lwam Quarter",0304004
"Chin State","Tonzang Township","Khuavung (Laysan) Quarter",0305001
"Chin State","Tonzang Township","Khualai (Gozan) Quarter",0305002
"Chin State","Matupi Township","Cangbong Quarter",0306001
"Chin State","Matupi Township","Khoboi Quarter",0306002
"Chin State","Matupi Township","Lungvan Quarter",0306003
"Chin State","Matupi Township","Ngalar Quarter",0306004
"Chin State","Mindat Township","Ah Shey Pyin Quarter",0307001
"Chin State","Mindat Township","Ba Wa Thit Quarter",0307002
"Chin State","Mindat Township","San Pya Quarter",0307003
"Chin State","Mindat Township","Ah Nauk Quarter",0307004
"Chin State","Kanpetlet Township","No (1) Quarter",0308001
"Chin State","Kanpetlet Township","No (2) Quarter",0308002
"Chin State","Paletwa Township","Myo Ma Quarter",0309001
"Chin State","Paletwa Township","Ywar Ma Quarter",0309002
"Chin State","Paletwa Township","Yeik Khar Quarter",0309003
"Chin State","Paletwa Township","KinWa Quarter",0309004
"Chin State","Surkhua Town","Hseng Lo Tar Quarter",0360001
"Chin State","Surkhua Town","Sa Lung Pu Quarter",0360002
"Chin State","Hnaring Town","No (1) Quarter",0361001
"Chin State","Hnaring Town","No (2) Quarter",0361002
"Chin State","Rihkhawdar Town","No (1) Quarter",0362001
"Chin State","Rihkhawdar Town","No (2) Quarter",0362002
"Chin State","Webula Town","Myo Ma Quarter",0363001
"Chin State","Webula Town","Kyan Bar Yi Quarter",0363002
"Chin State","Webula Town","Lone That Quarter",0363003
"Chin State","Webula Town","Mualzawl Quarter",0363004
"Chin State","Khaikam Town","No (1) Quarter",0364001
"Chin State","Khaikam Town","No (2) Quarter",0364002
"Chin State","Khaikam Town","No (3) Quarter",0364003
"Chin State","Khaikam Town","No (4) Quarter",0364004
"Chin State","Cikha Town","No (1) Quarter",0365001
"Chin State","Cikha Town","No (2) Quarter",0365002
"Chin State","Rezua Town","Myo Ma Quarter",0366001
"Chin State","Rezua Town","In Yaw Quarter",0366002
"Chin State","Rezua Town","Mual Pi Quarter",0366003
"Chin State","Rezua Town","Laung Ye Quarter",0366004
"Chin State","Lalengpi Town","No (1) Quarter",0367001
"Chin State","Lalengpi Town","No (2) Quarter",0367002
"Chin State","M'kuiimnu Town","M'kuiimnu Quarter",0368001
"Chin State","M'kuiimnu Town","Kyon Laung Quarter",0368002
"Chin State","M'kuiimnu Town","Htein Pyone Quarter",0368003
"Chin State","M'kuiimnu Town","Vi Nu Quarter",0368004
"Chin State","Kyin Dway Town","Kyin Dway Quarter",0369001
"Chin State","Kyin Dway Town","Hoke Pon Kyin Quarter",0369002
"Chin State","Kyin Dway Town","Hpone Twi Kyin Quarter",0369003
"Chin State","Kyin Dway Town","Htan Kone Quarter",0369004
"Chin State","Samee Town","No (1) Quarter",0370001
"Chin State","Samee Town","No (2) Quarter",0370002
"Chin State","Samee Town","No (3) Quarter",0370003
