Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Chin State","Hakha Township","Khuabe Village Tract",0301200
"Chin State","Hakha Township","Hniarlawn Village Tract",0301201
"Chin State","Hakha Township","Loklung Village Tract",0301202
"Chin State","Hakha Township","Tiphul Village Tract",0301203
"Chin State","Hakha Township","Chuncung Village Tract",0301204
"Chin State","Hakha Township","Hranhring Village Tract",0301205
"Chin State","Hakha Township","Zokhua Village Tract",0301206
"Chin State","Hakha Township","Bualtak Village Tract",0301207
"Chin State","Hakha Township","Malsawm Village Tract",0301208
"Chin State","Hakha Township","Tinam Village Tract",0301209
"Chin State","Hakha Township","Rinpi Village Tract",0301210
"Chin State","Hakha Township","Haiphai Village Tract",0301211
"Chin State","Hakha Township","Farrawn Village Tract",0301212
"Chin State","Hakha Township","Dauchim Village Tract",0301213
"Chin State","Hakha Township","Vanhar Village Tract",0301214
"Chin State","Hakha Township","Ruan Village Tract",0301215
"Chin State","Hakha Township","Surkhua Village Tract",0301216
"Chin State","Hakha Township","Lungtar Village Tract",0301217
"Chin State","Hakha Township","Cangva Village Tract",0301218
"Chin State","Hakha Township","Sumsen Village Tract",0301219
"Chin State","Hakha Township","Lungrang Village Tract",0301220
"Chin State","Hakha Township","Phaipha (A) Village Tract",0301221
"Chin State","Hakha Township","Dumva Village Tract",0301222
"Chin State","Hakha Township","Sakta Village Tract",0301223
"Chin State","Hakha Township","Bungtuah Village Tract",0301224
"Chin State","Hakha Township","Khuapi Village Tract",0301225
"Chin State","Hakha Township","Buanlung Village Tract",0301226
"Chin State","Hakha Township","Dongva Village Tract",0301227
"Chin State","Hakha Township","Lungkhin Village Tract",0301228
"Chin State","Hakha Township","Leipi Village Tract",0301229
"Chin State","Thantlang Township","Tlangkhua Village Tract",0302200
"Chin State","Thantlang Township","Tikhuangtum Village Tract",0302201
"Chin State","Thantlang Township","Lungzarh Village Tract",0302202
"Chin State","Thantlang Township","Tlangte Village Tract",0302203
