Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Kachin State","Myitkyina Township","Aye Yar Quarter",0101001
"Kachin State","Myitkyina Township","Thi Dar Quarter",0101002
"Kachin State","Myitkyina Township","Yan Gyi Aung Quarter",0101003
"Kachin State","Myitkyina Township","Du Ka Htaung Quarter",0101004
"Kachin State","Myitkyina Township","Myo Ma Quarter",0101005
"Kachin State","Myitkyina Township","Min Yat Quarter",0101006
"Kachin State","Myitkyina Township","Shan Su (North) Quarter",0101007
"Kachin State","Myitkyina Township","Shan Su (South) Quarter",0101008
"Kachin State","Myitkyina Township","Kachin Su Quarter",0101009
"Kachin State","Myitkyina Township","Kyun Pin Thar Quarter",0101010
"Kachin State","Myitkyina Township","Aye Zay Di Quarter",0101011
"Kachin State","Myitkyina Township","Shwe Nyaung Pin Quarter",0101012
"Kachin State","Myitkyina Township","Myo Thit Quarter",0101013
"Kachin State","Myitkyina Township","Aung Nan Yeik Thar Quarter",0101014
"Kachin State","Myitkyina Township","Khay Mar Thi Ri Quarter",0101015
"Kachin State","Myitkyina Township","Yu Za Na Quarter",0101016
"Kachin State","Myitkyina Township","Myay Myint Quarter",0101017
"Kachin State","Myitkyina Township","Shwe Set Quarter",0101018
"Kachin State","Myitkyina Township","Man Khein Quarter",0101019
"Kachin State","Myitkyina Township","Tat Kone Quarter",0101020
"Kachin State","Myitkyina Township","Si Tar Pu Quarter",0101021
"Kachin State","Myitkyina Township","Ram Pu Quarter",0101022
"Kachin State","Myitkyina Township","Kyet Paung Chan Quarter",0101023
"Kachin State","Myitkyina Township","Myo Thit Gyi Quarter",0101024
"Kachin State","Myitkyina Township","Lel Kone Quarter",0101025
"Kachin State","Myitkyina Township","Shwe Aik Quarter",0101026
"Kachin State","Myitkyina Township","Shwe Pyi Thar Quarter",0101027
"Kachin State","Myitkyina Township","Pan Ma Ti Quarter",0101028
"Kachin State","Myitkyina Township","Alam Village Tract",0101200
"Kachin State","Myitkyina Township","Nawng Nang Village Tract",0101201
"Kachin State","Myitkyina Township","Pa La Na Sa Khan Myar Village Tract",0101202
"Kachin State","Myitkyina Township","Nam Kyin Village Tract",0101203
"Kachin State","Myitkyina Township","Nam Kwayt Village Tract",0101204
"Kachin State","Myitkyina Township","Pam Ma Ti Village Tract",0101205
"Kachin State","Myitkyina Township","Maw Hpawng Village Tract",0101206
"Kachin State","Myitkyina Township","Sha Daung Village Tract",0101207
"Kachin State","Myitkyina Township","Loi Hkaw Village Tract",0101208
"Kachin State","Myitkyina Township","Tang Hpe Village Tract",0101209
