Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Kayah state","Loikaw Township","Naung Yar (Ka Gyi) Quarter",0901001
"Kayah state","Loikaw Township","Naung Yar (Kha Gway) Quarter",0901002
"Kayah state","Loikaw Township","Daw Au Khu Quarter",0901003
"Kayah state","Loikaw Township","Maing Lone Quarter",0901004
"Kayah state","Loikaw Township","Min Ga Lar Quarter",0901005
"Kayah state","Loikaw Township","Dhammar Yon Quarter",0901006
"Kayah state","Loikaw Township","Zay Paing Quarter",0901007
"Kayah state","Loikaw Township","Shwe Taung Quarter",0901008
"Kayah state","Loikaw Township","Law Da Ma Quarter",0901009
"Kayah state","Loikaw Township","Daw Tan Ma Quarter",0901010
"Kayah state","Loikaw Township","Daw Noe Ku Quarter",0901011
"Kayah state","Loikaw Township","Shan Su Quarter",0901012
"Kayah state","Loikaw Township","Min Su Quarter",0901013
"Kayah state","Loikaw Township","Nar Nat Taw Quarter",0901014
"Kayah state","Loikaw Township","Nam Baw Wan (Ka) Quarter",0901015
"Kayah state","Loikaw Township","Nam Baw Wan (Kha) Quarter",0901016
"Kayah state","Loikaw Township","Aye Ka Ngar Yar Quarter",0901017
"Kayah state","Loikaw Township","Htay Tha Ma Quarter",0901018
"Kayah state","Loikaw Township","Nant Kut Quarter",0901019
"Kayah state","Loikaw Township","Pan Kan Village Tract",0901200
"Kayah state","Loikaw Township","Htee Se Khar Village Tract",0901201
"Kayah state","Loikaw Township","Pein Chit Village Tract",0901202
"Kayah state","Loikaw Township","Noe Koe Village Tract",0901203
"Kayah state","Loikaw Township","Kone Thar Village Tract",0901204
"Kayah state","Loikaw Township","Daw Paw Ka Le Village Tract",0901205
"Kayah state","Loikaw Township","Nwar La Woe Village Tract",0901206
"Kayah state","Loikaw Township","Chi Kei Village Tract",0901207
"Kayah state","Loikaw Township","Ma Htaw Khu Village Tract",0901208
"Kayah state","Loikaw Township","Par Laung Village Tract",0901209
"Kayah state","Loikaw Township","Tee Lon Village Tract",0901210
"Kayah state","Loikaw Township","Law Pi Ta Village Tract",0901211
"Kayah state","Loikaw Township","Htee Ta Ngar Village Tract",0901212
"Kayah state","Demoso Township","Myo Ma Quarter",0902001
"Kayah state","Demoso Township","Sin Taung Village Tract",0902200
"Kayah state","Demoso Township","Hpa Yar Hpyu Village Tract",0902201
"Kayah state","Demoso Township","Nan Mei Khon Village Tract",0902202
"Kayah state","Demoso Township","Oh Kay Village Tract",0902203
"Kayah state","Demoso Township","Daw Bu Ku Village Tract",0902204
"Kayah state","Demoso Township","Saung Du Ywar Thit Village Tract",0902205
"Kayah state","Demoso Township","War Thaw Kho Ywar Thit Village Tract",0902206
"Kayah state","Demoso Township","Thay Su Le Village Tract",0902207
"Kayah state","Demoso Township","Daw Taw Ku Village Tract",0902208
"Kayah state","Demoso Township","Naung Pale Village Tract",0902209
"Kayah state","Demoso Township","Demoso Village Tract",0902210
"Kayah state","Demoso Township","Daw Yauk Khu Village Tract",0902211
"Kayah state","Demoso Township","Khu Pa Yar Village Tract",0902212
"Kayah state","Demoso Township","Lo Bar Kho Village Tract",0902213
"Kayah state","Demoso Township","War Ban Pa Loet Village Tract",0902214
"Kayah state","Demoso Township","Mya Le Village Tract",0902215
"Kayah state","Demoso Township","Saung Du Lar Village Tract",0902216
"Kayah state","Demoso Township","Lo Pu Village Tract",0902217
"Kayah state","Demoso Township","Ho Wan Village Tract",0902218
"Kayah state","Demoso Township","Pan Pet Village Tract",0902219
"Kayah state","Demoso Township","Ngwe Taung Village Tract",0902220
"Kayah state","Demoso Township","San Pya Chauk Maing Village Tract",0902221
"Kayah state","Demoso Township","Daw Ka Law Du Village Tract",0902222
"Kayah state","Demoso Township","Daw Hpu Village Tract",0902223
"Kayah state","Demoso Township","Htee Hpoe Ka Loe Village Tract",0902224
"Kayah state","Demoso Township","Daw Ta Ma Gyi Village Tract",0902225
"Kayah state","Hpruso Township","Nyaung Zin Quarter",0903001
"Kayah state","Hpruso Township","Htee Ta Ye Quarter",0903002
"Kayah state","Hpruso Township","Htee Ku So Quarter",0903003
"Kayah state","Hpruso Township","Dee Dar Ku Quarter",0903004
"Kayah state","Hpruso Township","Law Bu Dar Quarter",0903005
"Kayah state","Hpruso Township","Hpruso Village Tract",0903200
"Kayah state","Hpruso Township","Htee Paw So Village Tract",0903201
"Kayah state","Hpruso Township","Rar Aye Pa Rar Village Tract",0903202
"Kayah state","Hpruso Township","Kay Hlar (Kyei Hpoe Gyi) Village Tract",0903203
"Kayah state","Hpruso Township","Mar Kha Yaw Shey Village Tract",0903204
"Kayah state","Hpruso Township","Mo So Village Tract",0903205
"Kayah state","Hpruso Township","Doe Lar Saw Village Tract",0903206
"Kayah state","Hpruso Township","Doe Pa Rei Village Tract",0903207
"Kayah state","Hpruso Township","Ho Yar Village Tract",0903208
"Kayah state","Hpruso Township","Do Mo Saw Village Tract",0903209
"Kayah state","Hpruso Township","Raw Daw Khaw Village Tract",0903210
"Kayah state","Hpruso Township","Kay Kaw Village Tract",0903211
"Kayah state","Hpruso Township","Tho Thee Hpo Village Tract",0903212
"Kayah state","Hpruso Township","Taw Khu Village Tract",0903213
"Kayah state","Bawlake Township","Kayah Paing Quarter",0904001
"Kayah state","Bawlake Township","Shan Paing Quarter",0904002
"Kayah state","Bawlake Township","Bu Khu Village Tract",0904200
"Kayah state","Bawlake Township","Nan Hpe Village Tract",0904201
"Kayah state","Bawlake Township","Bawlake Village Tract",0904202
"Kayah state","Bawlake Township","Saw Lon Village Tract",0904203
"Kayah state","Bawlake Township","Chi Kweit Village Tract",0904204
"Kayah state","Bawlake Township","Wan Lwe Village Tract",0904205
"Kayah state","Bawlake Township","Nan Lin Village Tract",0904206
"Kayah state","Bawlake Township","Lwei Waing Village Tract",0904207
"Kayah state","Bawlake Township","Hway Aw Village Tract",0904208
"Kayah state","Hpasawng Township","Myauk Paing Quarter",0905001
"Kayah state","Hpasawng Township","Taung Paing Quarter",0905002
"Kayah state","Hpasawng Township","Hpasawng Village Tract",0905200
"Kayah state","Hpasawng Township","Wan Aung Village Tract",0905201
"Kayah state","Hpasawng Township","Ba Han Lawt Village Tract",0905202
"Kayah state","Hpasawng Township","Kwar Khee Village Tract",0905203
"Kayah state","Hpasawng Township","Kaw Thu Doe Village Tract",0905204
"Kayah state","Hpasawng Township","Mawchee Village Tract",0905205
"Kayah state","Hpasawng Township","Mo Sar Khee Village Tract",0905206
"Kayah state","Hpasawng Township","Ka Rei Khee Village Tract",0905207
"Kayah state","Mese Township","Myauk Paing Quarter",0906001
"Kayah state","Mese Township","Taung Paing Quarter",0906002
"Kayah state","Mese Township","Mese Village Tract",0906200
"Kayah state","Mese Township","Ho Gyit Village Tract",0906201
"Kayah state","Mese Township","Mei Se Nan Village Tract",0906202
"Kayah state","Mese Township","Nan Man Village Tract",0906203
"Kayah state","Mese Township","Thar Yar Village Tract",0906204
"Kayah state","Mese Township","Daw Ka Dwee Village Tract",0906205
"Kayah state","Shadaw Township","Aung Chan Thar Quarter",0907001
"Kayah state","Shadaw Township","Zay Paing Quarter",0907002
"Kayah state","Shadaw Township","Taung Paing Quarter",0907003
"Kayah state","Shadaw Township","Ah Lel Paing Quarter",0907004
"Kayah state","Shadaw Township","Shadaw (North) Village Tract",0907200
"Kayah state","Shadaw Township","Shadaw (South) Village Tract",0907201
"Kayah state","Shadaw Township","Shadaw (Middle) Village Tract",0907202
"Kayah state","Shadaw Township","Than Lwin (East) Village Tract",0907203
"Kayah state","Loilen Lay Town","Aung Tay Za Quarter",0960001
"Kayah state","Loilen Lay Town","Aung Theik Di Quarter",0960002
"Kayah state","Loilen Lay Town","Aung Min Ga Lar Quarter",0960003
"Kayah state","Nan Mei Khon Town","Myo Ma Kayan Quarter",0961001
"Kayah state","Nan Mei Khon Town","Myo Ma Shan Quarter",0961002
"Kayah state","Nan Mei Khon Town","Khaw Khu Kayah Quarter",0961003
"Kayah state","Nan Mei Khon Town","Khaw Khu Shan Quarter",0961004
"Kayah state","Ywarthit Town","Myauk Paing Quarter",0962001
"Kayah state","Ywarthit Town","Taung Paing Quarter",0962002
