Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Kayah state","Loikaw Township","Naung Yar (Ka Gyi) Quarter",0901001
"Kayah state","Loikaw Township","Naung Yar (Kha Gway) Quarter",0901002
"Kayah state","Loikaw Township","Daw Au Khu Quarter",0901003
"Kayah state","Loikaw Township","Maing Lone Quarter",0901004
"Kayah state","Loikaw Township","Min Ga Lar Quarter",0901005
"Kayah state","Loikaw Township","Dhammar Yon Quarter",0901006
"Kayah state","Loikaw Township","Zay Paing Quarter",0901007
"Kayah state","Loikaw Township","Shwe Taung Quarter",0901008
"Kayah state","Loikaw Township","Law Da Ma Quarter",0901009
"Kayah state","Loikaw Township","Daw Tan Ma Quarter",0901010
"Kayah state","Loikaw Township","Daw Noe Ku Quarter",0901011
"Kayah state","Loikaw Township","Shan Su Quarter",0901012
"Kayah state","Loikaw Township","Min Su Quarter",0901013
"Kayah state","Loikaw Township","Nar Nat Taw Quarter",0901014
"Kayah state","Loikaw Township","Nam Baw Wan (Ka) Quarter",0901015
"Kayah state","Loikaw Township","Nam Baw Wan (Kha) Quarter",0901016
"Kayah state","Loikaw Township","Aye Ka Ngar Yar Quarter",0901017
"Kayah state","Loikaw Township","Htay Tha Ma Quarter",0901018
"Kayah state","Loikaw Township","Nant Kut Quarter",0901019
"Kayah state","Demoso Township","Myo Ma Quarter",0902001
"Kayah state","Hpruso Township","Nyaung Zin Quarter",0903001
"Kayah state","Hpruso Township","Htee Ta Ye Quarter",0903002
"Kayah state","Hpruso Township","Htee Ku So Quarter",0903003
"Kayah state","Hpruso Township","Dee Dar Ku Quarter",0903004
"Kayah state","Hpruso Township","Law Bu Dar Quarter",0903005
"Kayah state","Bawlake Township","Kayah Paing Quarter",0904001
"Kayah state","Bawlake Township","Shan Paing Quarter",0904002
"Kayah state","Hpasawng Township","Myauk Paing Quarter",0905001
"Kayah state","Hpasawng Township","Taung Paing Quarter",0905002
"Kayah state","Mese Township","Myauk Paing Quarter",0906001
"Kayah state","Mese Township","Taung Paing Quarter",0906002
"Kayah state","Shadaw Township","Aung Chan Thar Quarter",0907001
"Kayah state","Shadaw Township","Zay Paing Quarter",0907002
"Kayah state","Shadaw Township","Taung Paing Quarter",0907003
"Kayah state","Shadaw Township","Ah Lel Paing Quarter",0907004
"Kayah state","Loilen Lay Town","Aung Tay Za Quarter",0960001
"Kayah state","Loilen Lay Town","Aung Theik Di Quarter",0960002
"Kayah state","Loilen Lay Town","Aung Min Ga Lar Quarter",0960003
"Kayah state","Nan Mei Khon Town","Myo Ma Kayan Quarter",0961001
"Kayah state","Nan Mei Khon Town","Myo Ma Shan Quarter",0961002
"Kayah state","Nan Mei Khon Town","Khaw Khu Kayah Quarter",0961003
"Kayah state","Nan Mei Khon Town","Khaw Khu Shan Quarter",0961004
"Kayah state","Ywarthit Town","Myauk Paing Quarter",0962001
"Kayah state","Ywarthit Town","Taung Paing Quarter",0962002
