Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Kayin State","Hpa-An Township","Tha Yet Taw/Myaing Tha Zin/ Kyar Inn Quarter",1301001
"Kayin State","Hpa-An Township","Zay Tan Quarter",1301002
"Kayin State","Hpa-An Township","Ku Seik Quarter",1301003
"Kayin State","Hpa-An Township","Zee Taw Quarter",1301004
"Kayin State","Hpa-An Township","Aung Nan Min Ga Lar Quarter",1301005
"Kayin State","Hpa-An Township","Pyi Htaung Su Quarter",1301006
"Kayin State","Hpa-An Township","Htaung Wi Quarter",1301007
"Kayin State","Hpa-An Township","Ya Da Nar Di Pa Quarter",1301008
"Kayin State","Hpa-An Township","Zwe Man Lwin Quarter",1301009
"Kayin State","Hpa-An Township","Kawt Ta Yoke Ya Village Tract",1301200
"Kayin State","Hpa-An Township","Kawt Hlaik Village Tract",1301201
"Kayin State","Hpa-An Township","Kawt Than Khar Village Tract",1301202
"Kayin State","Hpa-An Township","Kawt Ku Village Tract",1301203
"Kayin State","Hpa-An Township","Kawt Hta Ma Lein Village Tract",1301204
"Kayin State","Hpa-An Township","Kawt Kyaik (Hpa Aun) Village Tract",1301205
"Kayin State","Hpa-An Township","Kawt Thin Village Tract",1301206
"Kayin State","Hpa-An Township","Kawt La Mu Village Tract",1301207
"Kayin State","Hpa-An Township","Kyon Hpe Village Tract",1301208
"Kayin State","Hpa-An Township","Kawt Gun (Hpe Ka Tar) Village Tract",1301209
"Kayin State","Hpa-An Township","Ku Lar Su Village Tract",1301210
"Kayin State","Hpa-An Township","Kyon Sauk Village Tract",1301211
"Kayin State","Hpa-An Township","Kawt Gun (Bar Kut) Village Tract",1301212
"Kayin State","Hpa-An Township","Kawt Yin (Upper) Village Tract",1301213
"Kayin State","Hpa-An Township","Kawt Yin (Lower) Village Tract",1301214
"Kayin State","Hpa-An Township","Kawt Thin Shu (Hta Ma Taing) Village Tract",1301215
"Kayin State","Hpa-An Township","Kawt Sein Ban (Upper) Village Tract",1301216
"Kayin State","Hpa-An Township","Kawt Sein Ban (Lower) Village Tract",1301217
"Kayin State","Hpa-An Township","Kawt Ka Dar Village Tract",1301218
"Kayin State","Hpa-An Township","Kawt Mu Tar Village Tract",1301219
"Kayin State","Hpa-An Township","Kawt Htaw Village Tract",1301220
"Kayin State","Hpa-An Township","Kyon Ma Thwe Village Tract",1301221
"Kayin State","Hpa-An Township","Kyauk Ta Lone Village Tract",1301222
"Kayin State","Hpa-An Township","Kan Kha Ye Village Tract",1301223
"Kayin State","Hpa-An Township","Kaw He Village Tract",1301224
"Kayin State","Hpa-An Township","Kyon Htaw Village Tract",1301225
"Kayin State","Hpa-An Township","Kha Ye (Kan Nar) Village Tract",1301226
"Kayin State","Hpa-An Township","Kha Yar (Ah Pyin) Village Tract",1301227
"Kayin State","Hpa-An Township","Kha Yar (Ah Twin) Village Tract",1301228
"Kayin State","Hpa-An Township","Khe Tauk Village Tract",1301229
"Kayin State","Hpa-An Township","Kha Lauk Htaung Village Tract",1301230
"Kayin State","Hpa-An Township","Gyaing Village Tract",1301231
"Kayin State","Hpa-An Township","San Hpa Ree Village Tract",1301232
"Kayin State","Hpa-An Township","Sin Kyone Village Tract",1301233
"Kayin State","Hpa-An Township","Zar Tha Pyin (East) Village Tract",1301234
"Kayin State","Hpa-An Township","Zar Tha Pyin (West) Village Tract",1301235
"Kayin State","Hpa-An Township","Ta Yoke Hla Village Tract",1301236
"Kayin State","Hpa-An Township","Taw Pon Village Tract",1301237
"Kayin State","Hpa-An Township","Ta Kaung Boe Village Tract",1301238
"Kayin State","Hpa-An Township","Ta Dar U Village Tract",1301239
"Kayin State","Hpa-An Township","Ta Gay Laung Village Tract",1301240
"Kayin State","Hpa-An Township","Me Tha Na Village Tract",1301241
"Kayin State","Hpa-An Township","Htone Aing Village Tract",1301242
"Kayin State","Hpa-An Township","Htaung Wi Village Tract",1301243
