Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Kayin State","Hpa-An Township","Tha Yet Taw/Myaing Tha Zin/ Kyar Inn Quarter",1301001
"Kayin State","Hpa-An Township","Zay Tan Quarter",1301002
"Kayin State","Hpa-An Township","Ku Seik Quarter",1301003
"Kayin State","Hpa-An Township","Zee Taw Quarter",1301004
"Kayin State","Hpa-An Township","Aung Nan Min Ga Lar Quarter",1301005
"Kayin State","Hpa-An Township","Pyi Htaung Su Quarter",1301006
"Kayin State","Hpa-An Township","Htaung Wi Quarter",1301007
"Kayin State","Hpa-An Township","Ya Da Nar Di Pa Quarter",1301008
"Kayin State","Hpa-An Township","Zwe Man Lwin Quarter",1301009
"Kayin State","Thandaunggyi Township","No (1) Quarter",1302001
"Kayin State","Thandaunggyi Township","No (2) Quarter",1302002
"Kayin State","Thandaunggyi Township","No (3) Quarter",1302003
"Kayin State","Thandaunggyi Township","No (4) Quarter",1302004
"Kayin State","Thandaunggyi Township","No (5) Quarter",1302005
"Kayin State","Hpapun Township","No (1) Quarter",1303001
"Kayin State","Hpapun Township","No (2) Quarter",1303002
"Kayin State","Hpapun Township","No (3) Quarter",1303003
"Kayin State","Hpapun Township","No (4) Quarter",1303004
"Kayin State","Hlaingbwe Township","(Ka Gyi) Quarter",1304001
"Kayin State","Hlaingbwe Township","(Kha Gway) Quarter",1304002
"Kayin State","Hlaingbwe Township","(Ga Nge) Quarter",1304003
"Kayin State","Hlaingbwe Township","(Ga Gyi) Quarter",1304004
"Kayin State","Myawaddy Township","No (1) Quarter",1305001
"Kayin State","Myawaddy Township","No (2) Quarter",1305002
"Kayin State","Myawaddy Township","No (3) Quarter",1305003
"Kayin State","Myawaddy Township","No (4) Quarter",1305004
"Kayin State","Myawaddy Township","No (5) Quarter",1305005
"Kayin State","Myawaddy Township","No (6) Quarter",1305006
"Kayin State","Myawaddy Township","No (7) Quarter",1305007
"Kayin State","Kawkareik Township","Chaung Taung Quarter",1306001
"Kayin State","Kawkareik Township","Win Gyi Quarter",1306002
"Kayin State","Kawkareik Township","Ah Lel Tan Quarter",1306003
"Kayin State","Kawkareik Township","Ah Htet Taung Thu Su Quarter",1306004
"Kayin State","Kawkareik Township","Auk Taung Thu Su Quarter",1306005
"Kayin State","Kawkareik Township","Ah Nauk Paing Quarter",1306006
"Kayin State","Kawkareik Township","Ta Dar U Quarter",1306007
"Kayin State","Kyainseikgyi Township","No (1) Quarter",1307001
"Kayin State","Kyainseikgyi Township","No (2) Quarter",1307002
"Kayin State","Kyainseikgyi Township","No (3) Quarter",1307003
"Kayin State","Kyainseikgyi Township","No (4) Quarter",1307004
"Kayin State","Kyainseikgyi Township","No (5) Quarter",1307005
"Kayin State","Kyainseikgyi Township","No (6) Quarter",1307006
"Kayin State","Thandaung Town","No (1) Quarter",1360001
"Kayin State","Thandaung Town","No (2) Quarter",1360002
"Kayin State","Thandaung Town","No (3) Quarter",1360003
"Kayin State","Thandaung Town","No (4) Quarter",1360004
"Kayin State","Leik Tho Town","No (1) Quarter",1361001
"Kayin State","Leik Tho Town","No (2) Quarter",1361002
"Kayin State","Leik Tho Town","No (3) Quarter",1361003
"Kayin State","Leik Tho Town","No (4) Quarter",1361004
"Kayin State","Leik Tho Town","No (5) Quarter",1361005
"Kayin State","Leik Tho Town","No (6) Quarter",1361006
"Kayin State","Baw Ga Li Town","No (1) Quarter",1362001
"Kayin State","Baw Ga Li Town","No (2) Quarter",1362002
"Kayin State","Baw Ga Li Town","No (3) Quarter",1362003
"Kayin State","Baw Ga Li Town","No (4) Quarter",1362004
"Kayin State","Kamarmaung Town","No (1) Quarter",1363001
"Kayin State","Kamarmaung Town","No (2) Quarter",1363002
"Kayin State","Kamarmaung Town","No (3) Quarter",1363003
"Kayin State","Kamarmaung Town","No (4) Quarter",1363004
"Kayin State","Paingkyon Town","No (1) Quarter",1364001
"Kayin State","Paingkyon Town","No (2) Quarter",1364002
"Kayin State","Paingkyon Town","No (3) Quarter",1364003
"Kayin State","Paingkyon Town","No (4) Quarter",1364004
"Kayin State","Paingkyon Town","No (5) Quarter",1364005
"Kayin State","Shan Ywar Thit Town","No (1) Quarter",1365001
"Kayin State","Shan Ywar Thit Town","No (2) Quarter",1365002
"Kayin State","Shan Ywar Thit Town","No (3) Quarter",1365003
"Kayin State","Shan Ywar Thit Town","No (4) Quarter",1365004
"Kayin State","Su Ka Li Town","No (1) Quarter",1366001
"Kayin State","Waw Lay Myaing (Waw Lay) Town","No (1) Quarter",1367001
"Kayin State","Waw Lay Myaing (Waw Lay) Town","No (2) Quarter",1367002
"Kayin State","Kyondoe Town","No (1) Quarter",1368001
"Kayin State","Kyondoe Town","No (2) Quarter",1368002
"Kayin State","Kyondoe Town","No (3) Quarter",1368003
"Kayin State","Kyondoe Town","No (4) Quarter",1368004
"Kayin State","Hpayarthonesu Town","No (1) Quarter",1369001
"Kayin State","Hpayarthonesu Town","No (2) Ward Quarter",1369002
"Kayin State","Hpayarthonesu Town","No (3) Quarter",1369003
"Kayin State","Hpayarthonesu Town","No (4) Quarter",1369004
"Kayin State","Kyaikdon Town","No (1) Quarter",1370001
"Kayin State","Kyaikdon Town","No (2) Quarter",1370002
"Kayin State","Kyaikdon Town","No (3) Quarter",1370003
"Kayin State","Kyaikdon Town","No (4) Quarter",1370004
"Kayin State","Kyaikdon Town","No (5) Quarter",1370005
"Kayin State","Kyaikdon Town","No (6) Quarter",1370006
