Region,"Town / Township","Quarter / Village Tract","Postal Code"
Magway Region,"Magway Township","Myo Haung Quarter",0401001
Magway Region,"Magway Township","Hson Quarter",0401002
Magway Region,"Magway Township","Zay Lel Soe Quarter",0401003
Magway Region,"Magway Township","Myo Ma Oe Bo Quarter",0401004
Magway Region,"Magway Township","Sar Shwe Kin Quarter",0401005
Magway Region,"Magway Township","Ywar Thit Pwe Kyo Quarter",0401006
Magway Region,"Magway Township","Thein Gar Gi Ri Quarter",0401007
Magway Region,"Magway Township","Pyi Taw Thar Quarter",0401008
Magway Region,"Magway Township","Min Kan Gyi Quarter",0401009
Magway Region,"Magway Township","Kan Thar Quarter",0401010
Magway Region,"Magway Township","Myin Thar Quarter",0401011
Magway Region,"Magway Township","Aung Ya Da Nar Quarter",0401012
Magway Region,"Magway Township","Aung Chan Thar Quarter",0401013
Magway Region,"Magway Township","Aung Min Ga Lar Quarter",0401014
Magway Region,"Magway Township","Aung Myit Tar Quarter",0401015
Magway Region,"Magway Township","Aung Say Ta Nar Quarter",0401016
Magway Region,"Magway Township","Soe Kaw Min Quarter",0401017
Magway Region,"Magway Township","Aing Gyi Kone Village Tract",0401200
Magway Region,"Magway Township","Ah Lel Bo Village Tract",0401201
Magway Region,"Magway Township","Thit Yar Kauk Village Tract",0401202
Magway Region,"Magway Township","Da Hat Kan Village Tract",0401203
Magway Region,"Magway Township","Gyoke Kone Village Tract",0401204
Magway Region,"Magway Township","In Taing Gyi Village Tract",0401205
Magway Region,"Magway Township","Kan Pyar Village Tract",0401206
Magway Region,"Magway Township","Kan Taw Village Tract",0401207
Magway Region,"Magway Township","Kan Thar Gyi Village Tract",0401208
Magway Region,"Magway Township","Kayin Village Tract",0401209
Magway Region,"Magway Township","Kun Ohn Village Tract",0401210
Magway Region,"Magway Township","Kyit Son Pway Village Tract",0401211
Magway Region,"Magway Township","Kyun Pyat Village Tract",0401212
Magway Region,"Magway Township","Let Pu To Village Tract",0401213
Magway Region,"Magway Township","Lat Pa Taw Village Tract",0401214
Magway Region,"Magway Township","Lint Myint Village Tract",0401215
Magway Region,"Magway Township","Ma Gyi Chay Htauk Village Tract",0401216
Magway Region,"Magway Township","Lel Yar Village Tract",0401217
Magway Region,"Magway Township","Mi Kyaung Ye Village Tract",0401218
Magway Region,"Magway Township","Mei Hla Taung Village Tract",0401219
Magway Region,"Magway Township","Ma Gyi Kan Village Tract",0401220
Magway Region,"Magway Township","Tha Pyay San Village Tract",0401221
Magway Region,"Magway Township","Myay Nu Village Tract",0401222
Magway Region,"Magway Township","Myin Kun Village Tract",0401223
Magway Region,"Magway Township","Myin Saing Village Tract",0401224
Magway Region,"Magway Township","Nan Kat Kyun Village Tract",0401225
Magway Region,"Magway Township","Nat Kan Village Tract",0401226
Magway Region,"Magway Township","Ngar Saung Village Tract",0401227
Magway Region,"Magway Township","Nyaung Pin Village Tract",0401228
Magway Region,"Magway Township","Nyaung Kan Village Tract",0401229
Magway Region,"Magway Township","Nyaung Kyat San Village Tract",0401230
Magway Region,"Magway Township","Ohn Twe Village Tract",0401231
Magway Region,"Magway Township","Pat Hta Na Go Village Tract",0401232
Magway Region,"Magway Township","Pu Htoe Village Tract",0401233
Magway Region,"Magway Township","Hpa Yar Pyo Village Tract",0401234
Magway Region,"Magway Township","Hpa Yar Kone Village Tract",0401235
Magway Region,"Magway Township","Pay Pin San Village Tract",0401236
Magway Region,"Magway Township","Hpoke Kone Village Tract",0401237
Magway Region,"Magway Township","Hpoe Lay Lone Village Tract",0401238
Magway Region,"Magway Township","Sar Taing Kan Village Tract",0401239
Magway Region,"Magway Township","San Ma Gyi Village Tract",0401240
Magway Region,"Magway Township","Shar Pin Hla Village Tract",0401241
Magway Region,"Magway Township","Shar Saung Kan Village Tract",0401242
Magway Region,"Magway Township","Su Pyit San Village Tract",0401243
Magway Region,"Magway Township","Su Kauk San Village Tract",0401244
Magway Region,"Magway Township","Ta Pauk Taw Village Tract",0401245
Magway Region,"Magway Township","Tat Kone Village Tract",0401246
Magway Region,"Magway Township","Taung Khwin Village Tract",0401247
Magway Region,"Magway Township","Min Village Tract",0401248
Magway Region,"Magway Township","Tei Pin Kan Pauk Village Tract",0401249
Magway Region,"Magway Township","Tha Man Taw Village Tract",0401250
Magway Region,"Magway Township","Tha Yet Lay Pin Village Tract",0401251
Magway Region,"Magway Township","Myit Nar Thar Si Village Tract",0401252
Magway Region,"Magway Township","Yin Nar Gway Chaung Village Tract",0401253
Magway Region,"Magway Township","Yin Nar Thar Si (East) Village Tract",0401254
Magway Region,"Magway Township","Ywar Haung Kan Village Tract",0401255
Magway Region,"Magway Township","Ywar Thar Village Tract",0401256
Magway Region,"Magway Township","Zee Kyun Village Tract",0401257
Magway Region,"Magway Township","Thet Yin Taw Village Tract",0401258
Magway Region,"Magway Township","Kyar Kan Village Tract",0401259
Magway Region,"Magway Township","Gyoe Gyar Kan Village Tract",0401260
Magway Region,"Minbu Township","No (1) Quarter",0402001
Magway Region,"Minbu Township","No (2) Quarter",0402002
Magway Region,"Minbu Township","No (3) Quarter",0402003
Magway Region,"Minbu Township","No (4) Quarter",0402004
Magway Region,"Minbu Township","Let Khoke Pin Village Tract",0402200
Magway Region,"Minbu Township","Pin Lel Thet Village Tract",0402201
Magway Region,"Minbu Township","Kan Thar Village Tract",0402202
Magway Region,"Minbu Township","U Yin Zin Village Tract",0402203
Magway Region,"Minbu Township","Yae Poke Village Tract",0402204
Magway Region,"Minbu Township","Ku Lar Bar Village Tract",0402205
Magway Region,"Minbu Township","Kan Thit Village Tract",0402206
