Region,"Town / Township","Quarter / Village Tract","Postal Code"
Magway Region,"Magway Township","Myo Haung Quarter",0401001
Magway Region,"Magway Township","Hson Quarter",0401002
Magway Region,"Magway Township","Zay Lel Soe Quarter",0401003
Magway Region,"Magway Township","Myo Ma Oe Bo Quarter",0401004
Magway Region,"Magway Township","Sar Shwe Kin Quarter",0401005
Magway Region,"Magway Township","Ywar Thit Pwe Kyo Quarter",0401006
Magway Region,"Magway Township","Thein Gar Gi Ri Quarter",0401007
Magway Region,"Magway Township","Pyi Taw Thar Quarter",0401008
Magway Region,"Magway Township","Min Kan Gyi Quarter",0401009
Magway Region,"Magway Township","Kan Thar Quarter",0401010
Magway Region,"Magway Township","Myin Thar Quarter",0401011
Magway Region,"Magway Township","Aung Ya Da Nar Quarter",0401012
Magway Region,"Magway Township","Aung Chan Thar Quarter",0401013
Magway Region,"Magway Township","Aung Min Ga Lar Quarter",0401014
Magway Region,"Magway Township","Aung Myit Tar Quarter",0401015
Magway Region,"Magway Township","Aung Say Ta Nar Quarter",0401016
Magway Region,"Magway Township","Soe Kaw Min Quarter",0401017
Magway Region,"Minbu Township","No (1) Quarter",0402001
Magway Region,"Minbu Township","No (2) Quarter",0402002
Magway Region,"Minbu Township","No (3) Quarter",0402003
Magway Region,"Minbu Township","No (4) Quarter",0402004
Magway Region,"Pwintbyu Township","Ah Shey Paing Quarter",0403001
Magway Region,"Pwintbyu Township","Ah Lel Paing Quarter",0403002
Magway Region,"Pwintbyu Township","Ah Nauk Paing Quarter",0403003
Magway Region,"Pwintbyu Township","Thet Taw Shey Quarter",0403004
Magway Region,"Salin Township","Paung Pin Zin Quarter",0404001
Magway Region,"Salin Township","Zay Ma Quarter",0404002
Magway Region,"Salin Township","Paung Nar Quarter",0404003
Magway Region,"Salin Township","Kyaung Kyar Quarter",0404004
Magway Region,"Salin Township","Pu Htoe Hpyu Quarter",0404005
Magway Region,"Salin Township","Myin Tin Quarter",0404006
Magway Region,"Salin Township","Myay Mi Kone Quarter",0404007
Magway Region,"Salin Township","Sar Si Kyaung Quarter",0404008
Magway Region,"Sidoktaya Township","No (1) Quarter",0405001
Magway Region,"Sidoktaya Township","No (2) Quarter",0405002
Magway Region,"Ngape Township","Ngape Myo Ma Quarter",0406001
Magway Region,"Ngape Township","Kyaung Twin Quarter",0406002
Magway Region,"Minhla Township","Myauk Quarter",0407001
Magway Region,"Minhla Township","Myo Ma Quarter",0407002
Magway Region,"Minhla Township","Taung Quarter",0407003
Magway Region,"Minhla Township","Kwet Thit Quarter",0407004
Magway Region,"Minhla Township","Yone  (North) Quarter",0407005
Magway Region,"Minhla Township","Yone(South) Quarter",0407006
Magway Region,"Sinbaungwe Township","No (1) Quarter",0408001
Magway Region,"Sinbaungwe Township","No (2) Quarter",0408002
Magway Region,"Sinbaungwe Township","No (3) Quarter",0408003
Magway Region,"Thayet Township","No (1) Quarter",0409001
Magway Region,"Thayet Township","No (2) Quarter",0409002
Magway Region,"Thayet Township","No (3) Quarter",0409003
Magway Region,"Thayet Township","No (4) Quarter",0409004
Magway Region,"Thayet Township","No (5) Quarter",0409005
Magway Region,"Thayet Township","No (6) Quarter",0409006
Magway Region,"Thayet Township","No (7) Quarter",0409007
Magway Region,"Thayet Township","No (8) Quarter",0409008
Magway Region,"Mindon Township","No (1) Quarter",0410001
Magway Region,"Mindon Township","No (2) Quarter",0410002
Magway Region,"Mindon Township","No (3) Quarter",0410003
Magway Region,"Mindon Township","No (4) Quarter",0410004
Magway Region,"Kamma Township","No (1) Quarter",0411001
Magway Region,"Kamma Township","No (2) Quarter",0411002
Magway Region,"Kamma Township","No (3) Quarter",0411003
Magway Region,"Kamma Township","No (4) Quarter",0411004
Magway Region,"Natmauk Township","Myo Ma Quarter",0412001
Magway Region,"Natmauk Township","Myo Ma Kwet Thit Quarter",0412002
Magway Region,"Natmauk Township","Zay Kwet Thit Quarter",0412003
Magway Region,"Natmauk Township","Aung San Quarter",0412004
Magway Region,"Natmauk Township","Ta Mar Pin Quarter",0412005
Magway Region,"Natmauk Township","Yan Aung Myin Quarter",0412006
Magway Region,"Natmauk Township","Kan Gyi Quarter",0412007
Magway Region,"Myothit Township","Hpa Yar Gyi Quarter",0413001
Magway Region,"Myothit Township","Lel Pyin Quarter",0413002
Magway Region,"Myothit Township","Kwet Thit Quarter",0413003
Magway Region,"Myothit Township","Zay Quarter",0413004
Magway Region,"Myothit Township","Min Quarter",0413005
Magway Region,"Taungdwingyi Township","Taung Pyin (1) Quarter",0414001
Magway Region,"Taungdwingyi Township","Taung Pyin (2) Quarter",0414002
Magway Region,"Taungdwingyi Township","Maung Taing (1) Quarter",0414003
Magway Region,"Taungdwingyi Township","Maung Taing (2) Quarter",0414004
Magway Region,"Taungdwingyi Township","Shwe Oe (1) Quarter",0414005
Magway Region,"Taungdwingyi Township","Shwe Oe (2) Quarter",0414006
Magway Region,"Taungdwingyi Township","Shwe Kyar Inn (1) Quarter",0414007
Magway Region,"Taungdwingyi Township","Shwe Kyar Inn (2) Quarter",0414008
Magway Region,"Taungdwingyi Township","Ohn Taw (1) Quarter",0414009
Magway Region,"Taungdwingyi Township","Ohn Taw (2) Quarter",0414010
Magway Region,"Aunglan Township","Ma Gyi Kone Quarter",0415001
Magway Region,"Aunglan Township","Zay Kone Quarter",0415002
Magway Region,"Aunglan Township","Tha Yet Taw Quarter",0415003
Magway Region,"Aunglan Township","Kan Gyi Quarter",0415004
Magway Region,"Aunglan Township","Zay Ya Wa Di Quarter",0415005
