Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Mandalay Region","Aungmyaythazan Township","Bone Taw Toe Quarter",0501001
"Mandalay Region","Aungmyaythazan Township","Daw Na Bwar Quarter",0501002
"Mandalay Region","Aungmyaythazan Township","Ah Hneik Taw Quarter",0501003
"Mandalay Region","Aungmyaythazan Township","Pyi Gyi Kyet Tha Yae (East) Quarter",0501004
"Mandalay Region","Aungmyaythazan Township","Pyi Gyi Kyet Tha Yae (West) Quarter",0501005
"Mandalay Region","Aungmyaythazan Township","Pale Ngwe Yaung Quarter",0501006
"Mandalay Region","Aungmyaythazan Township","May Ga Gi Ri Quarter",0501007
"Mandalay Region","Aungmyaythazan Township","Aung Myay Thar Zan Quarter",0501008
"Mandalay Region","Aungmyaythazan Township","Min Tei Ei Kin Quarter",0501009
"Mandalay Region","Aungmyaythazan Township","Nyaung Kwe Quarter",0501010
"Mandalay Region","Aungmyaythazan Township","Pyi Gyi Yan Lon Quarter",0501011
"Mandalay Region","Aungmyaythazan Township","Pyi Lone Chan Thar Quarter",0501012
"Mandalay Region","Aungmyaythazan Township","Ah Ma Ra Htar Ni (East) Quarter",0501013
"Mandalay Region","Aungmyaythazan Township","Ah Ma Ra Htar Ni (West) Quarter",0501014
"Mandalay Region","Aungmyaythazan Township","U Poke Htaw Quarter",0501015
"Mandalay Region","Aungmyaythazan Township","Oe Bo Quarter",0501016
"Mandalay Region","Aungmyaythazan Township","Thi Ri Mar Lar (East) Quarter",0501017
"Mandalay Region","Aungmyaythazan Township","Thi Ri Mar Lar (West) Quarter",0501018
"Mandalay Region","Aungmyaythazan Township","Ma Har Zay Yar Bon Quarter",0501019
"Mandalay Region","Chanayethazan Township","Aung Nan Yeik Thar (East) Quarter",0502001
"Mandalay Region","Chanayethazan Township","Aung Nan Yeik Thar (West) Quarter",0502002
"Mandalay Region","Chanayethazan Township","Chan Aye Thar Zan (East) Quarter",0502003
"Mandalay Region","Chanayethazan Township","Chan Aye Thar Zan (Middle) Quarter",0502004
"Mandalay Region","Chanayethazan Township","Chan Aye Thar Zan (West) Quarter",0502005
"Mandalay Region","Chanayethazan Township","Day Wun (West) Quarter",0502006
"Mandalay Region","Chanayethazan Township","Hay Mar Za La Quarter",0502007
"Mandalay Region","Chanayethazan Township","Kan Kauk Quarter",0502008
"Mandalay Region","Chanayethazan Township","Kit Sa Na Ma Hi Quarter",0502009
"Mandalay Region","Chanayethazan Township","Maw Ra Gi War Quarter",0502010
"Mandalay Region","Chanayethazan Township","Pat Kone Pyaw Bwei Quarter",0502011
"Mandalay Region","Chanayethazan Township","Pat Kone Wun Kyin Quarter",0502012
"Mandalay Region","Chanayethazan Township","Pyi Gyi Myet Hman Quarter",0502013
"Mandalay Region","Chanayethazan Township","Pyi Gyi Myet Shin Quarter",0502014
"Mandalay Region","Chanayethazan Township","Pyi Gyi Pyawbwe (East) Quarter",0502015
"Mandalay Region","Chanayethazan Township","Pyi Gyi Pyawbwe (West) Quarter",0502016
"Mandalay Region","Chanayethazan Township","Seik Ta Ra Ma Hi Quarter",0502017
"Mandalay Region","Chanayethazan Township","Thi Ri Hay Mar (East) Quarter",0502018
"Mandalay Region","Chanayethazan Township","Thi Ri Hay Mar (West) Quarter",0502019
"Mandalay Region","Chanayethazan Township","Yan Myo Lon Quarter",0502020
"Mandalay Region","Mahaaungmyay Township","Ma Har Nwe Sin Quarter",0503001
"Mandalay Region","Mahaaungmyay Township","Set Kyar Nwe Sin Quarter",0503002
"Mandalay Region","Mahaaungmyay Township","Hay Ma Mar Lar (North) Quarter",0503003
"Mandalay Region","Mahaaungmyay Township","Hay Ma Mar Lar (South) Quarter",0503004
"Mandalay Region","Mahaaungmyay Township","Ya Da Nar Bon Mi (East) Quarter",0503005
"Mandalay Region","Mahaaungmyay Township","Ya Da Nar Bon Mi (West) Quarter",0503006
"Mandalay Region","Mahaaungmyay Township","Ma Har Aung Myay (East) Quarter",0503007
"Mandalay Region","Mahaaungmyay Township","Ma Har Aung Myay (West) Quarter",0503008
"Mandalay Region","Mahaaungmyay Township","Shwe Hpone Shein Quarter",0503009
"Mandalay Region","Mahaaungmyay Township","Chan Mya Thar Zi (North) Quarter",0503010
"Mandalay Region","Mahaaungmyay Township","Tet Ka Tho Quarter",0503011
"Mandalay Region","Mahaaungmyay Township","Sein Pan Quarter",0503012
"Mandalay Region","Mahaaungmyay Township","Day Wun (East) Quarter",0503013
"Mandalay Region","Mahaaungmyay Township","Than Hlyat Maw (West) Quarter",0503014
"Mandalay Region","Mahaaungmyay Township","Than Hlyat Maw (East) Quarter",0503015
"Mandalay Region","Mahaaungmyay Township","Ma Har Myaing (1) Quarter",0503016
"Mandalay Region","Mahaaungmyay Township","Ma Har Myaing (2) Quarter",0503017
"Mandalay Region","Mahaaungmyay Township","Ye Mun (South) Quarter",0503018
"Mandalay Region","Chanmyathazi Township","Than Hlyet Maw (South) Quarter",0504001
"Mandalay Region","Chanmyathazi Township","Kyung Lone U Shaung Quarter",0504002
"Mandalay Region","Chanmyathazi Township","Tan Pa Wa Di Quarter",0504003
"Mandalay Region","Chanmyathazi Township","Chan Mya Thar Zi (South) Quarter",0504004
"Mandalay Region","Chanmyathazi Township","Myo Thit No (1) Quarter",0504005
"Mandalay Region","Chanmyathazi Township","Myo Thit No (2) Quarter",0504006
"Mandalay Region","Chanmyathazi Township","Myo Thit No (3) Quarter",0504007
"Mandalay Region","Chanmyathazi Township","Myo Thit No (4) Quarter",0504008
"Mandalay Region","Chanmyathazi Township","Myo Thit No (5) Quarter",0504009
"Mandalay Region","Chanmyathazi Township","Kan Thar Yar Quarter",0504010
"Mandalay Region","Chanmyathazi Township","Aung Pin Lel Quarter",0504011
"Mandalay Region","Chanmyathazi Township","Htun Tone Quarter",0504012
"Mandalay Region","Chanmyathazi Township","Mya Yi Nan Dar Quarter",0504013
"Mandalay Region","Chanmyathazi Township","Aung Thar Yar Quarter",0504014
"Mandalay Region","Pyigyitagon Township","Chan Mya Thar Yar Quarter",0505001
"Mandalay Region","Pyigyitagon Township","Ngwe Taw Kyi Kone Quarter",0505002
"Mandalay Region","Pyigyitagon Township","Thin Pan Kone Quarter",0505003
"Mandalay Region","Pyigyitagon Township","Ta Khun Taing Quarter",0505004
"Mandalay Region","Pyigyitagon Township","Taung Myint Quarter",0505005
"Mandalay Region","Pyigyitagon Township","Yar Taw Quarter",0505006
"Mandalay Region","Pyigyitagon Township","Htein Kone Quarter",0505007
"Mandalay Region","Pyigyitagon Township","(Ka Gyi) Quarter",0505008
"Mandalay Region","Pyigyitagon Township","(Kha Gway) Quarter",0505009
"Mandalay Region","Pyigyitagon Township","(Ga Nge) Quarter",0505010
"Mandalay Region","Pyigyitagon Township","(Ga Gyi) Quarter",0505011
"Mandalay Region","Pyigyitagon Township","(Nga) Quarter",0505012
"Mandalay Region","Pyigyitagon Township","(Sa Lone) Quarter",0505013
"Mandalay Region","Pyigyitagon Township","(Sa Lein) Quarter",0505014
"Mandalay Region","Pyigyitagon Township","(Za Gwe) Quarter",0505015
"Mandalay Region","Pyigyitagon Township","(Za Myin Zwe) Quarter",0505016
"Mandalay Region","Pyigyitagon Township","(Nya) Quarter",0505017
"Mandalay Region","Pyigyitagon Township","(Ta Ta Lin Cheik) Quarter",0505018
"Mandalay Region","Amarapura Township","Taung Gyi Quarter",0506001
"Mandalay Region","Amarapura Township","Kyan Tan Quarter",0506002
"Mandalay Region","Amarapura Township","Hman Tan Quarter",0506003
"Mandalay Region","Amarapura Township","Zay Cho Quarter",0506004
"Mandalay Region","Amarapura Township","Shwe Gun Htoke Quarter",0506005
"Mandalay Region","Amarapura Township","Lay Su Ward Quarter",0506006
"Mandalay Region","Amarapura Township","Oe Taw Quarter",0506007
"Mandalay Region","Amarapura Township","Sin Swei Put Quarter",0506008
"Mandalay Region","Patheingyi Township","Myo Ma Quarter",0507001
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (1) Ward Quarter",0508001
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (2) Ward Quarter",0508002
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (3) Ward Quarter",0508003
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (4) Ward Quarter",0508004
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (5) Ward Quarter",0508005
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (6) Ward Quarter",0508006
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (7) Ward Quarter",0508007
"Mandalay Region","Pyinoolwin Township","Pa Day Thar(Yat Kwet Gyi (8) ) Quarter",0508008
"Mandalay Region","Pyinoolwin Township","Nan Da Wun  (Yat Kwet Gyi (9)) Quarter",0508009
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (10) Ward Quarter",0508010
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (11) Ward Quarter",0508011
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (12) Ward Quarter",0508012
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (13) Ward Quarter",0508013
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (14) Ward Quarter",0508014
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (15) Ward Quarter",0508015
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (16) Ward Quarter",0508016
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (17) Ward Quarter",0508017
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (18) Ward Quarter",0508018
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (19) Ward Quarter",0508019
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (20) Ward Quarter",0508020
"Mandalay Region","Pyinoolwin Township","Yat Kwet Gyi (21) Ward Quarter",0508021
"Mandalay Region","Mogoke Township","Myo Ma Quarter",0509001
"Mandalay Region","Mogoke Township","Shaw Li Waing Quarter",0509002
"Mandalay Region","Mogoke Township","Min Ta Dar Quarter",0509003
"Mandalay Region","Mogoke Township","Lel U Quarter",0509004
"Mandalay Region","Mogoke Township","Yae Pu Quarter",0509005
"Mandalay Region","Thabeikkyin Township","Seik Kan Quarter",0510001
"Mandalay Region","Thabeikkyin Township","Ka Beit Quarter",0510002
"Mandalay Region","Singu Township","No (1) Quarter",0511001
"Mandalay Region","Singu Township","No (2) Quarter",0511002
"Mandalay Region","Madaya Township","No (1) Quarter",0512001
"Mandalay Region","Madaya Township","No (2) Quarter",0512002
"Mandalay Region","Madaya Township","No (3) Quarter",0512003
"Mandalay Region","Madaya Township","No (4) Quarter",0512004
"Mandalay Region","Madaya Township","No (5) Quarter",0512005
"Mandalay Region","Tada-U Township","No (1) Quarter",0513001
