Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Mandalay Region","Amarapura Township","Shan Ka Lay Kyun Village Tract",0506200
"Mandalay Region","Amarapura Township","Yin Taw Village Tract",0506201
"Mandalay Region","Amarapura Township","Hin Thar Village Tract",0506202
"Mandalay Region","Amarapura Township","Tat Gyi Village Tract",0506203
"Mandalay Region","Amarapura Township","Bone Taw Naing Ngan Village Tract",0506204
"Mandalay Region","Amarapura Township","Kyee Myin Daing Village Tract",0506205
"Mandalay Region","Amarapura Township","Say Oe Bo Village Tract",0506206
"Mandalay Region","Amarapura Township","Hpa Ye Kyun Village Tract",0506207
"Mandalay Region","Amarapura Township","Pan Chi Village Tract",0506208
"Mandalay Region","Amarapura Township","Nge Toe Village Tract",0506209
"Mandalay Region","Amarapura Township","Bone Oe Village Tract",0506210
"Mandalay Region","Amarapura Township","Taung Tha Man Village Tract",0506211
"Mandalay Region","Amarapura Township","Shwe Kyet Yet Village Tract",0506212
"Mandalay Region","Amarapura Township","Chin Village Tract",0506213
"Mandalay Region","Amarapura Township","Ye Lun Kyaw Village Tract",0506214
"Mandalay Region","Amarapura Township","Sin Ywar Myin Hmu Village Tract",0506215
"Mandalay Region","Amarapura Township","Let Pan Zin Village Tract",0506216
"Mandalay Region","Amarapura Township","Sar Taw Village Tract",0506217
"Mandalay Region","Amarapura Township","Ba Naw Village Tract",0506218
"Mandalay Region","Amarapura Township","Kin Bet Village Tract",0506219
"Mandalay Region","Amarapura Township","Mi Kyaung Tet Village Tract",0506220
"Mandalay Region","Amarapura Township","Leik San Khun Village Tract",0506221
"Mandalay Region","Amarapura Township","Ta Lin Gyi Village Tract",0506222
"Mandalay Region","Amarapura Township","Thu Nge Taw Village Tract",0506223
"Mandalay Region","Amarapura Township","Mon Taw Village Tract",0506224
"Mandalay Region","Amarapura Township","Taung Kaing Village Tract",0506225
"Mandalay Region","Amarapura Township","Daung Yway Village Tract",0506226
"Mandalay Region","Amarapura Township","Sin Boe Village Tract",0506227
"Mandalay Region","Amarapura Township","Sauk Taw Wa Village Tract",0506228
"Mandalay Region","Amarapura Township","Yae Kyi Pauk Village Tract",0506229
"Mandalay Region","Amarapura Township","Myit Laung Village Tract",0506230
"Mandalay Region","Amarapura Township","Kan Peit Village Tract",0506231
"Mandalay Region","Amarapura Township","Ma Gyi Kaing Village Tract",0506232
"Mandalay Region","Amarapura Township","Myit Tu Village Tract",0506233
"Mandalay Region","Amarapura Township","U Yin Taw Village Tract",0506234
"Mandalay Region","Amarapura Township","Da None Village Tract",0506235
"Mandalay Region","Amarapura Township","Taw Twin Village Tract",0506236
"Mandalay Region","Amarapura Township","Ta Moke Soe Village Tract",0506237
"Mandalay Region","Amarapura Township","Nat Yae Kan Village Tract",0506238
"Mandalay Region","Amarapura Township","Sar Toe Village Tract",0506239
"Mandalay Region","Amarapura Township","Pyi Lone Kyaw Village Tract",0506240
"Mandalay Region","Amarapura Township","Yae Poke Village Tract",0506241
"Mandalay Region","Patheingyi Township","Me Kin Kone Village Tract",0507200
"Mandalay Region","Patheingyi Township","Sin Ywar Gyi Village Tract",0507201
"Mandalay Region","Patheingyi Township","Zee Cho Kone Village Tract",0507202
"Mandalay Region","Patheingyi Township","Hnan Gyi Village Tract",0507203
"Mandalay Region","Patheingyi Township","Hman Pin Village Tract",0507204
"Mandalay Region","Patheingyi Township","Yae Htwet Village Tract",0507205
"Mandalay Region","Patheingyi Township","Kywe Yae Kone Village Tract",0507206
"Mandalay Region","Patheingyi Township","Nyein Chan Thar Zan Village Tract",0507207
"Mandalay Region","Patheingyi Township","Nay Rit Sa Ya Village Tract",0507208
"Mandalay Region","Patheingyi Township","Min Kan Village Tract",0507209
"Mandalay Region","Patheingyi Township","Boke Village Tract",0507210
"Mandalay Region","Patheingyi Township","In Gyin Village Tract",0507211
"Mandalay Region","Patheingyi Township","Kan Gyi Village Tract",0507212
