Region,"Town / Township","Quarter / Village Tract","Postal Code"
Mon State,"Mawlamyine Township","Shwe Myaing Thi Ri Quarter",1201001
Mon State,"Mawlamyine Township","Kyaik Hpa Nei Quarter",1201002
Mon State,"Mawlamyine Township","Hlaing Shan Su Quarter",1201003
Mon State,"Mawlamyine Township","Auk Kyin Quarter",1201004
Mon State,"Mawlamyine Township","Mandalay Quarter",1201005
Mon State,"Mawlamyine Township","Hpet Tan Quarter",1201006
Mon State,"Mawlamyine Township","Shwe Taung Quarter",1201007
Mon State,"Mawlamyine Township","Sit Ke Kone Quarter",1201008
Mon State,"Mawlamyine Township","Ma Yan Kone Quarter",1201009
Mon State,"Mawlamyine Township","Pan Be Dan Quarter",1201010
Mon State,"Mawlamyine Township","Bo Kone Quarter",1201011
Mon State,"Mawlamyine Township","Maung Ngan Quarter",1201012
Mon State,"Mawlamyine Township","Kwin Yat Quarter",1201013
Mon State,"Mawlamyine Township","Myay Ni Kone Quarter",1201014
Mon State,"Mawlamyine Township","Zay Kyo Quarter",1201015
Mon State,"Mawlamyine Township","Thi Ri Myaing Quarter",1201016
Mon State,"Mawlamyine Township","Mu Pon Quarter",1201017
Mon State,"Mawlamyine Township","Zay Yar Thi Ri Quarter",1201018
Mon State,"Mawlamyine Township","Thar Yar Aye Quarter",1201019
Mon State,"Mawlamyine Township","Thi Ri Min Ga Lar Quarter",1201020
Mon State,"Mawlamyine Township","Myaing Thar Yar Quarter",1201021
Mon State,"Mawlamyine Township","Zay Yar Myaing Quarter",1201022
Mon State,"Mawlamyine Township","Kyauk Tan Quarter",1201023
Mon State,"Mawlamyine Township","San Gyi Quarter",1201024
Mon State,"Mawlamyine Township","Gway Kone Quarter",1201025
Mon State,"Mawlamyine Township","Naung Kha Ri Quarter",1201026
Mon State,"Mawlamyine Township","Ngan Tay Quarter",1201027
Mon State,"Mawlamyine Township","Chauk Maing Kywe Chan Kone Quarter",1201028
Mon State,"Mawlamyine Township","Nyaung Pin Seik Quarter",1201029
Mon State,"Mawlamyine Township","Ka Toe Village Tract",1201200
Mon State,"Mawlamyine Township","Kawt Sein Village Tract",1201201
Mon State,"Mawlamyine Township","Kyauk Tan Village Tract",1201202
Mon State,"Mawlamyine Township","San Gyi Village Tract",1201203
Mon State,"Mawlamyine Township","Kawt Tun Village Tract",1201204
Mon State,"Mawlamyine Township","Kawt Hnat Village Tract",1201205
Mon State,"Mawlamyine Township","Kawt Hlar Village Tract",1201206
Mon State,"Mawlamyine Township","Kawt Pauk Village Tract",1201207
Mon State,"Mawlamyine Township","Ngan Tay Village Tract",1201208
Mon State,"Mawlamyine Township","Min Ywar Village Tract",1201209
Mon State,"Mawlamyine Township","Mu Yaung Village Tract",1201210
Mon State,"Mawlamyine Township","Gway Kone Village Tract",1201211
Mon State,"Mawlamyine Township","Chauk Maing Kywe Chan Kone Village Tract",1201212
Mon State,"Mawlamyine Township","Kawt Kha Ni Village Tract",1201213
Mon State,"Mawlamyine Township","Naung Kha Ri Village Tract",1201214
Mon State,"Mawlamyine Township","Kyar Inn Village Tract",1201215
Mon State,"Mawlamyine Township","Kawt Kha Mei Village Tract",1201216
Mon State,"Mawlamyine Township","Hpar Auk Village Tract",1201217
Mon State,"Mawlamyine Township","Yo Go Village Tract",1201218
Mon State,"Kyaikto Township","Zay Yar Mun Quarter",1202001
Mon State,"Kyaikto Township","Myauk Paing Quarter",1202002
Mon State,"Kyaikto Township","Kawt San Naing Quarter",1202003
Mon State,"Kyaikto Township","Taung Paing Quarter",1202004
Mon State,"Kyaikto Township","Kant Kaw Quarter",1202005
Mon State,"Kyaikto Township","Taung Thu Su Quarter",1202006
