Region,"Town / Township","Quarter / Village Tract","Postal Code"
Mon State,"Mawlamyine Township","Shwe Myaing Thi Ri Quarter",1201001
Mon State,"Mawlamyine Township","Kyaik Hpa Nei Quarter",1201002
Mon State,"Mawlamyine Township","Hlaing Shan Su Quarter",1201003
Mon State,"Mawlamyine Township","Auk Kyin Quarter",1201004
Mon State,"Mawlamyine Township","Mandalay Quarter",1201005
Mon State,"Mawlamyine Township","Hpet Tan Quarter",1201006
Mon State,"Mawlamyine Township","Shwe Taung Quarter",1201007
Mon State,"Mawlamyine Township","Sit Ke Kone Quarter",1201008
Mon State,"Mawlamyine Township","Ma Yan Kone Quarter",1201009
Mon State,"Mawlamyine Township","Pan Be Dan Quarter",1201010
Mon State,"Mawlamyine Township","Bo Kone Quarter",1201011
Mon State,"Mawlamyine Township","Maung Ngan Quarter",1201012
Mon State,"Mawlamyine Township","Kwin Yat Quarter",1201013
Mon State,"Mawlamyine Township","Myay Ni Kone Quarter",1201014
Mon State,"Mawlamyine Township","Zay Kyo Quarter",1201015
Mon State,"Mawlamyine Township","Thi Ri Myaing Quarter",1201016
Mon State,"Mawlamyine Township","Mu Pon Quarter",1201017
Mon State,"Mawlamyine Township","Zay Yar Thi Ri Quarter",1201018
Mon State,"Mawlamyine Township","Thar Yar Aye Quarter",1201019
Mon State,"Mawlamyine Township","Thi Ri Min Ga Lar Quarter",1201020
Mon State,"Mawlamyine Township","Myaing Thar Yar Quarter",1201021
Mon State,"Mawlamyine Township","Zay Yar Myaing Quarter",1201022
Mon State,"Mawlamyine Township","Kyauk Tan Quarter",1201023
Mon State,"Mawlamyine Township","San Gyi Quarter",1201024
Mon State,"Mawlamyine Township","Gway Kone Quarter",1201025
Mon State,"Mawlamyine Township","Naung Kha Ri Quarter",1201026
Mon State,"Mawlamyine Township","Ngan Tay Quarter",1201027
Mon State,"Mawlamyine Township","Chauk Maing Kywe Chan Kone Quarter",1201028
Mon State,"Mawlamyine Township","Nyaung Pin Seik Quarter",1201029
Mon State,"Kyaikto Township","Zay Yar Mun Quarter",1202001
Mon State,"Kyaikto Township","Myauk Paing Quarter",1202002
Mon State,"Kyaikto Township","Kawt San Naing Quarter",1202003
Mon State,"Kyaikto Township","Taung Paing Quarter",1202004
Mon State,"Kyaikto Township","Kant Kaw Quarter",1202005
Mon State,"Kyaikto Township","Taung Thu Su Quarter",1202006
Mon State,"Bilin Township","Sa Yar San Quarter",1203001
Mon State,"Bilin Township","Hpoe Yar Zar Quarter",1203002
Mon State,"Bilin Township","Kan Thar Yar Quarter",1203003
Mon State,"Bilin Township","Hpoe Hla Gyi Quarter",1203004
Mon State,"Bilin Township","Bo Tay Za Quarter",1203005
Mon State,"Thaton Township","Leik Inn Quarter",1204001
Mon State,"Thaton Township","Nan Khe Quarter",1204002
Mon State,"Thaton Township","Auk Kyin Quarter",1204003
Mon State,"Thaton Township","Thein Kone Quarter",1204004
Mon State,"Thaton Township","Bin Hlaing Quarter",1204005
Mon State,"Paung Township","Moe Naing Quarter",1205001
Mon State,"Paung Township","Ka Don See Quarter",1205002
Mon State,"Paung Township","Paung Quarter",1205003
Mon State,"Paung Township","Ka Dar Quarter",1205004
Mon State,"Chaungzon Township","Ah Nauk Quarter",1206001
Mon State,"Chaungzon Township","Ah Shey Quarter",1206002
Mon State,"Chaungzon Township","Toe Cheit Quarter",1206003
Mon State,"Kyaikmaraw Township","Shin Saw Pu Quarter",1207001
Mon State,"Kyaikmaraw Township","Yan Myo Aung Quarter",1207002
Mon State,"Kyaikmaraw Township","Ah Hta Yan Quarter",1207003
Mon State,"Kyaikmaraw Township","Aung Thu Kha Quarter",1207004
