Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Zay Ya Theik Di Quarter",1501001
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Pyin Nyar Theik Di Quarter",1501002
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Min Ga Lar Theik Di Quarter",1501003
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Baw Ga Theik Di Quarter",1501004
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Tha Pyay Kone Quarter",1501005
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Wun Na Theik Di Quarter",1501006
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Thu Kha Theik Di Quarter",1501007
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Nyar Na Theik Di Quarter",1501008
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Ba La Theik Di Quarter",1501009
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Dha Na Theik Di Quarter",1501010
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Shwe Kyar Pin Quarter",1501011
"Naypyitaw Union Territory","Za Bu Thi Ri Township","Aung Zabu Quarter",1501012
"Naypyitaw Union Territory","Pyinmana Township","Ywar Kauk Quarter",1502001
"Naypyitaw Union Territory","Pyinmana Township","Yan Aung (1) Quarter",1502002
"Naypyitaw Union Territory","Pyinmana Township","Yan Aung (2) Quarter",1502003
"Naypyitaw Union Territory","Pyinmana Township","Shwe Chi Quarter",1502004
"Naypyitaw Union Territory","Pyinmana Township","Min Ga Lar Quarter",1502005
"Naypyitaw Union Territory","Pyinmana Township","Baw Ga Wa Di Quarter",1502006
"Naypyitaw Union Territory","Pyinmana Township","U Yin Su Quarter",1502007
"Naypyitaw Union Territory","Tatkon Township","Ba Yint Naung Quarter",1503001
"Naypyitaw Union Territory","Tatkon Township","Aung Zay Ya Quarter",1503002
"Naypyitaw Union Territory","Tatkon Township","Mya Wa Di Quarter",1503003
"Naypyitaw Union Territory","Tatkon Township","Bo Min Yaung Quarter",1503004
"Naypyitaw Union Territory","Tatkon Township","Sa Yar San Quarter",1503005
"Naypyitaw Union Territory","Tatkon Township","Ah Naw Ra Htar Quarter",1503006
"Naypyitaw Union Territory","Lewe Township","No (1) Quarter",1504001
"Naypyitaw Union Territory","Lewe Township","No (2) Quarter",1504002
"Naypyitaw Union Territory","Lewe Township","No (3) Quarter",1504003
"Naypyitaw Union Territory","Lewe Township","No (4) Quarter",1504004
"Naypyitaw Union Territory","Lewe Township","No (5) Quarter",1504005
"Naypyitaw Union Territory","Lewe Township","No (6) Quarter",1504006
"Naypyitaw Union Territory","Lewe Township","No (7) Quarter",1504007
"Naypyitaw Union Territory","Zay Yar Thi Ri Township","Kyan Sit Thar Quarter",1505001
"Naypyitaw Union Territory","Zay Yar Thi Ri Township","Ah Naw Ra Htar Quarter",1505002
"Naypyitaw Union Territory","Zay Yar Thi Ri Township","Pyi San Aung Quarter",1505003
"Naypyitaw Union Territory","Zay Yar Thi Ri Township","Aung Zay Ya Quarter",1505004
"Naypyitaw Union Territory","Zay Yar Thi Ri Township","Poke Par Kone Quarter",1505005
"Naypyitaw Union Territory","Det Khi Na Thi Ri Township","Det Khi Na Thi Ri Quarter",1506001
"Naypyitaw Union Territory","Det Khi Na Thi Ri Township","Shwe In Gyin Quarter",1506002
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Ba Yint Naung Quarter",1507001
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Aung Thar Yar Quarter",1507002
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Min Ga Lar Di Pa Quarter",1507003
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Wunna Di Pa Quarter",1507004
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Thu Kha Di Pa Quarter",1507005
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Za Wa Na Di Pa Quarter",1507006
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Ya Da Nar Di Pa Quarter",1507007
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Zay Yar Di Pa Quarter",1507008
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Shin Phyu Shin Quarter",1507009
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Na Wa Day Quarter",1507010
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Ta Pin Shwe Htee Quarter",1507011
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (1)  (Myo Thit) Quarter",1507012
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (2)  (Myo Ma) Quarter",1507013
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (3)  (Myo Haung) Quarter",1507014
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (4) (Kan Nar) Quarter",1507015
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (5)  (Sone Kone) Quarter",1507016
"Naypyitaw Union Territory","Poke Ba Thi Ri Township","Kyi Taung Kan No (6)  (Thae Kyun) Quarter",1507017
"Naypyitaw Union Territory","Oke Ta Ra Thi Ri Township","Shwe Nant Thar Quarter",1508001
"Naypyitaw Union Territory","Oke Ta Ra Thi Ri Township","Oke Ta Ra Thi Ri Quarter",1508002
