Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Rakhine State","Sittwe Township","Kyay Pin Gyi Quarter",0701001
"Rakhine State","Sittwe Township","Maw Leik Quarter",0701002
"Rakhine State","Sittwe Township","Oe Dan Quarter",0701003
"Rakhine State","Sittwe Township","Mi Zan Quarter",0701004
"Rakhine State","Sittwe Township","Ru Pa (South) Quarter",0701005
"Rakhine State","Sittwe Township","Ru Pa (North) Quarter",0701006
"Rakhine State","Sittwe Township","Myo Thu Gyi Quarter",0701007
"Rakhine State","Sittwe Township","Ta Yar Thee Su Quarter",0701008
"Rakhine State","Sittwe Township","Lan Ma Taw (South) Quarter",0701009
"Rakhine State","Sittwe Township","Lan Ma Taw (North) Quarter",0701010
"Rakhine State","Sittwe Township","Shwe Pyar Quarter",0701011
"Rakhine State","Sittwe Township","Sin Ku Lan Quarter",0701012
"Rakhine State","Sittwe Township","Ohn Ta Pin Quarter",0701013
"Rakhine State","Sittwe Township","Lan Thit Quarter",0701014
"Rakhine State","Sittwe Township","Ywar Gyi (North) Quarter",0701015
"Rakhine State","Sittwe Township","Ywar Gyi (South) Quarter",0701016
"Rakhine State","Sittwe Township","Baung Dut Quarter",0701017
"Rakhine State","Sittwe Township","Bauk Thee Su Quarter",0701018
"Rakhine State","Sittwe Township","Kyaung Tet Lan Quarter",0701019
"Rakhine State","Sittwe Township","Pyi Taw Thar Quarter",0701020
"Rakhine State","Sittwe Township","Da Nya Wa Di Quarter",0701021
"Rakhine State","Sittwe Township","Ah Nauk San Pya Quarter",0701022
"Rakhine State","Sittwe Township","Ye New Su Quarter",0701023
"Rakhine State","Sittwe Township","Ma Gyi Myaing Quarter",0701024
"Rakhine State","Sittwe Township","Ka Thea Ywar Quarter",0701025
"Rakhine State","Sittwe Township","Set Yon Su Quarter",0701026
"Rakhine State","Sittwe Township","Kon Tan Quarter",0701027
"Rakhine State","Sittwe Township","Baw Lone Kwin Quarter",0701028
"Rakhine State","Sittwe Township","Kyaung Gyi Lan Quarter",0701029
"Rakhine State","Sittwe Township","Aung Min Ga Lar Quarter",0701030
"Rakhine State","Sittwe Township","Sut Yoe Kya Quarter",0701031
"Rakhine State","Sittwe Township","Min Gan Quarter",0701032
"Rakhine State","Sittwe Township","Aung Mingalar Myauk Quarter",0701033
"Rakhine State","Maungdaw Township","Myo Ma (West) Quarter",0702001
"Rakhine State","Maungdaw Township","Myo Ma (South) Quarter",0702002
"Rakhine State","Maungdaw Township","Myo Ma (North) Quarter",0702003
"Rakhine State","Maungdaw Township","Myo Ma (East) Quarter",0702004
"Rakhine State","Maungdaw Township","Ywar Thit Kay Quarter",0702005
"Rakhine State","Maungdaw Township","Lay Maing Quarter",0702006
"Rakhine State","Maungdaw Township","Ka Nyin Tan Quarter",0702007
"Rakhine State","Maungdaw Township","Maung Ni Quarter",0702008
"Rakhine State","Maungdaw Township","Myo Thu Gyi Quarter",0702009
"Rakhine State","Maungdaw Township","Wai Thar Li Quarter",0702010
"Rakhine State","Maungdaw Township","Myo U Quarter",0702011
"Rakhine State","Maungdaw Township","Let Thar Quarter",0702012
"Rakhine State","Buthidaung Township","Ah Nauk Quarter",0703001
"Rakhine State","Buthidaung Township","Myo Ma Quarter",0703002
"Rakhine State","Buthidaung Township","Myo Thit Quarter",0703003
"Rakhine State","Buthidaung Township","Tha Pyay Kone Quarter",0703004
"Rakhine State","Buthidaung Township","Taung Quarter",0703005
"Rakhine State","Buthidaung Township","Myo Thit (South) Quarter",0703006
"Rakhine State","Buthidaung Township","Mee Ya Htar Seik Quarter",0703007
