Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Rakhine State","Sittwe Township","Maung Ni Pyin Village Tract",0701200
"Rakhine State","Sittwe Township","Thin Pone Tan Village Tract",0701201
"Rakhine State","Sittwe Township","Chaung Nwe Village Tract",0701202
"Rakhine State","Sittwe Township","Kyet Taw Pyin Village Tract",0701203
"Rakhine State","Sittwe Township","Aung Daing Village Tract",0701204
"Rakhine State","Sittwe Township","Gant Gaw Kyun Village Tract",0701205
"Rakhine State","Sittwe Township","Kyay Taw Village Tract",0701206
"Rakhine State","Sittwe Township","Ywar Thit Kay Village Tract",0701207
"Rakhine State","Sittwe Township","Nar Yi Kan Village Tract",0701208
"Rakhine State","Sittwe Township","Say Tha Mar Village Tract",0701209
"Rakhine State","Sittwe Township","Zaw Pu Gyar Village Tract",0701210
"Rakhine State","Sittwe Township","Kha Tin Paik Village Tract",0701211
"Rakhine State","Sittwe Township","Kywi Te Village Tract",0701212
"Rakhine State","Sittwe Township","Thein Tan Village Tract",0701213
"Rakhine State","Sittwe Township","Kyar Ma Thauk Village Tract",0701214
"Rakhine State","Sittwe Township","Nyo Yaung Chaung Village Tract",0701215
"Rakhine State","Sittwe Township","Chi Laing Hpin Village Tract",0701216
"Rakhine State","Sittwe Township","Ah Myint Kyun Village Tract",0701217
"Rakhine State","Sittwe Township","Par Da Leik Village Tract",0701218
"Rakhine State","Sittwe Township","Myit Nar Village Tract",0701219
"Rakhine State","Sittwe Township","Nga/Tauk Tet Village Tract",0701220
"Rakhine State","Sittwe Township","Taw Kan Village Tract",0701221
"Rakhine State","Sittwe Township","War Bo Village Tract",0701222
"Rakhine State","Sittwe Township","U Yin Thar Village Tract",0701223
"Rakhine State","Sittwe Township","Khaung Doke Kar Village Tract",0701224
"Rakhine State","Sittwe Township","Thin Ga Net Village Tract",0701225
"Rakhine State","Sittwe Township","Bu May Village Tract",0701226
"Rakhine State","Maungdaw Township","In Tu Lar Village Tract",0702200
"Rakhine State","Maungdaw Township","Tat Chaung Village Tract",0702201
"Rakhine State","Maungdaw Township","Kar Lar Day Hpet Village Tract",0702202
"Rakhine State","Maungdaw Township","Ye Aung San Ya Hpway Village Tract",0702203
"Rakhine State","Maungdaw Township","Kyaung Na Hpay Village Tract",0702204
"Rakhine State","Maungdaw Township","Aung Zan Village Tract",0702205
"Rakhine State","Maungdaw Township","Hlaing Thi Village Tract",0702206
"Rakhine State","Maungdaw Township","Kyun Pauk Pyu Su Village Tract",0702207
"Rakhine State","Maungdaw Township","Nga Yant Chaung Village Tract",0702208
"Rakhine State","Maungdaw Township","Thit Tone Nar Gwa Son Village Tract",0702209
"Rakhine State","Maungdaw Township","Nan Yar Kaing Village Tract",0702210
"Rakhine State","Maungdaw Township","Ta Man Thar Village Tract",0702211
"Rakhine State","Maungdaw Township","Thet Kaing Nyar Village Tract",0702212
"Rakhine State","Maungdaw Township","Yae Nauk Ngar Thar Village Tract",0702213
"Rakhine State","Maungdaw Township","Myaw Chaung Village Tract",0702214
"Rakhine State","Maungdaw Township","Myo Mi Chaung Village Tract",0702215
"Rakhine State","Maungdaw Township","San Kar Pin Yin Village Tract",0702216
"Rakhine State","Maungdaw Township","Min Gyi (Tu Lar Tu Li) Village Tract",0702217
"Rakhine State","Maungdaw Township","N‌at Chaung Village Tract",0702218
"Rakhine State","Maungdaw Township","Kyein Chaung Village Tract",0702219
"Rakhine State","Maungdaw Township","Pa Da Kar Ywar Thit Village Tract",0702220
"Rakhine State","Maungdaw Township","Wet Kyein Village Tract",0702221
"Rakhine State","Maungdaw Township","Done Paik (Aung Seik Pyin) Village Tract",0702222
"Rakhine State","Maungdaw Township","Sa Bai Kone Village Tract",0702223
"Rakhine State","Maungdaw Township","Laung Don Village Tract",0702224
"Rakhine State","Maungdaw Township","Ngar Sar Kyu Village Tract",0702225
"Rakhine State","Maungdaw Township","Kyet Yoe Pyin Village Tract",0702226
"Rakhine State","Maungdaw Township","Doe Tan Village Tract",0702227
"Rakhine State","Maungdaw Township","Ah Htet Pyu Ma Village Tract",0702228
"Rakhine State","Maungdaw Township","Pyu Ma Ka Nyin Tan Village Tract",0702229
"Rakhine State","Maungdaw Township","Kat Pa Kaung Village Tract",0702230
"Rakhine State","Maungdaw Township","Myo Thit Village Tract",0702231
"Rakhine State","Maungdaw Township","Yae Myet Taung Village Tract",0702232
"Rakhine State","Maungdaw Township","Nga Khu Ya Village Tract",0702233
"Rakhine State","Maungdaw Township","Chan Pyin Village Tract",0702234
"Rakhine State","Maungdaw Township","Yae Twin Kyun Village Tract",0702235
"Rakhine State","Maungdaw Township","Ywet Nyo Taung Village Tract",0702236
"Rakhine State","Maungdaw Township","U Shey Kya Village Tract",0702237
"Rakhine State","Maungdaw Township","Pwint Hpyu Chaung Village Tract",0702238
"Rakhine State","Maungdaw Township","Kyar Gaung Taung Village Tract",0702239
"Rakhine State","Maungdaw Township","Yae Khat Chaung Gwa Son Village Tract",0702240
"Rakhine State","Maungdaw Township","Dar Gyi Zar Village Tract",0702241
"Rakhine State","Maungdaw Township","Ngan Chaung Village Tract",0702242
"Rakhine State","Maungdaw Township","Myaw Taung Village Tract",0702243
"Rakhine State","Maungdaw Township","Hpar Wut Chaung (Ywar Thit) Village Tract",0702244
"Rakhine State","Maungdaw Township","Tha Yet Oke Village Tract",0702245
"Rakhine State","Maungdaw Township","Maung Hna Ma Village Tract",0702246
"Rakhine State","Maungdaw Township","Kyauk Pyin Seik Village Tract",0702247
"Rakhine State","Maungdaw Township","Thu U Lar Village Tract",0702248
"Rakhine State","Maungdaw Township","Shwe Zar Kat Pa Kaung Village Tract",0702249
"Rakhine State","Maungdaw Township","Kyee Kan Pyin Village Tract",0702250
"Rakhine State","Maungdaw Township","Hla Poe Khaung Village Tract",0702251
"Rakhine State","Maungdaw Township","Kyauk Hlay Kar Village Tract",0702252
"Rakhine State","Maungdaw Township","Thet Kay Pyin Village Tract",0702253
"Rakhine State","Maungdaw Township","Zin Paing Nyar Village Tract",0702254
"Rakhine State","Maungdaw Township","Min Ga Lar Gyi (Pyin Hpyu) Village Tract",0702255
"Rakhine State","Maungdaw Township","Nwar Yon Taung Village Tract",0702256
"Rakhine State","Maungdaw Township","Ka Nyin Taw Village Tract",0702257
"Rakhine State","Maungdaw Township","Paung Zar Village Tract",0702258
"Rakhine State","Maungdaw Township","Thi Ho Kyun Village Tract",0702259
"Rakhine State","Maungdaw Township","Myo U Village Tract",0702260
"Rakhine State","Maungdaw Township","Ka Nyin Tan (a) Myo Ma Ka Nyin Tan Village Tract",0702261
"Rakhine State","Maungdaw Township","Myo Thu Gyi Village Tract",0702262
"Rakhine State","Maungdaw Township","Nyaung Chaung Village Tract",0702263
"Rakhine State","Maungdaw Township","Pan Taw Pyin Village Tract",0702264
"Rakhine State","Maungdaw Township","Tat U Chaung Village Tract",0702265
"Rakhine State","Maungdaw Township","Pa Din Village Tract",0702266
"Rakhine State","Maungdaw Township","(Du) Nyaung Pin Gyi Village Tract",0702267
"Rakhine State","Maungdaw Township","(Du) Chee Yar Tan Village Tract",0702268
"Rakhine State","Maungdaw Township","Ywar Thit Kay (Gaw Du Thar Ra) Village Tract",0702269
"Rakhine State","Maungdaw Township","(Pa) Nyaung Pin Gyi Village Tract",0702270
"Rakhine State","Maungdaw Township","U Daung Village Tract",0702271
"Rakhine State","Maungdaw Township","Kan Hpu Village Tract",0702272
"Rakhine State","Maungdaw Township","Ah Lel Than Kyaw Village Tract",0702273
"Rakhine State","Maungdaw Township","Than Dar Village Tract",0702274
"Rakhine State","Maungdaw Township","War Cha Village Tract",0702275
"Rakhine State","Maungdaw Township","Chein Khar Li Village Tract",0702276
"Rakhine State","Maungdaw Township","Zaw Ma Tet Village Tract",0702277
"Rakhine State","Maungdaw Township","Ka Nyin Tan (a) Alel Than Kyaw Ka Nyin Tan Village Tract",0702278
"Rakhine State","Maungdaw Township","Tha Yae Kone Tan Village Tract",0702279
"Rakhine State","Maungdaw Township","Kyaung Taung Village Tract",0702280
"Rakhine State","Maungdaw Township","Tha Pyay Taw Village Tract",0702281
"Rakhine State","Maungdaw Township","Kyauk Chaung Village Tract",0702282
"Rakhine State","Maungdaw Township","Kyauk Pan Du Village Tract",0702283
"Rakhine State","Maungdaw Township","Thin Baw Kwe Village Tract",0702284
"Rakhine State","Maungdaw Township","Inn Din Village Tract",0702285
"Rakhine State","Maungdaw Township","Tha Win Chaung Village Tract",0702286
"Rakhine State","Maungdaw Township","Aung Zay Ya (Nyein Chan Yay) Village Tract",0702287
"Rakhine State","Maungdaw Township","Mee Taik Village Tract",0702288
"Rakhine State","Maungdaw Township","Taung Pyo Let Yar Village Tract",0702289
"Rakhine State","Maungdaw Township","Kun Thee Pin Village Tract",0702290
"Rakhine State","Maungdaw Township","Thea Chaung Village Tract",0702291
"Rakhine State","Maungdaw Township","Leik Ya Village Tract",0702292
"Rakhine State","Maungdaw Township","Kyun Pauk Sin Oe Village Tract",0702293
"Rakhine State","Maungdaw Township","Zee Pin Chaung Village Tract",0702294
"Rakhine State","Maungdaw Township","Yae Twin Pyin Village Tract",0702295
"Rakhine State","Buthidaung Township","Ba Da Kar Village Tract",0703200
"Rakhine State","Buthidaung Township","Kyaung Taung Village Tract",0703201
"Rakhine State","Buthidaung Township","Tin May Village Tract",0703202
"Rakhine State","Buthidaung Township","Goke Pi Village Tract",0703203
"Rakhine State","Buthidaung Township","Kyun Pauk Village Tract",0703204
"Rakhine State","Buthidaung Township","Myauk Ye (a) Pan Be Chaung Village Tract",0703205
"Rakhine State","Buthidaung Township","Zee Hton Village Tract",0703206
"Rakhine State","Buthidaung Township","Ba Da Nar Village Tract",0703207
"Rakhine State","Buthidaung Township","Laung Chaung Village Tract",0703208
"Rakhine State","Buthidaung Township","Tat Min Chaung Village Tract",0703209
"Rakhine State","Buthidaung Township","Nga/ Kyin Tauk Village Tract",0703210
"Rakhine State","Buthidaung Township","Mee Kyaung Khaung Swea Village Tract",0703211
"Rakhine State","Buthidaung Township","Inn Chaung Village Tract",0703212
"Rakhine State","Buthidaung Township","Nga Yant Chaung Village Tract",0703213
"Rakhine State","Buthidaung Township","Yin Ma Kyaung Taung Village Tract",0703214
"Rakhine State","Buthidaung Township","Ta Ya Gu Village Tract",0703215
"Rakhine State","Buthidaung Township","Thin Ga Net Village Tract",0703216
"Rakhine State","Buthidaung Township","Mee Chaung Zay Village Tract",0703217
"Rakhine State","Buthidaung Township","Dar Paing Sa Yar Village Tract",0703218
"Rakhine State","Buthidaung Township","Maung Gyi Taung Village Tract",0703219
"Rakhine State","Buthidaung Township","Chin Tha Mar Village Tract",0703220
"Rakhine State","Buthidaung Township","Kyauk Taung (a) Pyin Shey Village Tract",0703221
"Rakhine State","Buthidaung Township","San Hnyin Wai Village Tract",0703222
"Rakhine State","Buthidaung Township","Oke Taung Village Tract",0703223
"Rakhine State","Buthidaung Township","Kha Maung Chaung Village Tract",0703224
"Rakhine State","Buthidaung Township","Laung Yon Village Tract",0703225
"Rakhine State","Buthidaung Township","Aw Ra Ma (a) Yee Chaung Pyin Hla Village Tract",0703226
"Rakhine State","Buthidaung Township","Aye Yar Cha Village Tract",0703227
"Rakhine State","Buthidaung Township","Ka Nyin Chaung Village Tract",0703228
"Rakhine State","Buthidaung Township","Da Pyu Chaung Village Tract",0703229
"Rakhine State","Buthidaung Township","Tha Yet Kin Ma Nu Village Tract",0703230
"Rakhine State","Buthidaung Township","Kun Taing (a) Zee Pin Taung Village Tract",0703231
"Rakhine State","Buthidaung Township","Nan Yar Kone Village Tract",0703232
"Rakhine State","Buthidaung Township","Ywar Ma Village Tract",0703233
"Rakhine State","Buthidaung Township","Let Wea Det Pyin Shey Village Tract",0703234
"Rakhine State","Buthidaung Township","Kyauk Hpyu Taung Village Tract",0703235
"Rakhine State","Buthidaung Township","Let Wea Det Pu Zun Chaung Village Tract",0703236
"Rakhine State","Buthidaung Township","Ba Gone Nar Village Tract",0703237
"Rakhine State","Buthidaung Township","Ka Kyet Bet Kan Pyin Village Tract",0703238
"Rakhine State","Buthidaung Township","Ka Kyet Bet Village Tract",0703239
"Rakhine State","Buthidaung Township","Myaung Nar Village Tract",0703240
"Rakhine State","Buthidaung Township","Ah Lel Chaung Village Tract",0703241
"Rakhine State","Buthidaung Township","Kin Chaung Village Tract",0703242
"Rakhine State","Buthidaung Township","U Hla Hpay Village Tract",0703243
"Rakhine State","Buthidaung Township","Ywet Nyo Taung Village Tract",0703244
"Rakhine State","Buthidaung Township","Ah Twin Hnget Thay Village Tract",0703245
"Rakhine State","Buthidaung Township","Kin Taung (a) Kyar Nyo Pyin Village Tract",0703246
"Rakhine State","Buthidaung Township","Pyin Chaung Village Tract",0703247
"Rakhine State","Buthidaung Township","Tha Yet Pyin Village Tract",0703248
"Rakhine State","Buthidaung Township","Lay Myo Village Tract",0703249
"Rakhine State","Buthidaung Township","Hpon Nyo Leik Village Tract",0703250
"Rakhine State","Buthidaung Township","Wa Ya Kyun Village Tract",0703251
"Rakhine State","Buthidaung Township","Tha Peik Taung Village Tract",0703252
"Rakhine State","Buthidaung Township","Sein Hnyin Pyar Village Tract",0703253
"Rakhine State","Buthidaung Township","Gu Dar Pyin Village Tract",0703254
"Rakhine State","Buthidaung Township","Hpoe Khaung Chaung (a) Kan Pyin Village Tract",0703255
"Rakhine State","Buthidaung Township","U Kyaw (a) Thar Zin Village Tract",0703256
"Rakhine State","Buthidaung Township","Hpa Yar Pyin Thein Tan Village Tract",0703257
"Rakhine State","Buthidaung Township","Say Oe Kya Village Tract",0703258
"Rakhine State","Buthidaung Township","Kyauk Yan Village Tract",0703259
"Rakhine State","Buthidaung Township","San Goe Taung Village Tract",0703260
"Rakhine State","Buthidaung Township","Sa Par Htar Village Tract",0703261
"Rakhine State","Buthidaung Township","Say Taung Village Tract",0703262
"Rakhine State","Buthidaung Township","Thaing Ta Poke Village Tract",0703263
"Rakhine State","Buthidaung Township","Wet Ma Kya (a) Zay Di Taung Village Tract",0703264
"Rakhine State","Buthidaung Township","Thay Kan Gwa Son Village Tract",0703265
"Rakhine State","Buthidaung Township","Kyauk Hpyu Thar Thay Kan Village Tract",0703266
