Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Sagaing Region","Nanyun Township","Sha Ra Quarter",0201001
"Sagaing Region","Nanyun Township","Myo Ma Quarter",0201002
"Sagaing Region","Nanyun Township","Raw Kaw Quarter",0201003
"Sagaing Region","Lahe Township","Ah Hmu Htan Quarter",0202001
"Sagaing Region","Lahe Township","Lahe Ywar Ma Quarter",0202002
"Sagaing Region","Lahe Township","No (1) Toe Cheit Quarter",0202003
"Sagaing Region","Lahe Township","No (2) Toe Cheit Quarter",0202004
"Sagaing Region","Hkamti Township","Paw Maing Quarter",0203001
"Sagaing Region","Hkamti Township","Hkamti Myo Ma Quarter",0203002
"Sagaing Region","Hkamti Township","Zee Hpyu Kone Quarter",0203003
"Sagaing Region","Lay Shi Township","Myo Ma Quarter",0204001
"Sagaing Region","Lay Shi Township","Ah Hmu Htan Quarter",0204002
"Sagaing Region","Homalin Township","Homalin Quarter",0205001
"Sagaing Region","Homalin Township","Naung Pa Kyit Quarter",0205002
"Sagaing Region","Homalin Township","Hko Pe Wa Quarter",0205003
"Sagaing Region","Paungbyin Township","Kyun Shwe War Quarter",0206001
"Sagaing Region","Paungbyin Township","In Gyin Myaing Quarter",0206002
"Sagaing Region","Tamu Township","Tamu Myo Ma Quarter",0207001
"Sagaing Region","Tamu Township","Zay Tan Quarter",0207002
"Sagaing Region","Tamu Township","San Da Ku Quarter",0207003
"Sagaing Region","Tamu Township","Saw Bwar Inn Quarter",0207004
"Sagaing Region","Mawlaik Township","Myo Ma  No (1) Quarter",0208001
"Sagaing Region","Mawlaik Township","Myo Ma No (2) Quarter",0208002
"Sagaing Region","Kale Township","Nyaung Pin Thar Quarter",0209001
"Sagaing Region","Kale Township","Pin Lon Quarter",0209002
"Sagaing Region","Kale Township","Aung Thit Sar Quarter",0209003
"Sagaing Region","Kale Township","Aung Min Ga Lar Quarter",0209004
"Sagaing Region","Kale Township","Tar Han Quarter",0209005
"Sagaing Region","Kale Township","Min Ga Lar U Yin Quarter",0209006
"Sagaing Region","Kale Township","Aung Myay Man Quarter",0209007
"Sagaing Region","Kale Township","Aung Zay Ya Quarter",0209008
"Sagaing Region","Kale Township","Chan Myayt Aung Si Quarter",0209009
"Sagaing Region","Kale Township","Tat U Thi Dar Quarter",0209010
"Sagaing Region","Kale Township","Tha Zin Quarter",0209011
"Sagaing Region","Kale Township","San Myo Quarter",0209012
"Sagaing Region","Kale Township","Taung Pee Lar Quarter",0209013
"Sagaing Region","Kale Township","Taung Zalat Quarter",0209014
"Sagaing Region","Kale Township","Gyo Thone Pin Quarter",0209015
"Sagaing Region","Kale Township","Hlaing Thar Yar Quarter",0209016
"Sagaing Region","Kale Township","Myo Hla Quarter",0209017
"Sagaing Region","Kale Township","In Daing Kone Quarter",0209018
"Sagaing Region","Kale Township","Myo Thar Quarter",0209019
"Sagaing Region","Kale Township","Aung Myit Tar Quarter",0209020
"Sagaing Region","Kalewa Township","No (1) Ywar Thit Quarter",0210001
"Sagaing Region","Kalewa Township","No (2) Aung Chan Thar Quarter",0210002
"Sagaing Region","Kalewa Township","No (3) Aung Min Ga Lar Quarter",0210003
"Sagaing Region","Mingin Township","Myo Ma Quarter",0211001
"Sagaing Region","Mingin Township","Zay Tan Quarter",0211002
"Sagaing Region","Mingin Township","Tha Yet Taw Quarter",0211003
"Sagaing Region","Kani Township","No (1) Quarter",0212001
"Sagaing Region","Kani Township","No (2) Quarter",0212002
"Sagaing Region","Kani Township","No (3) Quarter",0212003
"Sagaing Region","Banmauk Township","Mya Nan Dar Quarter",0213001
"Sagaing Region","Banmauk Township","Myo Ma Quarter",0213002
"Sagaing Region","Banmauk Township","Hlwa Sin Kone Quarter",0213003
"Sagaing Region","Indaw Township","Aung Min Ga Lar Quarter",0214001
"Sagaing Region","Indaw Township","Aung Chan Thar Quarter",0214002
"Sagaing Region","Indaw Township","Aung Zay Ya Quarter",0214003
"Sagaing Region","Indaw Township","Aung Myit Tar Quarter",0214004
"Sagaing Region","Katha Township","Myauk Paing Quarter",0215001
"Sagaing Region","Katha Township","Ah Lel Paing Quarter",0215002
"Sagaing Region","Katha Township","Taung Paing Quarter",0215003
"Sagaing Region","Katha Township","Thu Htay Kone Quarter",0215004
"Sagaing Region","Katha Township","Zay Yar Chaung Quarter",0215005
"Sagaing Region","Katha Township","Set Pan Quarter",0215006
"Sagaing Region","Katha Township","Hlyat Sit Kone Quarter",0215007
"Sagaing Region","Katha Township","Pein Hne Kone Quarter",0215008
"Sagaing Region","Katha Township","Pa Da Myar Quarter",0215009
"Sagaing Region","Katha Township","Tha Hpan Saing Quarter",0215010
"Sagaing Region","Pinlebu Township","Moe Kaung Quarter",0216001
"Sagaing Region","Pinlebu Township","Myo Ma Quarter",0216002
"Sagaing Region","Wuntho Township","Shwe Wun Thi Dar Quarter",0217001
"Sagaing Region","Wuntho Township","Saw Bwar Gyi Quarter",0217002
"Sagaing Region","Wuntho Township","Kya Maing Quarter",0217003
"Sagaing Region","Wuntho Township","Sit Ke Gyi Quarter",0217004
"Sagaing Region","Kawlin Township","Myauk Inn Quarter",0218001
"Sagaing Region","Kawlin Township","Kyaw Zay Yar (1) Quarter",0218002
"Sagaing Region","Kawlin Township","Zay Yon Bo Te Quarter",0218003
"Sagaing Region","Kawlin Township","Myo Ma Myo Kone Quarter",0218004
"Sagaing Region","Kawlin Township","Pyin Oo Lwin Quarter",0218005
"Sagaing Region","Kawlin Township","Set Yon Lel Pyin Quarter",0218006
"Sagaing Region","Kawlin Township","Kyaw Zay Yar (2) Quarter",0218007
"Sagaing Region","Kawlin Township","Min Te Gyi Quarter",0218008
"Sagaing Region","Tigyaing Township","San Pya(Aung San San Pya) Quarter",0219001
"Sagaing Region","Tigyaing Township","Aung Zay Yar Quarter",0219002
"Sagaing Region","Tigyaing Township","Wi Thar Khar Quarter",0219003
"Sagaing Region","Tigyaing Township","Ba Yint Naung Quarter",0219004
"Sagaing Region","Kyunhla Township","Pi Tauk Myaing Quarter",0220001
"Sagaing Region","Kyunhla Township","Thit Yar Myaing Quarter",0220002
"Sagaing Region","Kyunhla Township","In Gyin Myaing Quarter",0220003
"Sagaing Region","Kyunhla Township","Pyin Ma Myaing Quarter",0220004
"Sagaing Region","Kanbalu Township","No (1) Quarter",0221001
"Sagaing Region","Kanbalu Township","No (2) Quarter",0221002
"Sagaing Region","Kanbalu Township","No (3) Quarter",0221003
"Sagaing Region","Kanbalu Township","No (4) Quarter",0221004
"Sagaing Region","Kanbalu Township","No (5) Quarter",0221005
"Sagaing Region","Taze Township","Bo Mya Quarter",0222001
"Sagaing Region","Taze Township","Paw-U Quarter",0222002
