Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Sagaing Region","Nanyun Township","Sha Ra Quarter",0201001
"Sagaing Region","Nanyun Township","Myo Ma Quarter",0201002
"Sagaing Region","Nanyun Township","Raw Kaw Quarter",0201003
"Sagaing Region","Nanyun Township","Pi Naung Sut Village Tract",0201200
"Sagaing Region","Nanyun Township","Kye Tha Yauk (Sun Par) Village Tract",0201201
"Sagaing Region","Nanyun Township","Tha Man Chaung Son Village Tract",0201202
"Sagaing Region","Nanyun Township","Kyaing Raing Village Tract",0201203
"Sagaing Region","Nanyun Township","Yaung Ngway Village Tract",0201204
"Sagaing Region","Nanyun Township","Har War Village Tract",0201205
"Sagaing Region","Nanyun Township","Kha Let Leik Taw Village Tract",0201206
"Sagaing Region","Nanyun Township","Shan Shein (Shar Yar) Village Tract",0201207
"Sagaing Region","Nanyun Township","Lar Khu (1) Village Tract",0201208
"Sagaing Region","Nanyun Township","Shar Mee Village Tract",0201209
"Sagaing Region","Nanyun Township","San Lun Village Tract",0201210
"Sagaing Region","Nanyun Township","Lun Yan Village Tract",0201211
"Sagaing Region","Nanyun Township","Ga Gaw Ka Bar Village Tract",0201212
"Sagaing Region","Nanyun Township","Thar Man Village Tract",0201213
"Sagaing Region","Nanyun Township","Lein Hnoke (1) Village Tract",0201214
"Sagaing Region","Nanyun Township","Ah Htet Lu Lun Village Tract",0201215
"Sagaing Region","Nanyun Township","Lon Tun Village Tract",0201216
"Sagaing Region","Nanyun Township","Hpar Kyet Village Tract",0201217
"Sagaing Region","Nanyun Township","Yaw Kyaw Village Tract",0201218
"Sagaing Region","Nanyun Township","Chein Kauk Village Tract",0201219
"Sagaing Region","Nanyun Township","Taw Lun Village Tract",0201220
"Sagaing Region","Nanyun Township","Lat Kee Lon Yar Village Tract",0201221
"Sagaing Region","Nanyun Township","San Tee Village Tract",0201222
"Sagaing Region","Nanyun Township","Rein Khu Village Tract",0201223
"Sagaing Region","Nanyun Township","Kar Lun Village Tract",0201224
"Sagaing Region","Nanyun Township","Mi Ku Nauk Kone Village Tract",0201225
"Sagaing Region","Nanyun Township","Kyar Wun Nauk Pauk Village Tract",0201226
"Sagaing Region","Nanyun Township","Taw Kye Village Tract",0201227
"Sagaing Region","Nanyun Township","Yan Si Village Tract",0201228
"Sagaing Region","Nanyun Township","Lun Nu Village Tract",0201229
"Sagaing Region","Nanyun Township","Chan Ban Village Tract",0201230
"Sagaing Region","Nanyun Township","Ka Gyi Chan My Village Tract",0201231
"Sagaing Region","Nanyun Township","Don Hee (Don Yee Sub-township) Village Tract",0201232
"Sagaing Region","Nanyun Township","Ha Khee Village Tract",0201233
"Sagaing Region","Nanyun Township","Lar Mar Village Tract",0201234
"Sagaing Region","Nanyun Township","Ngaing Maung Village Tract",0201235
"Sagaing Region","Nanyun Township","Lar Haung Village Tract",0201236
"Sagaing Region","Nanyun Township","Ha San Kaing Village Tract",0201237
"Sagaing Region","Nanyun Township","Leik Lin Kan Village Tract",0201238
"Sagaing Region","Nanyun Township","Hnoke Par Village Tract",0201239
"Sagaing Region","Nanyun Township","Bo Te Lar Nu Village Tract",0201240
"Sagaing Region","Nanyun Township","Ha Khun Village Tract",0201241
"Sagaing Region","Nanyun Township","Ha Haung Village Tract",0201242
"Sagaing Region","Nanyun Township","Kaw Lan Village Tract",0201243
"Sagaing Region","Nanyun Township","Ha Chun Sar Village Tract",0201244
"Sagaing Region","Nanyun Township","Ha Sheik Nauk Nyu Village Tract",0201245
"Sagaing Region","Nanyun Township","Ke San Bauk Lun Village Tract",0201246
"Sagaing Region","Nanyun Township","Ke San Sar Lin Village Tract",0201247
"Sagaing Region","Nanyun Township","Yan Naw San Ri Village Tract",0201248
"Sagaing Region","Nanyun Township","Chan Ma Kauk San Ri Village Tract",0201249
"Sagaing Region","Nanyun Township","Wan Ka Sun Khaw Village Tract",0201250
"Sagaing Region","Nanyun Township","Kyu Yan Village Tract",0201251
"Sagaing Region","Nanyun Township","Ke San Laung Kyan Village Tract",0201252
"Sagaing Region","Nanyun Township","Kar Yaw Kon Shwe Village Tract",0201253
"Sagaing Region","Nanyun Township","Pun Shein Village Tract",0201254
"Sagaing Region","Nanyun Township","Sheik Nyu Village Tract",0201255
"Sagaing Region","Nanyun Township","Yaw Kun Village Tract",0201256
"Sagaing Region","Nanyun Township","Shan He Village Tract",0201257
"Sagaing Region","Nanyun Township","Ta Kaing Village Tract",0201258
"Sagaing Region","Nanyun Township","Naung Yan Village Tract",0201259
"Sagaing Region","Nanyun Township","Ta Kone (1) Village Tract",0201260
"Sagaing Region","Nanyun Township","Naung Ka Lu Village Tract",0201261
"Sagaing Region","Nanyun Township","Nan Lit Village Tract",0201262
"Sagaing Region","Nanyun Township","Hta Haw (1) Village Tract",0201263
"Sagaing Region","Nanyun Township","Hu Laung Village Tract",0201264
"Sagaing Region","Nanyun Township","Lon Laung Village Tract",0201265
"Sagaing Region","Nanyun Township","Wut Htan Village Tract",0201266
"Sagaing Region","Lahe Township","Ah Hmu Htan Quarter",0202001
"Sagaing Region","Lahe Township","Lahe Ywar Ma Quarter",0202002
"Sagaing Region","Lahe Township","No (1) Toe Cheit Quarter",0202003
"Sagaing Region","Lahe Township","No (2) Toe Cheit Quarter",0202004
"Sagaing Region","Lahe Township","Kar Mway Law Ri Village Tract",0202200
"Sagaing Region","Lahe Township","Yan Kyone Village Tract",0202201
"Sagaing Region","Lahe Township","Nauk Nyu Khar San Village Tract",0202202
"Sagaing Region","Lahe Township","Kar Yaw Nauk Nyo Village Tract",0202203
"Sagaing Region","Lahe Township","Htan Khaw Nauk Kone Village Tract",0202204
"Sagaing Region","Lahe Township","Khan Ma Lar Village Tract",0202205
"Sagaing Region","Lahe Township","Maw Hpun Village Tract",0202206
"Sagaing Region","Lahe Township","Ant Paw Village Tract",0202207
"Sagaing Region","Lahe Township","Yan Kyein Village Tract",0202208
"Sagaing Region","Lahe Township","Law Nauk Kone Village Tract",0202209
"Sagaing Region","Lahe Township","Tway Htway Nauk Kone Village Tract",0202210
"Sagaing Region","Lahe Township","La Kyan Village Tract",0202211
"Sagaing Region","Lahe Township","Saw Law Village Tract",0202212
"Sagaing Region","Lahe Township","Hway Htaik Village Tract",0202213
"Sagaing Region","Lahe Township","Laung Kyan Nauk Kone Village Tract",0202214
"Sagaing Region","Lahe Township","Ma Kyan Village Tract",0202215
"Sagaing Region","Lahe Township","Nyin Shaung Village Tract",0202216
"Sagaing Region","Lahe Township","Kat Pa Lan Day Waw Village Tract",0202217
"Sagaing Region","Lahe Township","Han Sin Village Tract",0202218
"Sagaing Region","Lahe Township","Ku Ku Nauk Kone Village Tract",0202219
