Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (East)","Kengtung Township","No (1) Quarter",1701001
"Shan State (East)","Kengtung Township","No (2) Quarter",1701002
"Shan State (East)","Kengtung Township","No (3) Quarter",1701003
"Shan State (East)","Kengtung Township","No (4) Quarter",1701004
"Shan State (East)","Kengtung Township","No (5) Quarter",1701005
"Shan State (East)","Mongkhet Township","No (1) Quarter",1702001
"Shan State (East)","Mongkhet Township","No (2) Quarter",1702002
"Shan State (East)","Mongyang Township","Kyein Hin Quarter",1703001
"Shan State (East)","Mongyang Township","Zay Tan Quarter",1703002
"Shan State (East)","Mongyang Township","Par Nwan Quarter",1703003
"Shan State (East)","Mongyang Township","Par Mai Quarter",1703004
"Shan State (East)","Mongyang Township","Mun Ke Quarter",1703005
"Shan State (East)","Mongyang Township","Mong Ping Quarter",1703006
"Shan State (East)","Mongyang Township","Mauk Mai Quarter",1703007
"Shan State (East)","Mongyang Township","Wein Leik Quarter",1703008
"Shan State (East)","Mongyang Township","Ho Kat Quarter",1703009
"Shan State (East)","Mongyang Township","Haw Ke Quarter",1703010
"Shan State (East)","Mongyang Township","Haw Haik Quarter",1703011
"Shan State (East)","Mongla Township","No (1) Quarter",1704001
"Shan State (East)","Mongla Township","No (2) Quarter",1704002
"Shan State (East)","Monghsat Township","Kya Dei Quarter",1705001
"Shan State (East)","Monghsat Township","Mae Sum (South) Quarter",1705002
"Shan State (East)","Monghsat Township","Mae Sum (North) Quarter",1705003
"Shan State (East)","Monghsat Township","Myo Thit Quarter",1705004
"Shan State (East)","Monghsat Township","Wein Nay Quarter",1705005
"Shan State (East)","Monghsat Township","Wein Waing Quarter",1705006
"Shan State (East)","Mongping Township","Ping Sang Quarter",1706001
"Shan State (East)","Mongping Township","Ah Lel Paing Quarter",1706002
"Shan State (East)","Mongping Township","Auk Zay Tan Quarter",1706003
"Shan State (East)","Mongton Township","Myo Ma Quarter",1707001
"Shan State (East)","Mongton Township","Nawng Pa Yin Quarter",1707002
"Shan State (East)","Mongton Township","Wan Mai Quarter",1707003
"Shan State (East)","Tachileik Township","Hsay Hkam Quarter",1708001
"Shan State (East)","Tachileik Township","Hsan Hseng(Ka Gyi) Quarter",1708002
"Shan State (East)","Tachileik Township","Hsan Hseng  (Kha Gway) Quarter",1708003
"Shan State (East)","Tachileik Township","Tar Lawt Quarter",1708004
"Shan State (East)","Tachileik Township","Par Sat Quarter",1708005
"Shan State (East)","Tachileik Township","Pone Tun Quarter",1708006
"Shan State (East)","Tachileik Township","Ma Kar Ho Hkam Quarter",1708007
"Shan State (East)","Tachileik Township","Mae Khawng Quarter",1708008
"Shan State (East)","Tachileik Township","Yan Aung Myay Quarter",1708009
"Shan State (East)","Tachileik Township","Wan Kawng Quarter",1708010
"Shan State (East)","Tachileik Township","Wein Kyauk Quarter",1708011
"Shan State (East)","Monghpyak Township","Zay Tan Quarter",1709001
"Shan State (East)","Monghpyak Township","Wan Mai Quarter",1709002
"Shan State (East)","Monghpyak Township","Wan Whay Quarter",1709003
"Shan State (East)","Mongyawng Township","No (1) Quarter",1710001
"Shan State (East)","Mongyawng Township","No (2) Quarter",1710002
"Shan State (East)","Mongyawng Township","No (3) Quarter",1710003
"Shan State (East)","Mongyawng Township","No (4) Quarter",1710004
"Shan State (East)","Mongyawng Township","No (5) Quarter",1710005
"Shan State (East)","Mongyawng Township","No (6) Quarter",1710006
"Shan State (East)","Mongyawng Township","No (7) Quarter",1710007
"Shan State (East)","Mongyawng Township","No (8) Quarter",1710008
"Shan State (East)","Mongyawng Township","No (9) Quarter",1710009
"Shan State (East)","Mongkhoke Town","No (1) Quarter",1760001
"Shan State (East)","Mongkhoke Town","No (2) Quarter",1760002
"Shan State (East)","Mongkhoke Town","No (3) Quarter",1760003
"Shan State (East)","Tontar Town","No (1) Quarter",1761001
"Shan State (East)","Tontar Town","No (2) Quarter",1761002
"Shan State (East)","Tontar Town","No (3) Quarter",1761003
"Shan State (East)","Tontar Town","No (4) Quarter",1761004
"Shan State (East)","Ponparkyin Town","No (1) Quarter",1762001
"Shan State (East)","Ponparkyin Town","No (2) Quarter",1762002
"Shan State (East)","Ponparkyin Town","No (3) Quarter",1762003
"Shan State (East)","Ponparkyin Town","No (4) Quarter",1762004
"Shan State (East)","Ponparkyin Town","No (5) Quarter",1762005
"Shan State (East)","Hmone Hta Town","No (1) Quarter",1763001
"Shan State (East)","Hmone Hta Town","No (2) Quarter",1763002
"Shan State (East)","Hmone Hta Town","No (3) Quarter",1763003
"Shan State (East)","Kenglat Town","No (1) Quarter",1764001
"Shan State (East)","Kenglat Town","No (2) Quarter",1764002
"Shan State (East)","Kenglat Town","No (3) Quarter",1764003
"Shan State (East)","Tarlay Town","No (1) Quarter",1765001
"Shan State (East)","Tarlay Town","No (2) Quarter",1765002
"Shan State (East)","Tarlay Town","No (3) Quarter",1765003
"Shan State (East)","Tarlay Town","No (4) Quarter",1765004
"Shan State (East)","Mongyu Town","Mongyu Myo Ma Quarter",1766001
