Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (East)","Kengtung Township","Kat Taung Village Tract",1701200
"Shan State (East)","Kengtung Township","Kat Htaik Village Tract",1701201
"Shan State (East)","Kengtung Township","Kat Hpa Village Tract",1701202
"Shan State (East)","Kengtung Township","Tar Lay Village Tract",1701203
"Shan State (East)","Kengtung Township","Nam Hkat Village Tract",1701204
"Shan State (East)","Kengtung Township","Nam Ni/Nam Long Village Tract",1701205
"Shan State (East)","Kengtung Township","Nam Inn Village Tract",1701206
"Shan State (East)","Kengtung Township","Nar Paw Village Tract",1701207
"Shan State (East)","Kengtung Township","Nawng Kon Village Tract",1701208
"Shan State (East)","Kengtung Township","Nawng Tawng Village Tract",1701209
"Shan State (East)","Kengtung Township","Pin Tauk Village Tract",1701210
"Shan State (East)","Kengtung Township","Pang Kyu Village Tract",1701211
"Shan State (East)","Kengtung Township","Pang Mat Village Tract",1701212
"Shan State (East)","Kengtung Township","Mong Kai Village Tract",1701213
"Shan State (East)","Kengtung Township","Mong Ngun Village Tract",1701214
"Shan State (East)","Kengtung Township","Mong Zin Village Tract",1701215
"Shan State (East)","Kengtung Township","Mong Da Hkun Village Tract",1701216
"Shan State (East)","Kengtung Township","Mong Naw/Hpar Ta Village Tract",1701217
"Shan State (East)","Kengtung Township","Mong Pat (Upper) Village Tract",1701218
"Shan State (East)","Kengtung Township","Mong Pat (Lower) Village Tract",1701219
"Shan State (East)","Kengtung Township","Mong Pang (Middle) Village Tract",1701220
"Shan State (East)","Kengtung Township","Mong Lan Village Tract",1701221
"Shan State (East)","Kengtung Township","Mong Lat Village Tract",1701222
"Shan State (East)","Kengtung Township","Mong Inn Village Tract",1701223
"Shan State (East)","Kengtung Township","Yang Kying Village Tract",1701224
"Shan State (East)","Kengtung Township","Yang Hka Village Tract",1701225
"Shan State (East)","Kengtung Township","Yang Law Village Tract",1701226
"Shan State (East)","Kengtung Township","Loi Long Village Tract",1701227
"Shan State (East)","Kengtung Township","Loi Mway Village Tract",1701228
"Shan State (East)","Kengtung Township","Wut Sawng Village Tract",1701229
"Shan State (East)","Kengtung Township","Hway Kwei Village Tract",1701230
"Shan State (East)","Mongkhet Township","Ton Hpa Kaw Village Tract",1702200
"Shan State (East)","Mongkhet Township","Nam Hsaw Village Tract",1702201
"Shan State (East)","Mongkhet Township","Nam Yang Long Village Tract",1702202
"Shan State (East)","Mongkhet Township","Nawng Long Village Tract",1702203
"Shan State (East)","Mongkhet Township","Par Hkar Long Village Tract",1702204
"Shan State (East)","Mongkhet Township","Par Pun Village Tract",1702205
"Shan State (East)","Mongkhet Township","Hpar Lan/Kaw Village Tract",1702206
"Shan State (East)","Mongkhet Township","Mong Kar Village Tract",1702207
"Shan State (East)","Mongkhet Township","Mong Hnyin Village Tract",1702208
"Shan State (East)","Mongkhet Township","Mong Hnone Village Tract",1702209
"Shan State (East)","Mongkhet Township","Mong Han Village Tract",1702210
"Shan State (East)","Mongkhet Township","Wan Hkoke Village Tract",1702211
"Shan State (East)","Mongkhet Township","Wan Nawng Long Village Tract",1702212
"Shan State (East)","Mongkhet Township","Wan Pin Village Tract",1702213
"Shan State (East)","Mongkhet Township","Wan Aun Village Tract",1702214
"Shan State (East)","Mongkhet Township","Hoke Pong Village Tract",1702215
"Shan State (East)","Mongyang Township","Nam Hsi Pang Village Tract",1703200
"Shan State (East)","Mongyang Township","Nam Mawng Village Tract",1703201
"Shan State (East)","Mongyang Township","Par Hsan Kya Village Tract",1703202
"Shan State (East)","Mongyang Township","Pauk Nway Village Tract",1703203
"Shan State (East)","Mongyang Township","Mut Kin Village Tract",1703204
"Shan State (East)","Mongyang Township","Mun Hkam Hing Village Tract",1703205
"Shan State (East)","Mongyang Township","Mong Tway Village Tract",1703206
"Shan State (East)","Mongyang Township","Mong Pauk (Kachin) Village Tract",1703207
"Shan State (East)","Mongyang Township","Mong Hpyan Village Tract",1703208
"Shan State (East)","Mongyang Township","Mongyang Village Tract",1703209
"Shan State (East)","Mongyang Township","Mong Lway Village Tract",1703210
"Shan State (East)","Mongyang Township","Yang Kawng Village Tract",1703211
"Shan State (East)","Mongyang Township","Yang Ngin Village Tract",1703212
"Shan State (East)","Mongyang Township","Ho Tawng Village Tract",1703213
"Shan State (East)","Mongyang Township","Ann Hkit Village Tract",1703214
"Shan State (East)","Mongla Township","Sut Pa Lway Village Tract",1704200
"Shan State (East)","Mongla Township","Tar Pin Village Tract",1704201
"Shan State (East)","Mongla Township","Tar Pong Village Tract",1704202
"Shan State (East)","Mongla Township","Hta Pang Long Village Tract",1704203
"Shan State (East)","Mongla Township","Mong Ma Village Tract",1704204
"Shan State (East)","Mongla Township","Mong Wa Village Tract",1704205
"Shan State (East)","Mongla Township","Wan Pong Village Tract",1704206
"Shan State (East)","Mongla Township","Wan Hpar Hkar Village Tract",1704207
"Shan State (East)","Mongla Township","Wan Mong Long Village Tract",1704208
"Shan State (East)","Monghsat Township","Kya Ti Village Tract",1705200
"Shan State (East)","Monghsat Township","Kawng Hmu Kan Village Tract",1705201
"Shan State (East)","Monghsat Township","Sa Tone Village Tract",1705202
"Shan State (East)","Monghsat Township","Hsan Kan Village Tract",1705203
"Shan State (East)","Monghsat Township","Hsaik Hkawng Village Tract",1705204
"Shan State (East)","Monghsat Township","Tant Hseng Village Tract",1705205
"Shan State (East)","Monghsat Township","Nang Mun Village Tract",1705206
"Shan State (East)","Monghsat Township","Hpan Hpu Village Tract",1705207
"Shan State (East)","Monghsat Township","Mae Hsat Village Tract",1705208
"Shan State (East)","Monghsat Township","Mae Sum Taung Village Tract",1705209
"Shan State (East)","Monghsat Township","Mae Nin Village Tract",1705210
"Shan State (East)","Monghsat Township","Mae Pu Long Village Tract",1705211
"Shan State (East)","Monghsat Township","Ma Huong Kan Village Tract",1705212
"Shan State (East)","Monghsat Township","Ma Huong Loi Village Tract",1705213
"Shan State (East)","Monghsat Township","Ma Oht Village Tract",1705214
"Shan State (East)","Monghsat Township","Mong Tun (Taung Paw) Village Tract",1705215
"Shan State (East)","Monghsat Township","Mong Hta Lang Village Tract",1705216
"Shan State (East)","Monghsat Township","Mong Nin Village Tract",1705217
"Shan State (East)","Monghsat Township","Mong Yun (Tar Ku) Village Tract",1705218
"Shan State (East)","Monghsat Township","Mong Long Village Tract",1705219
"Shan State (East)","Monghsat Township","Loi Hsawng Village Tract",1705220
"Shan State (East)","Monghsat Township","Loi Lan Village Tract",1705221
