Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (North)","Lashio Township","Thi Ri Ma Har Quarter",1601001
"Shan State (North)","Lashio Township","Aung Myit Tar Quarter",1601002
"Shan State (North)","Lashio Township","Shwe Bon Thar Quarter",1601003
"Shan State (North)","Lashio Township","Ahr Yon Taw Quarter",1601004
"Shan State (North)","Lashio Township","Aung Min Ga Lar Quarter",1601005
"Shan State (North)","Lashio Township","Shwe Li Quarter",1601006
"Shan State (North)","Lashio Township","Than Lwin Quarter",1601007
"Shan State (North)","Lashio Township","Aung Thi Dar Quarter",1601008
"Shan State (North)","Lashio Township","Myanmar Khar Yoe Quarter",1601009
"Shan State (North)","Lashio Township","Myo Wan Quarter",1601010
"Shan State (North)","Lashio Township","Nam Pa Hkyi Quarter",1601011
"Shan State (North)","Lashio Township","Lashio Gyi Quarter",1601012
"Shan State (North)","Hseni Township","No (1) Quarter",1602001
"Shan State (North)","Hseni Township","No (2) Quarter",1602002
"Shan State (North)","Hseni Township","No (3) Quarter",1602003
"Shan State (North)","Hseni Township","No (4) Quarter",1602004
"Shan State (North)","Mongyai Township","No (1) Quarter",1603001
"Shan State (North)","Mongyai Township","No (2) Quarter",1603002
"Shan State (North)","Mongyai Township","No (3) Quarter",1603003
"Shan State (North)","Tangyan Township","No (1) Quarter",1604001
"Shan State (North)","Tangyan Township","No (2) Quarter",1604002
"Shan State (North)","Tangyan Township","No (3) Quarter",1604003
"Shan State (North)","Tangyan Township","No (4) Quarter",1604004
"Shan State (North)","Tangyan Township","No (5) Quarter",1604005
"Shan State (North)","Tangyan Township","Wein Lawng Quarter",1604006
"Shan State (North)","Tangyan Township","Man Lwe Quarter",1604007
"Shan State (North)","Tangyan Township","Nawng Mo Quarter",1604008
"Shan State (North)","Tangyan Township","Man Hsan Quarter",1604009
"Shan State (North)","Tangyan Township","Ho Nam Quarter",1604010
"Shan State (North)","Pangsang (Panghkam) Township","No (1) Quarter",1605001
