Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (North)","Lashio Township","Hu Mun Village Tract",1601200
"Shan State (North)","Lashio Township","Man Aing Village Tract",1601201
"Shan State (North)","Lashio Township","Mae Han Village Tract",1601202
"Shan State (North)","Lashio Township","Loi Tauk Village Tract",1601203
"Shan State (North)","Lashio Township","Nam Tun Village Tract",1601204
"Shan State (North)","Lashio Township","Wein Htang Village Tract",1601205
"Shan State (North)","Lashio Township","Kone Hsar Village Tract",1601206
"Shan State (North)","Lashio Township","Tar Pong Village Tract",1601207
"Shan State (North)","Lashio Township","Ho Nam Village Tract",1601208
"Shan State (North)","Lashio Township","Man Kat Village Tract",1601209
"Shan State (North)","Lashio Township","Man Pying Village Tract",1601210
"Shan State (North)","Lashio Township","Mak Hki Nu Village Tract",1601211
"Shan State (North)","Lashio Township","Ho Peik Village Tract",1601212
"Shan State (North)","Lashio Township","Kawng Kye Village Tract",1601213
"Shan State (North)","Lashio Township","Sum Kwei Village Tract",1601214
"Shan State (North)","Lashio Township","Ho Nar Village Tract",1601215
"Shan State (North)","Lashio Township","Ei Naing Village Tract",1601216
"Shan State (North)","Lashio Township","Nar Kun Long Village Tract",1601217
"Shan State (North)","Lashio Township","Kawng Kye (Ei) Village Tract",1601218
"Shan State (North)","Lashio Township","Nam Pawng Village Tract",1601219
"Shan State (North)","Lashio Township","Hkon Son Village Tract",1601220
"Shan State (North)","Lashio Township","Loke Waun Village Tract",1601221
"Shan State (North)","Lashio Township","Man Sei Village Tract",1601222
"Shan State (North)","Lashio Township","Ho Nar Kone Hsar Village Tract",1601223
"Shan State (North)","Lashio Township","Pang Hto Len Village Tract",1601224
"Shan State (North)","Lashio Township","Nam Ma Baw Da Village Tract",1601225
"Shan State (North)","Lashio Township","Man Pyin Village Tract",1601226
"Shan State (North)","Lashio Township","Mein Kyaing Village Tract",1601227
"Shan State (North)","Lashio Township","Pang Huong Village Tract",1601228
"Shan State (North)","Lashio Township","Nar Nang (Man Long) Village Tract",1601229
"Shan State (North)","Lashio Township","Loi Kan Village Tract",1601230
"Shan State (North)","Lashio Township","Sei Pawng Village Tract",1601231
"Shan State (North)","Lashio Township","Kun Hlyoe Village Tract",1601232
"Shan State (North)","Lashio Township","Mong Pai Village Tract",1601233
"Shan State (North)","Lashio Township","Pang Kwe Village Tract",1601234
"Shan State (North)","Lashio Township","Kone Mon Village Tract",1601235
"Shan State (North)","Lashio Township","Nawng Mun Village Tract",1601236
"Shan State (North)","Lashio Township","Pong Htun Village Tract",1601237
"Shan State (North)","Lashio Township","Man Hsan Yae Kya Village Tract",1601238
"Shan State (North)","Lashio Township","Nar Ma Khaw Village Tract",1601239
"Shan State (North)","Lashio Township","Mauk Tawng Village Tract",1601240
"Shan State (North)","Lashio Township","Nam Pu Village Tract",1601241
"Shan State (North)","Lashio Township","Nawng Hpawt Village Tract",1601242
"Shan State (North)","Lashio Township","Man Pwe Long Village Tract",1601243
"Shan State (North)","Lashio Township","Hkay Nin Village Tract",1601244
"Shan State (North)","Lashio Township","Sei In (Hsin Int) Village Tract",1601245
"Shan State (North)","Lashio Township","Han Nar Village Tract",1601246
"Shan State (North)","Lashio Township","Hkar Shi Village Tract",1601247
"Shan State (North)","Lashio Township","Mong Yaw Village Tract",1601248
"Shan State (North)","Lashio Township","Long Mun Village Tract",1601249
"Shan State (North)","Lashio Township","Kun Hpyu Village Tract",1601250
"Shan State (North)","Lashio Township","Pang Hto Len Village Tract",1601251
"Shan State (North)","Lashio Township","Pan Tha Pyay Village Tract",1601252
"Shan State (North)","Lashio Township","Loi Sat Village Tract",1601253
"Shan State (North)","Lashio Township","Man Kawng Village Tract",1601254
"Shan State (North)","Lashio Township","Kun Kyaing Village Tract",1601255
"Shan State (North)","Lashio Township","Kawng Kaw Village Tract",1601256
"Shan State (North)","Lashio Township","Loilen Village Tract",1601257
"Shan State (North)","Lashio Township","Man Long Village Tract",1601258
"Shan State (North)","Lashio Township","Nawng Aw Village Tract",1601259
"Shan State (North)","Lashio Township","Nam Lin Hkam Village Tract",1601260
"Shan State (North)","Lashio Township","Ho Lin Village Tract",1601261
"Shan State (North)","Lashio Township","Man Kat Village Tract",1601262
"Shan State (North)","Lashio Township","Loi Hkam Village Tract",1601263
"Shan State (North)","Lashio Township","Kawng Kaw Sa Kan Village Tract",1601264
"Shan State (North)","Lashio Township","Pang Yar Yone (Taik) Village Tract",1601265
"Shan State (North)","Lashio Township","Pang Shaw Village Tract",1601266
"Shan State (North)","Lashio Township","Nawng Kaw Village Tract",1601267
"Shan State (North)","Lashio Township","Pang War Village Tract",1601268
"Shan State (North)","Lashio Township","Mak Keng Village Tract",1601269
"Shan State (North)","Lashio Township","Hpar Hpeint Village Tract",1601270
"Shan State (North)","Lashio Township","Nawng Wu (Nawng Woe) Village Tract",1601271
"Shan State (North)","Lashio Township","Kawng Kye (Yaw) Village Tract",1601272
"Shan State (North)","Lashio Township","Hseng Lai Village Tract",1601273
"Shan State (North)","Lashio Township","Ho Hko Village Tract",1601274
"Shan State (North)","Lashio Township","Mong Lin Village Tract",1601275
"Shan State (North)","Lashio Township","Pang Kawng Mu Village Tract",1601276
"Shan State (North)","Lashio Township","Nam Maw Village Tract",1601277
"Shan State (North)","Hseni Township","Hkam Tein Village Tract",1602200
"Shan State (North)","Hseni Township","Pang Lawt Village Tract",1602201
"Shan State (North)","Hseni Township","Kawng Haw Village Tract",1602202
"Shan State (North)","Hseni Township","U Yin Hmu Village Tract",1602203
"Shan State (North)","Hseni Township","Pein Hsar Village Tract",1602204
"Shan State (North)","Hseni Township","Taing Yet Village Tract",1602205
"Shan State (North)","Hseni Township","Mong Yang Village Tract",1602206
"Shan State (North)","Hseni Township","Ho Ton Village Tract",1602207
"Shan State (North)","Hseni Township","Ho Pang Myin Village Tract",1602208
"Shan State (North)","Hseni Township","Nawng Kyawng Village Tract",1602209
"Shan State (North)","Hseni Township","Mong Li Village Tract",1602210
"Shan State (North)","Hseni Township","Nar Hsawt Village Tract",1602211
"Shan State (North)","Hseni Township","Nar Ngin Village Tract",1602212
"Shan State (North)","Hseni Township","Mong Par Village Tract",1602213
"Shan State (North)","Hseni Township","Mauk Sa Li Village Tract",1602214
"Shan State (North)","Hseni Township","Kawng Aing Village Tract",1602215
"Shan State (North)","Hseni Township","Kawng Mu Hpeik Village Tract",1602216
"Shan State (North)","Hseni Township","Sei Au Village Tract",1602217
"Shan State (North)","Hseni Township","Kone Nyaung Village Tract",1602218
"Shan State (North)","Hseni Township","Kun Kauk Village Tract",1602219
"Shan State (North)","Hseni Township","Nam Sa Lat Village Tract",1602220
"Shan State (North)","Hseni Township","Kawng Kaw Village Tract",1602221
"Shan State (North)","Hseni Township","Hway Tawng Village Tract",1602222
"Shan State (North)","Hseni Township","Nam Toke Village Tract",1602223
"Shan State (North)","Hseni Township","Man Len Village Tract",1602224
"Shan State (North)","Hseni Township","Kawng Wein Village Tract",1602225
"Shan State (North)","Hseni Township","Shan Ton Nge Village Tract",1602226
"Shan State (North)","Hseni Township","Loi Hseng Village Tract",1602227
"Shan State (North)","Hseni Township","Nar Tee Village Tract",1602228
"Shan State (North)","Hseni Township","Nawnghkio Village Tract",1602229
"Shan State (North)","Hseni Township","Pang Tee Village Tract",1602230
"Shan State (North)","Hseni Township","Man Kan Village Tract",1602231
"Shan State (North)","Mongyai Township","Nar Hpyaing Village Tract",1603200
"Shan State (North)","Mongyai Township","Loke Hkaik Village Tract",1603201
"Shan State (North)","Mongyai Township","Nar Hko Village Tract",1603202
"Shan State (North)","Mongyai Township","Ho Ya Ywar Ma Village Tract",1603203
"Shan State (North)","Mongyai Township","Nawng Mo Village Tract",1603204
"Shan State (North)","Mongyai Township","Kawng Mawng Village Tract",1603205
"Shan State (North)","Mongyai Township","Loi Ngin Village Tract",1603206
"Shan State (North)","Mongyai Township","Man Kyawng Pang Sin Village Tract",1603207
"Shan State (North)","Mongyai Township","Pong Htun Village Tract",1603208
"Shan State (North)","Mongyai Township","Man Sant Village Tract",1603209
"Shan State (North)","Mongyai Township","Nam Sum Village Tract",1603210
"Shan State (North)","Mongyai Township","Kone Son Village Tract",1603211
"Shan State (North)","Mongyai Township","Pang Lan Village Tract",1603212
"Shan State (North)","Mongyai Township","Ho Ti Village Tract",1603213
