Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (South)","Taunggyi Township","Nyaung Hpyu Sa Khan Quarter",0601001
"Shan State (South)","Taunggyi Township","Min Ga Lar U Quarter",0601002
"Shan State (South)","Taunggyi Township","Pyi Taw Thar Quarter",0601003
"Shan State (South)","Taunggyi Township","Ya Da Nar Thi Ri Quarter",0601004
"Shan State (South)","Taunggyi Township","Nyaung Shwe Haw Kone Quarter",0601005
"Shan State (South)","Taunggyi Township","Yae Aye Kwin Quarter",0601006
"Shan State (South)","Taunggyi Township","Kan Auk Quarter",0601007
"Shan State (South)","Taunggyi Township","Chan Mya Thar Zi Quarter",0601008
"Shan State (South)","Taunggyi Township","Zay Paing Quarter",0601009
"Shan State (South)","Taunggyi Township","Shwe Taung Quarter",0601010
"Shan State (South)","Taunggyi Township","Kan Auk Quarter",0601011
"Shan State (South)","Taunggyi Township","Lan Ma Taw Quarter",0601012
"Shan State (South)","Taunggyi Township","Haw Kone Quarter",0601013
"Shan State (South)","Taunggyi Township","Sein Pan Quarter",0601014
"Shan State (South)","Taunggyi Township","Kan Thar Quarter",0601015
"Shan State (South)","Taunggyi Township","Myo Ma Quarter",0601016
"Shan State (South)","Taunggyi Township","Thit Taw Quarter",0601017
"Shan State (South)","Taunggyi Township","Chan Thar Quarter",0601018
"Shan State (South)","Taunggyi Township","Kyaung Gyi Su Quarter",0601019
"Shan State (South)","Taunggyi Township","Sat San Tun Quarter",0601020
"Shan State (South)","Taunggyi Township","Hpa Yar Phyu Quarter",0601021
"Shan State (South)","Taunggyi Township","Kan Gyi Quarter",0601022
"Shan State (South)","Kalaw Township","No (1) Quarter",0602001
"Shan State (South)","Kalaw Township","No (2) Quarter",0602002
"Shan State (South)","Kalaw Township","No (3) Quarter",0602003
"Shan State (South)","Kalaw Township","No (4) Quarter",0602004
"Shan State (South)","Kalaw Township","No (5) Quarter",0602005
"Shan State (South)","Kalaw Township","No (6) Quarter",0602006
"Shan State (South)","Kalaw Township","No (7) Quarter",0602007
"Shan State (South)","Kalaw Township","No (8) Quarter",0602008
"Shan State (South)","Kalaw Township","No (9) Quarter",0602009
"Shan State (South)","Kalaw Township","No (10) Quarter",0602010
"Shan State (South)","Kalaw Township","No (11) Quarter",0602011
"Shan State (South)","Pindaya Township","Sue Bo Kone Quarter",0603001
"Shan State (South)","Pindaya Township","Shan Quarter",0603002
"Shan State (South)","Pindaya Township","Zay Tan Quarter",0603003
"Shan State (South)","Pindaya Township","Sin Gaung Quarter",0603004
"Shan State (South)","Pindaya Township","Ywar Thit Zay Di Kone Quarter",0603005
"Shan State (South)","Pindaya Township","Aw Yaw Quarter",0603006
"Shan State (South)","Pindaya Township","Ywar Nge Quarter",0603007
"Shan State (South)","Pindaya Township","Haw Kone Quarter",0603008
"Shan State (South)","Pindaya Township","Ah Nauk Quarter",0603009
"Shan State (South)","Pindaya Township","Pauk Taw Quarter",0603010
"Shan State (South)","Pindaya Township","Hgnet Pyaw Taw Quarter",0603011
"Shan State (South)","Pindaya Township","Pyi Taw Thar Quarter",0603012
"Shan State (South)","Pindaya Township","Thiri Mingalar Quarter",0603013
"Shan State (South)","Ywangan Township","Myo Kone Quarter",0604001
"Shan State (South)","Ywangan Township","Ywar Ma Quarter",0604002
"Shan State (South)","Ywangan Township","Zay Tan Quarter",0604003
"Shan State (South)","Pinlaung Township","Bant Hpei Quarter",0605001
"Shan State (South)","Pinlaung Township","Hpa Yar (North) Quarter",0605002
"Shan State (South)","Pinlaung Township","Ah Shey Quarter",0605003
"Shan State (South)","Pinlaung Township","Ah Nauk Quarter",0605004
"Shan State (South)","Pinlaung Township","Zay Tan Quarter",0605005
"Shan State (South)","Pinlaung Township","Yone Win Quarter",0605006
"Shan State (South)","Pinlaung Township","Kan Thar U Quarter",0605007
"Shan State (South)","Pinlaung Township","Min Ga Lar Kwet Thit Quarter",0605008
"Shan State (South)","Pinlaung Township","Koe Khaung Quarter",0605009
"Shan State (South)","Pinlaung Township","Yinn Hme Quarter",0605010
"Shan State (South)","Pekon Township","Hein Dhamma Quarter",0606001
"Shan State (South)","Pekon Township","Nang Hu Quarter",0606002
"Shan State (South)","Pekon Township","Nyaung Kone Quarter",0606003
"Shan State (South)","Pekon Township","Zay (West) Quarter",0606004
"Shan State (South)","Pekon Township","Zay (East) Quarter",0606005
"Shan State (South)","Pekon Township","Zay Tan Quarter",0606006
"Shan State (South)","Pekon Township","Myo Kone Quarter",0606007
"Shan State (South)","Lawksawk Township","Taung Kwet Thit Quarter",0607001
"Shan State (South)","Lawksawk Township","Myo Kone Quarter",0607002
"Shan State (South)","Lawksawk Township","Oke Ta Dar Quarter",0607003
"Shan State (South)","Lawksawk Township","Zay Tan Quarter",0607004
"Shan State (South)","Lawksawk Township","Myauk Kwet Thit Quarter",0607005
"Shan State (South)","Lawksawk Township","Ba Htu Quarter",0607006
"Shan State (South)","Lawksawk Township","Zaw Gyi Quarter",0607007
"Shan State (South)","Lawksawk Township","Myo U Quarter",0607008
"Shan State (South)","Nyaungshwe Township","Kan Thar Quarter",0608001
"Shan State (South)","Nyaungshwe Township","Thar Si Quarter",0608002
"Shan State (South)","Nyaungshwe Township","Nan Da Wun Quarter",0608003
"Shan State (South)","Nyaungshwe Township","Myo Lel Quarter",0608004
"Shan State (South)","Nyaungshwe Township","Win Quarter",0608005
"Shan State (South)","Nyaungshwe Township","Nang Pang Quarter",0608006
"Shan State (South)","Nyaungshwe Township","Min Ga Lar Quarter",0608007
"Shan State (South)","Nyaungshwe Township","Mong Li Quarter",0608008
"Shan State (South)","Hopong Township","Myo U Quarter",0609001
"Shan State (South)","Hopong Township","Myo U Kwet Thit Quarter",0609002
"Shan State (South)","Hopong Township","Ah Shey Quarter",0609003
"Shan State (South)","Hopong Township","Ah Nauk Quarter",0609004
"Shan State (South)","Hopong Township","Taung Quarter",0609005
"Shan State (South)","Hopong Township","Tong Hkam Quarter",0609006
"Shan State (South)","Hsihseng Township","Ho Hke Quarter",0610001
"Shan State (South)","Hsihseng Township","Min Ga Lar Quarter",0610002
"Shan State (South)","Hsihseng Township","Thi Ri Quarter",0610003
"Shan State (South)","Hsihseng Township","Aung Tha Pyay Quarter",0610004
"Shan State (South)","Hsihseng Township","Aung Chan Thar Quarter",0610005
"Shan State (South)","Hsihseng Township","Mya Kan Thar Quarter",0610006
"Shan State (South)","Loilen Township","No (1) Quarter",0611001
"Shan State (South)","Loilen Township","No (2) Quarter",0611002
"Shan State (South)","Loilen Township","No (3) Quarter",0611003
"Shan State (South)","Loilen Township","No (4) Quarter",0611004
"Shan State (South)","Laihka Township","No (1) Quarter",0612001
"Shan State (South)","Laihka Township","No (2) Quarter",0612002
"Shan State (South)","Laihka Township","No (3) Quarter",0612003
"Shan State (South)","Laihka Township","No (4) Quarter",0612004
"Shan State (South)","Mongkaing Township","No (1) Quarter",0613001
"Shan State (South)","Mongkaing Township","No (2) Quarter",0613002
"Shan State (South)","Mongkaing Township","No (3) Quarter",0613003
"Shan State (South)","Mongkaing Township","No (4) Quarter",0613004
"Shan State (South)","Mongkaing Township","No (5) Quarter",0613005
"Shan State (South)","Monghsu Township","No (1) Quarter",0614001
"Shan State (South)","Monghsu Township","No (2) Quarter",0614002
"Shan State (South)","Monghsu Township","No (3) Quarter",0614003
"Shan State (South)","Monghsu Township","No (4) Quarter",0614004
"Shan State (South)","Kyethi Township","Wan Kang Quarter",0615001
"Shan State (South)","Kyethi Township","Kang Pang Quarter",0615002
"Shan State (South)","Kyethi Township","Zay Quarter",0615003
"Shan State (South)","Kyethi Township","Haw Kone Quarter",0615004
"Shan State (South)","Kyethi Township","Long Pu Quarter",0615005
"Shan State (South)","Kyethi Township","Ho Hko Quarter",0615006
"Shan State (South)","Nansang Township","No (1) Quarter",0616001
"Shan State (South)","Nansang Township","No (2) Quarter",0616002
"Shan State (South)","Nansang Township","No (3) Quarter",0616003
"Shan State (South)","Nansang Township","No (4) Quarter",0616004
"Shan State (South)","Nansang Township","No (5) Quarter",0616005
"Shan State (South)","Mongnai Township","U Yin Quarter",0617001
"Shan State (South)","Mongnai Township","Lwi Myay Quarter",0617002
"Shan State (South)","Mongnai Township","Pawt Mong Quarter",0617003
"Shan State (South)","Mongnai Township","Nar Hawng Quarter",0617004
"Shan State (South)","Mongnai Township","Nawng Kyawt Quarter",0617005
"Shan State (South)","Mawkmai Township","Kun Keng Quarter",0618001
"Shan State (South)","Mawkmai Township","Zay Tan Quarter",0618002
"Shan State (South)","Mawkmai Township","Mway Taw Quarter",0618003
"Shan State (South)","Mawkmai Township","Taung Myo Quarter",0618004
"Shan State (South)","Mawkmai Township","Si Son Quarter",0618005
"Shan State (South)","Mawkmai Township","Maik Hone Quarter",0618006
"Shan State (South)","Mawkmai Township","Kone Lan Quarter",0618007
"Shan State (South)","Langkho Township","Taung Ywar Quarter",0619001
"Shan State (South)","Langkho Township","Wan Loi Quarter",0619002
"Shan State (South)","Langkho Township","Zay Tan Quarter",0619003
"Shan State (South)","Langkho Township","Ywar Ma Gyi (West) Quarter",0619004
"Shan State (South)","Langkho Township","Ywar Ma Gyi (East) Quarter",0619005
"Shan State (South)","Langkho Township","Pin Hone Quarter",0619006
"Shan State (South)","Langkho Township","Wan Ma Pyin Quarter",0619007
"Shan State (South)","Langkho Township","Pin Waung Quarter",0619008
"Shan State (South)","Mongpan Township","Ywar Thit Quarter",0620001
"Shan State (South)","Mongpan Township","Ah Shey Quarter",0620002
"Shan State (South)","Mongpan Township","Ah Lel Quarter",0620003
"Shan State (South)","Mongpan Township","Ah Nauk Quarter",0620004
"Shan State (South)","Mongpan Township","Ah Nauk Kwet Thit Quarter",0620005
"Shan State (South)","Kunhing Township","No (1) Quarter",0621001
"Shan State (South)","Kunhing Township","No (2) Quarter",0621002
"Shan State (South)","Kunhing Township","No (3) Quarter",0621003
"Shan State (South)","Kunhing Township","No (4) Quarter",0621004
"Shan State (South)","Kunhing Township","No (5) Quarter",0621005
"Shan State (South)","Shwenyaung Town","Hlaing Bon Thar Quarter",0660001
"Shan State (South)","Shwenyaung Town","Thu Kha Chan Thar Quarter",0660002
"Shan State (South)","Shwenyaung Town","Shwe Bon Thar Quarter",0660003
"Shan State (South)","Shwenyaung Town","Dana Theik Di Quarter",0660004
"Shan State (South)","Shwenyaung Town","Ya Da Nar Quarter",0660005
"Shan State (South)","Shwenyaung Town","Min Ga Lar Shwe Baho Quarter",0660006
"Shan State (South)","Shwenyaung Town","Min Ga Lar Aung Myay Quarter",0660007
"Shan State (South)","Shwenyaung Town","Se Lel Quarter",0660008
"Shan State (South)","Shwenyaung Town","Sint Hal Quarter",0660009
"Shan State (South)","Shwenyaung Town","Aung Tha Pyay Quarter",0660010
"Shan State (South)","Shwenyaung Town","Min Ga Lar Quarter",0660011
"Shan State (South)","Ayetharyar Town","No (1) Quarter",0661001
"Shan State (South)","Ayetharyar Town","No (2) Quarter",0661002
"Shan State (South)","Ayetharyar Town","No (3) Quarter",0661003
"Shan State (South)","Ayetharyar Town","No (4) Quarter",0661004
"Shan State (South)","Ayetharyar Town","No (5) Quarter",0661005
"Shan State (South)","Ayetharyar Town","No (6) Quarter",0661006
"Shan State (South)","Ayetharyar Town","No (7) Quarter",0661007
"Shan State (South)","Ayetharyar Town","No (8) Quarter",0661008
"Shan State (South)","Ayetharyar Town","No (9) Quarter",0661009
"Shan State (South)","Ayetharyar Town","No (10) Quarter",0661010
"Shan State (South)","Ayetharyar Town","No (11) Quarter",0661011
"Shan State (South)","Ayetharyar Town","No (12) Quarter",0661012
"Shan State (South)","Kyauktalonegyi Town","Ta Pu Yway Quarter",0662001
"Shan State (South)","Kyauktalonegyi Town","Don Ong Quarter",0662002
"Shan State (South)","Kyauktalonegyi Town","Nawng Long Quarter",0662003
"Shan State (South)","Kyauktalonegyi Town","Hti Long Quarter",0662004
"Shan State (South)","Kyauktalonegyi Town","Lin Nar Quarter",0662005
"Shan State (South)","Kyauktalonegyi Town","Kawng Wein Quarter",0662006
"Shan State (South)","Aungpan Town","Nyaung Pin Htaung Quarter",0663001
"Shan State (South)","Aungpan Town","Hle Yoe Quarter",0663002
"Shan State (South)","Aungpan Town","Ywar Ngan Su Quarter",0663003
"Shan State (South)","Aungpan Town","No (1) Quarter",0663004
"Shan State (South)","Aungpan Town","No (2) Quarter",0663005
"Shan State (South)","Aungpan Town","Moe Kawng Quarter",0663006
"Shan State (South)","Aungpan Town","No (3) Quarter",0663007
"Shan State (South)","Aungpan Town","No (4) Quarter",0663008
"Shan State (South)","Aungpan Town","Let Ma Pin Quarter",0663009
"Shan State (South)","Aungpan Town","Myo Haung Quarter",0663010
"Shan State (South)","Aungpan Town","Min Ga Lar Quarter",0663011
"Shan State (South)","Aungpan Town","Ywar Thit Quarter",0663012
"Shan State (South)","He Hoe Town","No (1) Quarter",0664001
"Shan State (South)","He Hoe Town","No (2) Quarter",0664002
"Shan State (South)","He Hoe Town","No (3) Quarter",0664003
"Shan State (South)","He Hoe Town","No (4) Quarter",0664004
"Shan State (South)","He Hoe Town","No (5) Quarter",0664005
"Shan State (South)","Naungtayar Town","No (1) Quarter",0665001
"Shan State (South)","Naungtayar Town","No (2) Quarter",0665002
"Shan State (South)","Naungtayar Town","No (3) Quarter",0665003
"Shan State (South)","Pawng Lawng Town","No (1) Quarter",0666001
"Shan State (South)","Pawng Lawng Town","No (2) Quarter",0666002
"Shan State (South)","Pawng Lawng Town","No (3) Quarter",0666003
"Shan State (South)","Pawng Lawng Town","No (4) Quarter",0666004
"Shan State (South)","Pawng Lawng Town","No (5) Quarter",0666005
"Shan State (South)","Pawng Lawng Town","No (6) Quarter",0666006
"Shan State (South)","Intaw Town","No (1) Quarter",0667001
"Shan State (South)","Intaw Town","No (2) Quarter",0667002
"Shan State (South)","Intaw Town","No (3) Quarter",0667003
"Shan State (South)","Intaw Town","No (4) Quarter",0667004
"Shan State (South)","Intaw Town","No (5) Quarter",0667005
"Shan State (South)","Intaw Town","No (6) Quarter",0667006
"Shan State (South)","Pinlon Town","No (1) Quarter",0668001
"Shan State (South)",-,"No (1) Quarter",0668001
"Shan State (South)","Pinlon Town","No (2) Quarter",0668002
"Shan State (South)",-,"No (2) Quarter",0668002
"Shan State (South)","Pinlon Town","No (3) Quarter",0668003
"Shan State (South)",-,"No (3) Quarter",0668003
"Shan State (South)",-,"No (4) Quarter",0668004
"Shan State (South)","Pinlon Town","No (4) Quarter",0668004
"Shan State (South)","Mongsan (Hmonesan) Town","No (1) Quarter",0669001
"Shan State (South)","Mongsan (Hmonesan) Town","No (2) Quarter",0669002
"Shan State (South)","Mongsan (Hmonesan) Town","No (3) Quarter",0669003
"Shan State (South)","Mongnawng Town","No (1) Quarter",0670001
"Shan State (South)","Mongnawng Town","No (2) Quarter",0670002
"Shan State (South)","Mongnawng Town","No (3) Quarter",0670003
"Shan State (South)","Mongnawng Town","No (4) Quarter",0670004
"Shan State (South)","Mongnawng Town","No (5) Quarter",0670005
"Shan State (South)","Kho Lam Town","No (1) Quarter",0671001
"Shan State (South)","Kho Lam Town","No (2) Quarter",0671002
"Shan State (South)","Kho Lam Town","No (3) Quarter",0671003
"Shan State (South)","Kho Lam Town","No (4) Quarter",0671004
"Shan State (South)","Kho Lam Town","No (5) Quarter",0671005
"Shan State (South)","Kho Lam Town","No (6) Quarter",0671006
"Shan State (South)","Kengtawng Town","No (1) Quarter",0672001
"Shan State (South)","Kengtawng Town","No (2) Quarter",0672002
"Shan State (South)","Kengtawng Town","No (3) Quarter",0672003
"Shan State (South)","Kengtawng Town","No (4) Quarter",0672004
"Shan State (South)","Kengtawng Town","No (5) Quarter",0672005
"Shan State (South)","Kengtawng Town","No (6) Quarter",0672006
"Shan State (South)","Kengtawng Town","No (7) Quarter",0672007
"Shan State (South)","Homein Town","No (1) Quarter",0673001
"Shan State (South)","Homein Town","No (2) Quarter",0673002
"Shan State (South)","Homein Town","No (3) Quarter",0673003
"Shan State (South)","Kar Li Town","No (1) Quarter",0674001
"Shan State (South)","Kar Li Town","No (2) Quarter",0674002
"Shan State (South)","Kar Li Town","No (3) Quarter",0674003
"Shan State (South)","Kar Li Town","No (4) Quarter",0674004
"Shan State (South)","Kar Li Town","No (5) Quarter",0674005
"Shan State (South)","Kar Li Town","No (6) Quarter",0674006
"Shan State (South)","Nang Pang Town","No(1) Quarter",0675001
"Shan State (South)","Nang Pang Town","No(2) Quarter",0675002
"Shan State (South)","Nang Pang Town","No(3) Quarter",0675003
"Shan State (South)","Nang Pang Town","No(4) Quarter",0675004
