Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Shan State (South)","Taunggyi Township","Nyaung Hpyu Sa Khan Quarter",0601001
"Shan State (South)","Taunggyi Township","Min Ga Lar U Quarter",0601002
"Shan State (South)","Taunggyi Township","Pyi Taw Thar Quarter",0601003
"Shan State (South)","Taunggyi Township","Ya Da Nar Thi Ri Quarter",0601004
"Shan State (South)","Taunggyi Township","Nyaung Shwe Haw Kone Quarter",0601005
"Shan State (South)","Taunggyi Township","Yae Aye Kwin Quarter",0601006
"Shan State (South)","Taunggyi Township","Kan Auk Quarter",0601007
"Shan State (South)","Taunggyi Township","Chan Mya Thar Zi Quarter",0601008
"Shan State (South)","Taunggyi Township","Zay Paing Quarter",0601009
"Shan State (South)","Taunggyi Township","Shwe Taung Quarter",0601010
"Shan State (South)","Taunggyi Township","Kan Auk Quarter",0601011
"Shan State (South)","Taunggyi Township","Lan Ma Taw Quarter",0601012
"Shan State (South)","Taunggyi Township","Haw Kone Quarter",0601013
"Shan State (South)","Taunggyi Township","Sein Pan Quarter",0601014
"Shan State (South)","Taunggyi Township","Kan Thar Quarter",0601015
"Shan State (South)","Taunggyi Township","Myo Ma Quarter",0601016
"Shan State (South)","Taunggyi Township","Thit Taw Quarter",0601017
"Shan State (South)","Taunggyi Township","Chan Thar Quarter",0601018
"Shan State (South)","Taunggyi Township","Kyaung Gyi Su Quarter",0601019
"Shan State (South)","Taunggyi Township","Sat San Tun Quarter",0601020
"Shan State (South)","Taunggyi Township","Hpa Yar Phyu Quarter",0601021
"Shan State (South)","Taunggyi Township","Kan Gyi Quarter",0601022
"Shan State (South)","Taunggyi Township","Nang Hawng Village Tract",0601200
"Shan State (South)","Taunggyi Township","Loi Kaw Village Tract",0601201
"Shan State (South)","Taunggyi Township","Min Ga Lar Village Tract",0601202
"Shan State (South)","Taunggyi Township","Nam Hu Village Tract",0601203
"Shan State (South)","Taunggyi Township","Hpet Kun Village Tract",0601204
"Shan State (South)","Taunggyi Township","Nawng Lay Village Tract",0601205
"Shan State (South)","Taunggyi Township","Hpar Mun Village Tract",0601206
"Shan State (South)","Taunggyi Township","Hti Hpawng Village Tract",0601207
"Shan State (South)","Taunggyi Township","Nam Hsee Village Tract",0601208
"Shan State (South)","Taunggyi Township","Pan Tin Village Tract",0601209
"Shan State (South)","Taunggyi Township","Mong Thaw (East) Village Tract",0601210
"Shan State (South)","Taunggyi Township","Mong Thaw (West) Village Tract",0601211
"Shan State (South)","Taunggyi Township","Bant Kway Village Tract",0601212
"Shan State (South)","Taunggyi Township","Taung Lay Lone Village Tract",0601213
"Shan State (South)","Taunggyi Township","Than Te Village Tract",0601214
"Shan State (South)","Taunggyi Township","Kun Long Village Tract",0601215
"Shan State (South)","Taunggyi Township","Kyauk Ni Village Tract",0601216
"Shan State (South)","Taunggyi Township","Nawng Kar Village Tract",0601217
"Shan State (South)","Taunggyi Township","Ah Thone Taw Village Tract",0601218
"Shan State (South)","Taunggyi Township","Nar Hee Village Tract",0601219
"Shan State (South)","Taunggyi Township","Nawng Hke Village Tract",0601220
"Shan State (South)","Taunggyi Township","Kat Ku Village Tract",0601221
"Shan State (South)","Taunggyi Township","Pin Tun Village Tract",0601222
"Shan State (South)","Taunggyi Township","Nawng Pyit Village Tract",0601223
"Shan State (South)","Kalaw Township","No (1) Quarter",0602001
"Shan State (South)","Kalaw Township","No (2) Quarter",0602002
"Shan State (South)","Kalaw Township","No (3) Quarter",0602003
"Shan State (South)","Kalaw Township","No (4) Quarter",0602004
"Shan State (South)","Kalaw Township","No (5) Quarter",0602005
"Shan State (South)","Kalaw Township","No (6) Quarter",0602006
"Shan State (South)","Kalaw Township","No (7) Quarter",0602007
"Shan State (South)","Kalaw Township","No (8) Quarter",0602008
"Shan State (South)","Kalaw Township","No (9) Quarter",0602009
"Shan State (South)","Kalaw Township","No (10) Quarter",0602010
"Shan State (South)","Kalaw Township","No (11) Quarter",0602011
"Shan State (South)","Kalaw Township","La Mong Village Tract",0602200
"Shan State (South)","Kalaw Township","Nang Naing Village Tract",0602201
"Shan State (South)","Kalaw Township","Loi An Village Tract",0602202
"Shan State (South)","Kalaw Township","Myin Ma Hti Village Tract",0602203
"Shan State (South)","Kalaw Township","Taung Lar Village Tract",0602204
"Shan State (South)","Kalaw Township","Taung Kwe Village Tract",0602205
"Shan State (South)","Kalaw Township","Wet Hpyu Yae Village Tract",0602206
"Shan State (South)","Kalaw Township","Shwe Min Hpone Village Tract",0602207
"Shan State (South)","Kalaw Township","Nang Taing Village Tract",0602208
"Shan State (South)","Kalaw Township","Kan Bar Ni Village Tract",0602209
"Shan State (South)","Kalaw Township","Yae Cho Village Tract",0602210
"Shan State (South)","Kalaw Township","Nawng Ye Village Tract",0602211
"Shan State (South)","Kalaw Township","Thu Ye Village Tract",0602212
"Shan State (South)","Kalaw Township","Pin Hmi Village Tract",0602213
"Shan State (South)","Kalaw Township","Lel Kyar Village Tract",0602214
"Shan State (South)","Kalaw Township","Thar Mong Hkam Village Tract",0602215
"Shan State (South)","Kalaw Township","Loi Maw Village Tract",0602216
"Shan State (South)","Kalaw Township","Ngoke Village Tract",0602217
"Shan State (South)","Kalaw Township","Ngone Thon Village Tract",0602218
"Shan State (South)","Kalaw Township","War Yon Pin Village Tract",0602219
"Shan State (South)","Kalaw Township","Thi Hkawng Village Tract",0602220
"Shan State (South)","Kalaw Township","Kyauk Htat Village Tract",0602221
"Shan State (South)","Kalaw Township","Baw Hseng Village Tract",0602222
"Shan State (South)","Kalaw Township","Baw Nin Village Tract",0602223
"Shan State (South)","Kalaw Township","Pe Yin Taung Village Tract",0602224
"Shan State (South)","Kalaw Township","Sa Kar Inn Village Tract",0602225
"Shan State (South)","Pindaya Township","Sue Bo Kone Quarter",0603001
"Shan State (South)","Pindaya Township","Shan Quarter",0603002
"Shan State (South)","Pindaya Township","Zay Tan Quarter",0603003
"Shan State (South)","Pindaya Township","Sin Gaung Quarter",0603004
"Shan State (South)","Pindaya Township","Ywar Thit Zay Di Kone Quarter",0603005
"Shan State (South)","Pindaya Township","Aw Yaw Quarter",0603006
"Shan State (South)","Pindaya Township","Ywar Nge Quarter",0603007
"Shan State (South)","Pindaya Township","Haw Kone Quarter",0603008
"Shan State (South)","Pindaya Township","Ah Nauk Quarter",0603009
"Shan State (South)","Pindaya Township","Pauk Taw Quarter",0603010
"Shan State (South)","Pindaya Township","Hgnet Pyaw Taw Quarter",0603011
"Shan State (South)","Pindaya Township","Pyi Taw Thar Quarter",0603012
"Shan State (South)","Pindaya Township","Thiri Mingalar Quarter",0603013
"Shan State (South)","Pindaya Township","Htwet Ni Village Tract",0603200
"Shan State (South)","Pindaya Township","Thit Ae Pin Village Tract",0603201
"Shan State (South)","Pindaya Township","Taung Paw Gyi Village Tract",0603202
"Shan State (South)","Pindaya Township","Yae Hpyu Village Tract",0603203
"Shan State (South)","Pindaya Township","Kyauk Su Village Tract",0603204
"Shan State (South)","Pindaya Township","Htei Thun Village Tract",0603205
"Shan State (South)","Pindaya Township","Me Nei Taung Village Tract",0603206
"Shan State (South)","Pindaya Township","Shwe Pu Htoe Village Tract",0603207
"Shan State (South)","Pindaya Township","Pan Sit Village Tract",0603208
"Shan State (South)","Pindaya Township","Thein Kone Village Tract",0603209
"Shan State (South)","Pindaya Township","Pin Pyaw Village Tract",0603210
"Shan State (South)","Pindaya Township","Taung Shey Village Tract",0603211
"Shan State (South)","Pindaya Township","Nyaung Kauk Village Tract",0603212
"Shan State (South)","Pindaya Township","Nyaung Wun Village Tract",0603213
"Shan State (South)","Pindaya Township","Mong Li Village Tract",0603214
"Shan State (South)","Pindaya Township","Pway Hla Village Tract",0603215
"Shan State (South)","Pindaya Township","Inn Nge Village Tract",0603216
"Shan State (South)","Pindaya Township","Tha Yet Kone Village Tract",0603217
"Shan State (South)","Pindaya Township","Ku Kaw Village Tract",0603218
"Shan State (South)","Pindaya Township","Ta Me Village Tract",0603219
"Shan State (South)","Pindaya Township","Shar Pyar Village Tract",0603220
"Shan State (South)","Pindaya Township","Myin Mu Village Tract",0603221
"Shan State (South)","Pindaya Township","Kyar Kone Village Tract",0603222
"Shan State (South)","Pindaya Township","Nan Kone Village Tract",0603223
"Shan State (South)","Pindaya Township","Myay Char (North) Village Tract",0603224
"Shan State (South)","Pindaya Township","Kyone Village Tract",0603225
"Shan State (South)","Pindaya Township","Myay Char Chaint Village Tract",0603226
"Shan State (South)","Ywangan Township","Myo Kone Quarter",0604001
"Shan State (South)","Ywangan Township","Ywar Ma Quarter",0604002
"Shan State (South)","Ywangan Township","Zay Tan Quarter",0604003
"Shan State (South)","Ywangan Township","Nwar Ban Gyi Village Tract",0604200
"Shan State (South)","Ywangan Township","Kyauk Myaung Village Tract",0604201
"Shan State (South)","Ywangan Township","Kyauk Ku Pyin Village Tract",0604202
"Shan State (South)","Ywangan Township","Doke Toe Yae Village Tract",0604203
"Shan State (South)","Ywangan Township","Lin Way Village Tract",0604204
"Shan State (South)","Ywangan Township","Ta Pin Pyaw Village Tract",0604205
"Shan State (South)","Ywangan Township","Myo Gyi Village Tract",0604206
"Shan State (South)","Ywangan Township","Inn Kone Ngar Su Village Tract",0604207
"Shan State (South)","Ywangan Township","Kyun Gyi Village Tract",0604208
"Shan State (South)","Ywangan Township","Se Village Tract",0604209
"Shan State (South)","Ywangan Township","Htee Hlaing Village Tract",0604210
"Shan State (South)","Ywangan Township","Thein Kone Village Tract",0604211
"Shan State (South)","Ywangan Township","Kyan Taw Village Tract",0604212
"Shan State (South)","Ywangan Township","Kyauk Hnget Village Tract",0604213
"Shan State (South)","Ywangan Township","Kyauk Pon Village Tract",0604214
"Shan State (South)","Ywangan Township","Kyauk Pi Zat Village Tract",0604215
"Shan State (South)","Ywangan Township","Nyaung Aing Village Tract",0604216
"Shan State (South)","Ywangan Township","Lel Kaing Village Tract",0604217
"Shan State (South)","Ywangan Township","Sat Chan Village Tract",0604218
"Shan State (South)","Ywangan Township","Ya Ne Village Tract",0604219
"Shan State (South)","Ywangan Township","Nyaung Kyat Village Tract",0604220
"Shan State (South)","Ywangan Township","Myaing Village Tract",0604221
"Shan State (South)","Ywangan Township","Ah Lel Chaung Village Tract",0604222
"Shan State (South)","Ywangan Township","Sin Ghaung Village Tract",0604223
"Shan State (South)","Ywangan Township","Myin Kya Doe Village Tract",0604224
"Shan State (South)","Ywangan Township","Myin Twin Village Tract",0604225
"Shan State (South)","Ywangan Township","Hpa Yar Gyi Kone Village Tract",0604226
"Shan State (South)","Ywangan Township","Ya Gyi Village Tract",0604227
"Shan State (South)","Ywangan Township","Nan Hkon Village Tract",0604228
"Shan State (South)","Pinlaung Township","Bant Hpei Quarter",0605001
"Shan State (South)","Pinlaung Township","Hpa Yar (North) Quarter",0605002
"Shan State (South)","Pinlaung Township","Ah Shey Quarter",0605003
"Shan State (South)","Pinlaung Township","Ah Nauk Quarter",0605004
"Shan State (South)","Pinlaung Township","Zay Tan Quarter",0605005
"Shan State (South)","Pinlaung Township","Yone Win Quarter",0605006
"Shan State (South)","Pinlaung Township","Kan Thar U Quarter",0605007
"Shan State (South)","Pinlaung Township","Min Ga Lar Kwet Thit Quarter",0605008
"Shan State (South)","Pinlaung Township","Koe Khaung Quarter",0605009
"Shan State (South)","Pinlaung Township","Yinn Hme Quarter",0605010
"Shan State (South)","Pinlaung Township","Pinlaung Gyi Village Tract",0605200
"Shan State (South)","Pinlaung Township","Bant Bar Village Tract",0605201
"Shan State (South)","Pinlaung Township","Min Bu Village Tract",0605202
"Shan State (South)","Pinlaung Township","Taung Hti Bwar Village Tract",0605203
"Shan State (South)","Pinlaung Township","Taung Hti Bwar Village Tract",0605204
"Shan State (South)","Pinlaung Township","Tha Pyay Kone Village Tract",0605205
"Shan State (South)","Pinlaung Township","Hsin Tawng Village Tract",0605206
"Shan State (South)","Pinlaung Township","Long Pyin Village Tract",0605207
"Shan State (South)","Pinlaung Township","Htein Pin Village Tract",0605208
"Shan State (South)","Pinlaung Township","Pin Mun Village Tract",0605209
"Shan State (South)","Pinlaung Township","Leint Nyar Village Tract",0605210
"Shan State (South)","Pinlaung Township","Myauk Hti Bwar Village Tract",0605211
"Shan State (South)","Pinlaung Township","Nang Toke Village Tract",0605212
"Shan State (South)","Pinlaung Township","Ti Kyit Village Tract",0605213
"Shan State (South)","Pinlaung Township","Nan Pu Lin Village Tract",0605214
"Shan State (South)","Pinlaung Township","Pawt In Village Tract",0605215
"Shan State (South)","Pinlaung Township","Myin Twin Village Tract",0605216
"Shan State (South)","Pinlaung Township","Loi Maw Village Tract",0605217
"Shan State (South)","Pinlaung Township","Nawng Pi Village Tract",0605218
"Shan State (South)","Pinlaung Township","Pawt Yar Village Tract",0605219
"Shan State (South)","Pinlaung Township","Long Poe Village Tract",0605220
"Shan State (South)","Pinlaung Township","Bant Pyin Village Tract",0605221
"Shan State (South)","Pinlaung Township","Hpa Yar Hpyu Village Tract",0605222
"Shan State (South)","Pinlaung Township","Hmway Pyin Village Tract",0605223
"Shan State (South)","Pinlaung Township","Pin Hkin Village Tract",0605224
"Shan State (South)","Pekon Township","Hein Dhamma Quarter",0606001
"Shan State (South)","Pekon Township","Nang Hu Quarter",0606002
"Shan State (South)","Pekon Township","Nyaung Kone Quarter",0606003
"Shan State (South)","Pekon Township","Zay (West) Quarter",0606004
"Shan State (South)","Pekon Township","Zay (East) Quarter",0606005
"Shan State (South)","Pekon Township","Zay Tan Quarter",0606006
"Shan State (South)","Pekon Township","Myo Kone Quarter",0606007
"Shan State (South)","Pekon Township","Moe Bye Village Tract",0606200
"Shan State (South)","Pekon Township","Hkawng Ei Village Tract",0606201
"Shan State (South)","Pekon Township","Kone Hson Village Tract",0606202
"Shan State (South)","Pekon Township","Loi Paw Village Tract",0606203
"Shan State (South)","Pekon Township","Nar Hee Village Tract",0606204
"Shan State (South)","Pekon Township","Ku Yin Village Tract",0606205
"Shan State (South)","Pekon Township","Yi Nwe Village Tract",0606206
"Shan State (South)","Pekon Township","Yi Long Yi Kan Village Tract",0606207
"Shan State (South)","Pekon Township","Thi Kyeik Village Tract",0606208
"Shan State (South)","Pekon Township","Ah Lel Pa Daung Village Tract",0606209
"Shan State (South)","Pekon Township","Kayaw Village Tract",0606210
"Shan State (South)","Pekon Township","Pekon(Naung Hlaing) Village Tract",0606211
"Shan State (South)","Lawksawk Township","Taung Kwet Thit Quarter",0607001
"Shan State (South)","Lawksawk Township","Myo Kone Quarter",0607002
"Shan State (South)","Lawksawk Township","Oke Ta Dar Quarter",0607003
"Shan State (South)","Lawksawk Township","Zay Tan Quarter",0607004
"Shan State (South)","Lawksawk Township","Myauk Kwet Thit Quarter",0607005
"Shan State (South)","Lawksawk Township","Ba Htu Quarter",0607006
"Shan State (South)","Lawksawk Township","Zaw Gyi Quarter",0607007
"Shan State (South)","Lawksawk Township","Myo U Quarter",0607008
"Shan State (South)","Lawksawk Township","Loi Koe Village Tract",0607200
"Shan State (South)","Lawksawk Township","Hway Village Tract",0607201
"Shan State (South)","Lawksawk Township","Yan Twin Ngar Kyaung Village Tract",0607202
"Shan State (South)","Lawksawk Township","Myin Taung Village Tract",0607203
"Shan State (South)","Lawksawk Township","Ma Gyi Kone Village Tract",0607204
"Shan State (South)","Lawksawk Township","Kaung Boet Village Tract",0607205
"Shan State (South)","Lawksawk Township","Ah Lel Chaung Village Tract",0607206
"Shan State (South)","Lawksawk Township","Hpawng Taw Village Tract",0607207
"Shan State (South)","Lawksawk Township","Kyauk Taw Village Tract",0607208
"Shan State (South)","Lawksawk Township","Nan Lwe Village Tract",0607209
"Shan State (South)","Lawksawk Township","Par Me Village Tract",0607210
"Shan State (South)","Lawksawk Township","Mar Thea Village Tract",0607211
"Shan State (South)","Lawksawk Township","Keng Hkam Village Tract",0607212
"Shan State (South)","Lawksawk Township","Ohn Kwe Village Tract",0607213
"Shan State (South)","Lawksawk Township","Nang Kaung Hmu Village Tract",0607214
"Shan State (South)","Lawksawk Township","Kyauk Gu Village Tract",0607215
"Shan State (South)","Lawksawk Township","Nawng Woe Village Tract",0607216
"Shan State (South)","Lawksawk Township","Nawng Long Village Tract",0607217
"Shan State (South)","Nyaungshwe Township","Kan Thar Quarter",0608001
"Shan State (South)","Nyaungshwe Township","Thar Si Quarter",0608002
"Shan State (South)","Nyaungshwe Township","Nan Da Wun Quarter",0608003
"Shan State (South)","Nyaungshwe Township","Myo Lel Quarter",0608004
"Shan State (South)","Nyaungshwe Township","Win Quarter",0608005
"Shan State (South)","Nyaungshwe Township","Nang Pang Quarter",0608006
"Shan State (South)","Nyaungshwe Township","Min Ga Lar Quarter",0608007
"Shan State (South)","Nyaungshwe Township","Mong Li Quarter",0608008
"Shan State (South)","Nyaungshwe Township","Nan Thea Village Tract",0608200
"Shan State (South)","Nyaungshwe Township","Kyun Gyi Village Tract",0608201
"Shan State (South)","Nyaungshwe Township","Lin Kin Village Tract",0608202
"Shan State (South)","Nyaungshwe Township","Khaung Taing Village Tract",0608203
"Shan State (South)","Nyaungshwe Township","Let Maung Kway Village Tract",0608204
"Shan State (South)","Nyaungshwe Township","Taung Poet Gyi Village Tract",0608205
"Shan State (South)","Nyaungshwe Township","Taung Chay Myin Sa Hkun Village Tract",0608206
"Shan State (South)","Nyaungshwe Township","Mong Thauk Village Tract",0608207
"Shan State (South)","Nyaungshwe Township","Ywar Thar Village Tract",0608208
"Shan State (South)","Nyaungshwe Township","Ti Law Sa Khan Gyi Village Tract",0608209
"Shan State (South)","Nyaungshwe Township","Min Chaung Village Tract",0608210
"Shan State (South)","Nyaungshwe Township","Pont Mu Village Tract",0608211
"Shan State (South)","Nyaungshwe Township","Tone Lel Village Tract",0608212
"Shan State (South)","Nyaungshwe Township","Tha Pyay Pin Village Tract",0608213
"Shan State (South)","Nyaungshwe Township","Nga Hpei Chaung Village Tract",0608214
"Shan State (South)","Nyaungshwe Township","He Yar Ywar Ma Village Tract",0608215
"Shan State (South)","Nyaungshwe Township","Thar Lay Village Tract",0608216
"Shan State (South)","Nyaungshwe Township","Mong Pyoe Village Tract",0608217
"Shan State (South)","Nyaungshwe Township","Nawng Taw Village Tract",0608218
"Shan State (South)","Nyaungshwe Township","Inn Hlar Keng Hkam Village Tract",0608219
"Shan State (South)","Nyaungshwe Township","Taung To Village Tract",0608220
"Shan State (South)","Nyaungshwe Township","Kyauk Taing Village Tract",0608221
"Shan State (South)","Nyaungshwe Township","Kyay Paw Hkon Village Tract",0608222
"Shan State (South)","Nyaungshwe Township","Inn Tein Village Tract",0608223
"Shan State (South)","Nyaungshwe Township","Inn Chan Kay Lar Village Tract",0608224
"Shan State (South)","Nyaungshwe Township","Inn Paw Hkon Village Tract",0608225
"Shan State (South)","Nyaungshwe Township","Tha Le U Village Tract",0608226
"Shan State (South)","Nyaungshwe Township","San Kar Village Tract",0608227
"Shan State (South)","Nyaungshwe Township","Long Kan Village Tract",0608228
"Shan State (South)","Nyaungshwe Township","Yae Pu Village Tract",0608229
"Shan State (South)","Nyaungshwe Township","Lin Lan (South) Village Tract",0608230
"Shan State (South)","Nyaungshwe Township","Inn Tan Village Tract",0608231
"Shan State (South)","Nyaungshwe Township","Bang Pyin Village Tract",0608232
"Shan State (South)","Nyaungshwe Township","Lin Lan (North) Village Tract",0608233
"Shan State (South)","Hopong Township","Myo U Quarter",0609001
"Shan State (South)","Hopong Township","Myo U Kwet Thit Quarter",0609002
"Shan State (South)","Hopong Township","Ah Shey Quarter",0609003
"Shan State (South)","Hopong Township","Ah Nauk Quarter",0609004
"Shan State (South)","Hopong Township","Taung Quarter",0609005
"Shan State (South)","Hopong Township","Tong Hkam Quarter",0609006
"Shan State (South)","Hopong Township","Nam Hkoke Village Tract",0609200
"Shan State (South)","Hopong Township","Kone Keng Village Tract",0609201
"Shan State (South)","Hopong Township","Long Hay Village Tract",0609202
"Shan State (South)","Hopong Township","Pawng Lin Village Tract",0609203
"Shan State (South)","Hopong Township","Sam Hpu (Me Nei Taung) Village Tract",0609204
"Shan State (South)","Hopong Township","Sa Ngaw Village Tract",0609205
"Shan State (South)","Hopong Township","Kyauk Tan Village Tract",0609206
"Shan State (South)","Hopong Township","Baw Kone Village Tract",0609207
"Shan State (South)","Hopong Township","Ti Long Village Tract",0609208
"Shan State (South)","Hopong Township","Loi Aun Village Tract",0609209
"Shan State (South)","Hopong Township","Le Thet Village Tract",0609210
"Shan State (South)","Hopong Township","Long Hkoke Village Tract",0609211
"Shan State (South)","Hopong Township","Hpet Yang Village Tract",0609212
"Shan State (South)","Hopong Township","Nawng Day Village Tract",0609213
"Shan State (South)","Hopong Township","Mauk Mun Village Tract",0609214
"Shan State (South)","Hopong Township","Mong Ping Village Tract",0609215
"Shan State (South)","Hopong Township","Nam Par Chee Village Tract",0609216
"Shan State (South)","Hopong Township","Nar Pong Village Tract",0609217
"Shan State (South)","Hopong Township","Hsa Nin Village Tract",0609218
"Shan State (South)","Hopong Township","Nar Tit Village Tract",0609219
"Shan State (South)","Hopong Township","Mong Lin Village Tract",0609220
"Shan State (South)","Hopong Township","Nawng Lai Mu Hpeik Village Tract",0609221
"Shan State (South)","Hsihseng Township","Ho Hke Quarter",0610001
"Shan State (South)","Hsihseng Township","Min Ga Lar Quarter",0610002
"Shan State (South)","Hsihseng Township","Thi Ri Quarter",0610003
"Shan State (South)","Hsihseng Township","Aung Tha Pyay Quarter",0610004
"Shan State (South)","Hsihseng Township","Aung Chan Thar Quarter",0610005
"Shan State (South)","Hsihseng Township","Mya Kan Thar Quarter",0610006
"Shan State (South)","Hsihseng Township","Hsihseng Village Tract",0610200
"Shan State (South)","Hsihseng Township","Ta Bet Village Tract",0610201
"Shan State (South)","Hsihseng Township","Taung (East) Village Tract",0610202
"Shan State (South)","Hsihseng Township","Pin Son Village Tract",0610203
"Shan State (South)","Hsihseng Township","Kone Hsut Village Tract",0610204
"Shan State (South)","Hsihseng Township","Bant Bwee Village Tract",0610205
"Shan State (South)","Hsihseng Township","Loi Yun Nar Than Village Tract",0610206
"Shan State (South)","Hsihseng Township","Par Law Par Kei Village Tract",0610207
"Shan State (South)","Hsihseng Township","Nar Hkaik Village Tract",0610208
"Shan State (South)","Hsihseng Township","Pong Inn Village Tract",0610209
"Shan State (South)","Hsihseng Township","Nawng Mun Village Tract",0610210
"Shan State (South)","Hsihseng Township","Loi Put Village Tract",0610211
"Shan State (South)","Hsihseng Township","Bang Yin Village Tract",0610212
"Shan State (South)","Loilen Township","No (1) Quarter",0611001
"Shan State (South)","Loilen Township","No (2) Quarter",0611002
"Shan State (South)","Loilen Township","No (3) Quarter",0611003
"Shan State (South)","Loilen Township","No (4) Quarter",0611004
"Shan State (South)","Loilen Township","Loilen (East) Village Tract",0611200
"Shan State (South)","Loilen Township","Pang Woe Village Tract",0611201
"Shan State (South)","Loilen Township","Taung Nauk Village Tract",0611202
"Shan State (South)","Loilen Township","Mong Pun Village Tract",0611203
"Shan State (South)","Loilen Township","Sin Chay Hpone Village Tract",0611204
"Shan State (South)","Loilen Township","Kone Yaw Village Tract",0611205
"Shan State (South)","Loilen Township","Hkauk Nwet Village Tract",0611206
"Shan State (South)","Loilen Township","Hway Tauk Village Tract",0611207
"Shan State (South)","Loilen Township","Nar Yang Village Tract",0611208
"Shan State (South)","Loilen Township","Nawng Lai Mu Hpeik Village Tract",0611209
"Shan State (South)","Loilen Township","Nam Hta Mo Village Tract",0611210
"Shan State (South)","Loilen Township","Pang Mont Village Tract",0611211
"Shan State (South)","Loilen Township","Nar Tit Village Tract",0611212
"Shan State (South)","Loilen Township","He Nang Village Tract",0611213
"Shan State (South)","Loilen Township","Hsa Nin Village Tract",0611214
"Shan State (South)","Loilen Township","Tant Ae Village Tract",0611215
"Shan State (South)","Loilen Township","Pinlon (East) Village Tract",0611216
"Shan State (South)","Loilen Township","Nawng Lai Village Tract",0611217
"Shan State (South)","Loilen Township","Hsa Hawng Village Tract",0611218
"Shan State (South)","Laihka Township","No (1) Quarter",0612001
"Shan State (South)","Laihka Township","No (2) Quarter",0612002
"Shan State (South)","Laihka Township","No (3) Quarter",0612003
"Shan State (South)","Laihka Township","No (4) Quarter",0612004
"Shan State (South)","Laihka Township","Myo Ma Village Tract",0612200
"Shan State (South)","Laihka Township","Nawng Kawt Village Tract",0612201
"Shan State (South)","Laihka Township","He Hseng Village Tract",0612202
"Shan State (South)","Laihka Township","Pang Sang Village Tract",0612203
"Shan State (South)","Laihka Township","Wan Hai Village Tract",0612204
"Shan State (South)","Laihka Township","Pong Nay Village Tract",0612205
"Shan State (South)","Laihka Township","Wan Seit Village Tract",0612206
"Shan State (South)","Laihka Township","Pong Taik Village Tract",0612207
"Shan State (South)","Laihka Township","Nar Man Village Tract",0612208
"Shan State (South)","Laihka Township","Wan Hti Village Tract",0612209
"Shan State (South)","Laihka Township","Wan Sang Village Tract",0612210
"Shan State (South)","Laihka Township","Wan Lay Village Tract",0612211
"Shan State (South)","Laihka Township","Tat Mauk Village Tract",0612212
"Shan State (South)","Laihka Township","Wan Pang Village Tract",0612213
"Shan State (South)","Laihka Township","Nam Toke Village Tract",0612214
"Shan State (South)","Laihka Township","Wan Hpai Village Tract",0612215
"Shan State (South)","Laihka Township","Hpar Lan Village Tract",0612216
"Shan State (South)","Laihka Township","Wan Ying Village Tract",0612217
"Shan State (South)","Laihka Township","Pang Tan Village Tract",0612218
"Shan State (South)","Mongkaing Township","No (1) Quarter",0613001
"Shan State (South)","Mongkaing Township","No (2) Quarter",0613002
"Shan State (South)","Mongkaing Township","No (3) Quarter",0613003
"Shan State (South)","Mongkaing Township","No (4) Quarter",0613004
"Shan State (South)","Mongkaing Township","No (5) Quarter",0613005
"Shan State (South)","Mongkaing Township","Myo Ma Sin Chay Hpone (North) Village Tract",0613200
"Shan State (South)","Mongkaing Township","Myo Ma Sin Chay Hpone (East) Village Tract",0613201
"Shan State (South)","Mongkaing Township","Wan Hway Aum Village Tract",0613202
"Shan State (South)","Mongkaing Township","Nam Hu Village Tract",0613203
"Shan State (South)","Mongkaing Township","Wan Long Village Tract",0613204
"Shan State (South)","Mongkaing Township","Wan Hway Long Village Tract",0613205
"Shan State (South)","Mongkaing Township","Hkay Ong Awayt Village Tract",0613206
"Shan State (South)","Mongkaing Township","Hsan Ha Village Tract",0613207
"Shan State (South)","Mongkaing Township","Yang Nang Village Tract",0613208
"Shan State (South)","Mongkaing Township","Mong Hkun Village Tract",0613209
"Shan State (South)","Mongkaing Township","Kone Long Village Tract",0613210
"Shan State (South)","Mongkaing Township","Loke Tawng Village Tract",0613211
"Shan State (South)","Mongkaing Township","Wan Hpwee Village Tract",0613212
"Shan State (South)","Mongkaing Township","Ho Nar Village Tract",0613213
"Shan State (South)","Mongkaing Township","Mong Yun Village Tract",0613214
"Shan State (South)","Mongkaing Township","Son Law Village Tract",0613215
"Shan State (South)","Mongkaing Township","Par Hkawng Village Tract",0613216
"Shan State (South)","Mongkaing Township","Nawng Sam Hpu Village Tract",0613217
"Shan State (South)","Mongkaing Township","Loi Kon Village Tract",0613218
"Shan State (South)","Mongkaing Township","Ton Law Village Tract",0613219
