Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Tanintharyi Region","Dawei Township","San Chi Quarter",1401001
"Tanintharyi Region","Dawei Township","Oe Loke Quarter",1401002
"Tanintharyi Region","Dawei Township","Ta Laing Htein Quarter",1401003
"Tanintharyi Region","Dawei Township","Thin Baw Seik Quarter",1401004
"Tanintharyi Region","Dawei Township","Daung Ngu Quarter",1401005
"Tanintharyi Region","Dawei Township","Kyet Sa Pyin Quarter",1401006
"Tanintharyi Region","Dawei Township","Bon Maw Quarter",1401007
"Tanintharyi Region","Dawei Township","Za Yit Quarter",1401008
"Tanintharyi Region","Dawei Township","Ka Nyon Quarter",1401009
"Tanintharyi Region","Dawei Township","Pein Hne Taw Quarter",1401010
"Tanintharyi Region","Dawei Township","Ah Nauk Myo Twin Quarter",1401011
"Tanintharyi Region","Dawei Township","Byaw Taw Wa Quarter",1401012
"Tanintharyi Region","Dawei Township","Kyauk  Maw Quarter",1401013
"Tanintharyi Region","Dawei Township","Htein Thit Quarter",1401014
"Tanintharyi Region","Dawei Township","Sin Seik Quarter",1401015
"Tanintharyi Region","Yebyu Township","Myo Ma (Ka Gyi) Quarter",1402001
"Tanintharyi Region","Yebyu Township","Myo Ma (Kha Gway) Quarter",1402002
"Tanintharyi Region","Yebyu Township","Myo Ma (Ga Nge) Quarter",1402003
"Tanintharyi Region","Yebyu Township","Myo Ma (Ga Gyi) Quarter",1402004
"Tanintharyi Region","Thayetchaung Township","Maw Shi Kone Quarter",1403001
"Tanintharyi Region","Thayetchaung Township","Kyauk Myaung Quarter",1403002
"Tanintharyi Region","Thayetchaung Township","Tha Yet Chaung Quarter",1403003
"Tanintharyi Region","Thayetchaung Township","Pan Taw Quarter",1403004
"Tanintharyi Region","Thayetchaung Township","Sin Hpyu Pyin Quarter",1403005
"Tanintharyi Region","Launglon Township","(Ka Gyi) Quarter",1404001
"Tanintharyi Region","Launglon Township","(Kha Gway) Quarter",1404002
"Tanintharyi Region","Launglon Township","(Ga Nge) Quarter",1404003
"Tanintharyi Region","Launglon Township","(Ga Gyi) Quarter",1404004
"Tanintharyi Region","Myeik Township","Nauk Lel Quarter",1405001
"Tanintharyi Region","Myeik Township","Ta Laing Su Quarter",1405002
"Tanintharyi Region","Myeik Township","Seik Nge Quarter",1405003
"Tanintharyi Region","Myeik Township","Zay Tan Quarter",1405004
"Tanintharyi Region","Myeik Township","Kan Khaung Quarter",1405005
"Tanintharyi Region","Myeik Township","Myit Nge Quarter",1405006
"Tanintharyi Region","Myeik Township","Dawei Su Quarter",1405007
"Tanintharyi Region","Myeik Township","Kan Gyi Quarter",1405008
"Tanintharyi Region","Myeik Township","Yae Pone Quarter",1405009
"Tanintharyi Region","Myeik Township","Kan Hpyar Quarter",1405010
"Tanintharyi Region","Myeik Township","Ah Lel Kyun Quarter",1405011
"Tanintharyi Region","Myeik Township","Myeik (South) Quarter",1405012
"Tanintharyi Region","Palaw Township","No (1) Quarter",1406001
"Tanintharyi Region","Palaw Township","No (2) Quarter",1406002
"Tanintharyi Region","Palaw Township","No (3) Quarter",1406003
"Tanintharyi Region","Palaw Township","No (4) Quarter",1406004
"Tanintharyi Region","Palaw Township","No (5) Quarter",1406005
"Tanintharyi Region","Tanintharyi Township","Chaung Gyi Quarter",1407001
