Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Tanintharyi Region","Dawei Township","Za Har Village Tract",1401200
"Tanintharyi Region","Dawei Township","Tha Pyay Chaung Village Tract",1401201
"Tanintharyi Region","Dawei Township","Maung Mei Shaung Village Tract",1401202
"Tanintharyi Region","Dawei Township","Za Lun Village Tract",1401203
"Tanintharyi Region","Dawei Township","Ta Laing Taung Village Tract",1401204
"Tanintharyi Region","Dawei Township","Tha Byar Village Tract",1401205
"Tanintharyi Region","Dawei Township","Pa Kar Ri Village Tract",1401206
"Tanintharyi Region","Dawei Township","Ah Nyar Hpyar Village Tract",1401207
"Tanintharyi Region","Dawei Township","Har Myin Gyi Village Tract",1401208
"Tanintharyi Region","Dawei Township","Wa Kone Village Tract",1401209
"Tanintharyi Region","Dawei Township","Pyar Thar Chaung Village Tract",1401210
"Tanintharyi Region","Dawei Township","Kyauk Yat Village Tract",1401211
"Tanintharyi Region","Dawei Township","Shan Ma Twin Village Tract",1401212
"Tanintharyi Region","Dawei Township","Ku Toet Village Tract",1401213
"Tanintharyi Region","Dawei Township","Ka Naing Dar Village Tract",1401214
"Tanintharyi Region","Dawei Township","Shin Moke Tee Village Tract",1401215
"Tanintharyi Region","Dawei Township","Yaung Maw Village Tract",1401216
"Tanintharyi Region","Dawei Township","Ah Myar Village Tract",1401217
"Tanintharyi Region","Dawei Township","Taung Thone Lone Village Tract",1401218
"Tanintharyi Region","Dawei Township","Kyauk Me Taung Village Tract",1401219
"Tanintharyi Region","Dawei Township","Myay Khan Baw Village Tract",1401220
"Tanintharyi Region","Dawei Township","Hein Dar Village Tract",1401221
"Tanintharyi Region","Dawei Township","Hpaung Taw Gyi Village Tract",1401222
"Tanintharyi Region","Dawei Township","Ka Lit Gyi Village Tract",1401223
"Tanintharyi Region","Dawei Township","Sin Hpyu Taing Village Tract",1401224
"Tanintharyi Region","Yebyu Township","Pale Ku Village Tract",1402200
"Tanintharyi Region","Yebyu Township","Ya Laing Village Tract",1402201
"Tanintharyi Region","Yebyu Township","Pu Gaw Zun Village Tract",1402202
"Tanintharyi Region","Yebyu Township","Nat Twin Village Tract",1402203
"Tanintharyi Region","Yebyu Township","Thit To Htaunt Village Tract",1402204
"Tanintharyi Region","Yebyu Township","Kyauk Ka Nyar Village Tract",1402205
"Tanintharyi Region","Yebyu Township","Ta Laing Yar Village Tract",1402206
"Tanintharyi Region","Yebyu Township","Nyin Htwe Village Tract",1402207
"Tanintharyi Region","Yebyu Township","Pein Shaung Village Tract",1402208
"Tanintharyi Region","Yebyu Township","U Tha Ran Village Tract",1402209
"Tanintharyi Region","Yebyu Township","Kyauk Htaunt Village Tract",1402210
"Tanintharyi Region","Yebyu Township","Wun Hpoet Village Tract",1402211
"Tanintharyi Region","Yebyu Township","Na Bu Lel Village Tract",1402212
"Tanintharyi Region","Yebyu Township","Le Shaung Village Tract",1402213
"Tanintharyi Region","Yebyu Township","Aye Ka Ni Village Tract",1402214
"Tanintharyi Region","Yebyu Township","Pa Ra Dat Village Tract",1402215
"Tanintharyi Region","Yebyu Township","Mu Du Village Tract",1402216
"Tanintharyi Region","Yebyu Township","Zar Di Village Tract",1402217
"Tanintharyi Region","Yebyu Township","Hpaung Taw Village Tract",1402218
"Tanintharyi Region","Yebyu Township","Thea Chaung Village Tract",1402219
"Tanintharyi Region","Yebyu Township","Ohn Pin Kwin Village Tract",1402220
"Tanintharyi Region","Yebyu Township","Kywe Thone Nyi Ma Village Tract",1402221
"Tanintharyi Region","Yebyu Township","Ein Da Rar Zar Village Tract",1402222
"Tanintharyi Region","Yebyu Township","Nat Kyi Sin Village Tract",1402223
"Tanintharyi Region","Yebyu Township","Min Thar Village Tract",1402224
"Tanintharyi Region","Yebyu Township","Kan Pauk Village Tract",1402225
"Tanintharyi Region","Yebyu Township","Hpar Chaung Village Tract",1402226
"Tanintharyi Region","Yebyu Township","Hnan Kye Village Tract",1402227
"Tanintharyi Region","Yebyu Township","Kayin Shin Ta Bi Village Tract",1402228
"Tanintharyi Region","Yebyu Township","Kyauk Shat Village Tract",1402229
"Tanintharyi Region","Yebyu Township","Zin Bar Village Tract",1402230
"Tanintharyi Region","Yebyu Township","Rar Hpu Village Tract",1402231
"Tanintharyi Region","Yebyu Township","Mi Kyaung Hlaung Village Tract",1402232
"Tanintharyi Region","Yebyu Township","Lawt Thaing Village Tract",1402233
"Tanintharyi Region","Yebyu Township","Htein Gyi Village Tract",1402234
"Tanintharyi Region","Thayetchaung Township","Ka Zi Ta Dar U Village Tract",1403200
"Tanintharyi Region","Thayetchaung Township","Pein Taw Village Tract",1403201
"Tanintharyi Region","Thayetchaung Township","Pan Chi Shaung Village Tract",1403202
"Tanintharyi Region","Thayetchaung Township","Oke Tu Village Tract",1403203
"Tanintharyi Region","Thayetchaung Township","Tha Yet Hnit Khwa Village Tract",1403204
"Tanintharyi Region","Thayetchaung Township","Thin Kyun Village Tract",1403205
"Tanintharyi Region","Thayetchaung Township","Yan Taung Village Tract",1403206
"Tanintharyi Region","Thayetchaung Township","Nyaung Zin Village Tract",1403207
"Tanintharyi Region","Thayetchaung Township","Kyar Inn Village Tract",1403208
"Tanintharyi Region","Thayetchaung Township","Kin Shey Village Tract",1403209
"Tanintharyi Region","Thayetchaung Township","Saw Hpyar Village Tract",1403210
"Tanintharyi Region","Thayetchaung Township","Pa Dat Chaung Village Tract",1403211
"Tanintharyi Region","Thayetchaung Township","Ti Tut Pyin Village Tract",1403212
"Tanintharyi Region","Thayetchaung Township","Ein Shey Pyin Village Tract",1403213
"Tanintharyi Region","Thayetchaung Township","Sin Ku Village Tract",1403214
"Tanintharyi Region","Thayetchaung Township","La Ba Village Tract",1403215
"Tanintharyi Region","Thayetchaung Township","Pyin Hpyu Gyi Village Tract",1403216
"Tanintharyi Region","Thayetchaung Township","Son Sin Village Tract",1403217
"Tanintharyi Region","Thayetchaung Township","Pyin Hpyu Thar Village Tract",1403218
"Tanintharyi Region","Thayetchaung Township","Chaung Wa Pyin Village Tract",1403219
"Tanintharyi Region","Thayetchaung Township","Yae Cho Chaung Village Tract",1403220
"Tanintharyi Region","Thayetchaung Township","Gon Hnyin Seik Village Tract",1403221
"Tanintharyi Region","Thayetchaung Township","Ya Nge Village Tract",1403222
"Tanintharyi Region","Thayetchaung Township","Ka Myaing Village Tract",1403223
"Tanintharyi Region","Thayetchaung Township","Min Dat Village Tract",1403224
"Tanintharyi Region","Thayetchaung Township","Kywe Min Kone Village Tract",1403225
"Tanintharyi Region","Thayetchaung Township","Ka Net Thi Ri Village Tract",1403226
"Tanintharyi Region","Thayetchaung Township","Mei Ke Village Tract",1403227
"Tanintharyi Region","Thayetchaung Township","Thea Chaung Gyi Village Tract",1403228
"Tanintharyi Region","Thayetchaung Township","Kayin Taung Pyauk Village Tract",1403229
"Tanintharyi Region","Thayetchaung Township","Yae Pu Village Tract",1403230
"Tanintharyi Region","Thayetchaung Township","Ka Twe Village Tract",1403231
"Tanintharyi Region","Thayetchaung Township","Ka Nyin Chaung Village Tract",1403232
"Tanintharyi Region","Thayetchaung Township","Auk Tha Yet Chaung Village Tract",1403233
"Tanintharyi Region","Thayetchaung Township","Pa Dauk Village Tract",1403234
"Tanintharyi Region","Thayetchaung Township","Kyauk Se Village Tract",1403235
"Tanintharyi Region","Thayetchaung Township","Myanmar Pa Awt Village Tract",1403236
"Tanintharyi Region","Thayetchaung Township","Ait Ait (Kayin Pa Awt) Village Tract",1403237
"Tanintharyi Region","Thayetchaung Township","Pe Det Village Tract",1403238
"Tanintharyi Region","Launglon Township","Pyin Htein Village Tract",1404200
"Tanintharyi Region","Launglon Township","Way Di Village Tract",1404201
"Tanintharyi Region","Launglon Township","Ka Nyon Kyun Village Tract",1404202
"Tanintharyi Region","Launglon Township","Tha Byar Village Tract",1404203
"Tanintharyi Region","Launglon Township","Inn Zauk Village Tract",1404204
