Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Yangon Region","Mingaladon Township","Nwe Khway Village Tract",1102200
"Yangon Region","Mingaladon Township","Kone Ta La Paung Village Tract",1102201
"Yangon Region","Mingaladon Township","Shwe Nant Thar Village Tract",1102203
"Yangon Region","Mingaladon Township","Pyin Ma Pin Village Tract",1102204
"Yangon Region","Mingaladon Township","Thin Gan Kyun Gyi Village Tract",1102205
"Yangon Region","Shwepyithar Township","Oke Hpo Village Tract",1125200
"Yangon Region","Shwepyithar Township","Zee Kone Village Tract",1125201
"Yangon Region","Shwepyithar Township","Kyaung Kone Village Tract",1125202
"Yangon Region","Shwepyithar Township","Hlaw Kar Village Tract",1125203
"Yangon Region","Dala Township","Rakhine Chaung (South) Village Tract",1126200
"Yangon Region","Dala Township","Rakhine Chaung (North) Village Tract",1126201
"Yangon Region","Dala Township","Da Noke San Pya Village Tract",1126202
"Yangon Region","Dala Township","Nyaung Chaung Village Tract",1126203
"Yangon Region","Dala Township","Tone Tin Gan (South) Village Tract",1126204
"Yangon Region","Dala Township","Tone Tin Gan (North) Village Tract",1126205
"Yangon Region","Dala Township","Boe Hpyu Chaung Village Tract",1126206
"Yangon Region","Dala Township","Kha Naung (Ywar Ma) Village Tract",1126207
"Yangon Region","Dala Township","Kha Naung (Upper) Village Tract",1126208
"Yangon Region","Dala Township","Kha Naung (Shan Su) Village Tract",1126209
"Yangon Region","Dala Township","Ta Dar Chaung Village Tract",1126210
"Yangon Region","Dala Township","Ye Chaung Village Tract",1126211
"Yangon Region","Dala Township","Tha Pyay Kone Village Tract",1126212
"Yangon Region","Dala Township","Nyaung Ngoke To Village Tract",1126213
"Yangon Region","Dala Township","Htaw (Lower) Village Tract",1126214
"Yangon Region","Dala Township","Ye Chaung Wa Village Tract",1126215
"Yangon Region","Dala Township","Pyawbwe Gyi Village Tract",1126216
"Yangon Region","Dala Township","Shwe Hlay Chaung Village Tract",1126217
"Yangon Region","Dala Township","Nyaung Pin Village Tract",1126218
"Yangon Region","Dala Township","Kywe Lu Aing Village Tract",1126219
"Yangon Region","Dala Township","Than Ban Chaung Village Tract",1126220
"Yangon Region","Dala Township","Htu Gyi Village Tract",1126221
"Yangon Region","Dala Township","Tha Yaw Tan Village Tract",1126222
"Yangon Region","Thanlyin Township","Win Kha Nee Village Tract",1129200
"Yangon Region","Thanlyin Township","Hpar Ku (East) Village Tract",1129201
"Yangon Region","Thanlyin Township","Hpar Ku (West) Village Tract",1129202
"Yangon Region","Thanlyin Township","Day Zat Village Tract",1129203
"Yangon Region","Thanlyin Township","Yone Tha Pyay Kan Village Tract",1129204
"Yangon Region","Thanlyin Township","Min Ga Lun Village Tract",1129205
"Yangon Region","Thanlyin Township","Baw Tha Pyay Kan Village Tract",1129206
"Yangon Region","Thanlyin Township","Kayin Seik Village Tract",1129207
"Yangon Region","Thanlyin Township","Tha Pyay Kone Village Tract",1129208
"Yangon Region","Thanlyin Township","Bagan Taung Village Tract",1129209
"Yangon Region","Thanlyin Township","Ah Lun Soke Village Tract",1129210
"Yangon Region","Thanlyin Township","Kyaung Kone Seik Gyi (a) Gya Mar Village Tract",1129211
"Yangon Region","Thanlyin Township","Let Yet San Village Tract",1129212
"Yangon Region","Thanlyin Township","Thu Htay Kwin Village Tract",1129213
"Yangon Region","Thanlyin Township","Sit Pin Kwin Village Tract",1129214
"Yangon Region","Thanlyin Township","Ba Yet Village Tract",1129215
"Yangon Region","Thanlyin Township","Nga Byay Ma Village Tract",1129216
"Yangon Region","Thanlyin Township","Nga/Pa Village Tract",1129217
"Yangon Region","Thanlyin Township","Tha Nat Pin Village Tract",1129218
"Yangon Region","Thanlyin Township","Bo Gyoke Village Tract",1129219
"Yangon Region","Thanlyin Township","Nyaung Thone Pin Village Tract",1129220
"Yangon Region","Thanlyin Township","Hpa Yar Kone Village Tract",1129221
"Yangon Region","Thanlyin Township","La Har Yet Village Tract",1129222
"Yangon Region","Thanlyin Township","Ka Dat Hpyar Village Tract",1129223
"Yangon Region","Thanlyin Township","Nyaung Lay Pin Village Tract",1129224
"Yangon Region","Thanlyin Township","Ku Lar Wea Village Tract",1129225
"Yangon Region","Thanlyin Township","Say Lone Gyi Village Tract",1129226
"Yangon Region","Thanlyin Township","Chaung Sauk Village Tract",1129227
"Yangon Region","Kyauktan Township","Kan Pyaung Village Tract",1130200
"Yangon Region","Kyauktan Township","Pi La Khat Village Tract",1130201
"Yangon Region","Kyauktan Township","Kyon Kan Village Tract",1130202
"Yangon Region","Kyauktan Township","Wea Gyi Village Tract",1130203
"Yangon Region","Kyauktan Township","Ywar Thit Gyi Village Tract",1130204
"Yangon Region","Kyauktan Township","Kyan Pin Village Tract",1130205
"Yangon Region","Kyauktan Township","Thaung Gyi Village Tract",1130206
"Yangon Region","Kyauktan Township","Kayin Chaung Village Tract",1130207
"Yangon Region","Kyauktan Township","Zwe Ka Nar Village Tract",1130208
"Yangon Region","Kyauktan Township","Ah Se Village Tract",1130209
"Yangon Region","Kyauktan Township","Min Ga Lun Village Tract",1130210
"Yangon Region","Kyauktan Township","Na Ywe Chaung Village Tract",1130211
