Region,"Town / Township","Quarter / Village Tract","Postal Code"
"Yangon Region","Insein Township","Kan Nar (West) Quarter",1101001
"Yangon Region","Insein Township","Kan Nar (Middle) Quarter",1101002
"Yangon Region","Insein Township","Kwet Thit Quarter",1101003
"Yangon Region","Insein Township","Pauk Taw Quarter",1101004
"Yangon Region","Insein Township","Zay Kone (West) Quarter",1101005
"Yangon Region","Insein Township","Zay Kone (East) Quarter",1101006
"Yangon Region","Insein Township","Pein Hne Kone Quarter",1101007
"Yangon Region","Insein Township","Myo Thit (Ka Gyi/Kha Gway) Quarter",1101008
"Yangon Region","Insein Township","Myo Thit (Ga Nge) Quarter",1101009
"Yangon Region","Insein Township","Kyoet Kone (West) Quarter",1101010
"Yangon Region","Insein Township","Kyoet Kone (East) Quarter",1101011
"Yangon Region","Insein Township","Saw Bwar Gyi Kone Quarter",1101012
"Yangon Region","Insein Township","Nant Thar Kone Quarter",1101013
"Yangon Region","Insein Township","Taung Thu Kone Quarter",1101014
"Yangon Region","Insein Township","Ywar Ma (East) Quarter",1101015
"Yangon Region","Insein Township","Ywar Ma (Middle) Quarter",1101016
"Yangon Region","Insein Township","Ywar Ma (West) Quarter",1101017
"Yangon Region","Insein Township","Hpawt Kan Quarter",1101018
"Yangon Region","Insein Township","Sint Ngu Quarter",1101019
"Yangon Region","Insein Township","Aung San Quarter",1101020
"Yangon Region","Insein Township","Da Nyin Kone Quarter",1101021
"Yangon Region","Mingaladon Township","Kyan Khin Su Quarter",1102001
"Yangon Region","Mingaladon Township","Ah Nan Pin Quarter",1102002
"Yangon Region","Mingaladon Township","Chit Tee Kone Quarter",1102003
"Yangon Region","Mingaladon Township","No (2) (Ka Gyi) Quarter",1102004
"Yangon Region","Mingaladon Township","No (2) (Kha Gway) Quarter",1102005
"Yangon Region","Mingaladon Township","No (3) (Ka Gyi) Quarter",1102006
"Yangon Region","Mingaladon Township","No (3) (Kha Gway) Quarter",1102007
"Yangon Region","Mingaladon Township","San Gyi Wa Quarter",1102008
"Yangon Region","Mingaladon Township","Tat Ma Daw San Pya Quarter",1102009
"Yangon Region","Mingaladon Township","Pauk Kone Quarter",1102010
"Yangon Region","Mingaladon Township","Min Ga Lar Don Zay Quarter",1102011
"Yangon Region","Mingaladon Township","Pyan Lel Nay Yar Cha Htar Yay Quarter",1102012
"Yangon Region","Mingaladon Township","Pyi Taw Thar Quarter",1102013
"Yangon Region","Mingaladon Township","Taw Taik Quarter",1102014
"Yangon Region","Mingaladon Township","Nwe Khway Village Tract",1102200
"Yangon Region","Mingaladon Township","Kone Ta La Paung Village Tract",1102201
"Yangon Region","Mingaladon Township","Shwe Nant Thar Village Tract",1102203
"Yangon Region","Mingaladon Township","Pyin Ma Pin Village Tract",1102204
"Yangon Region","Mingaladon Township","Thin Gan Kyun Gyi Village Tract",1102205
