Region,"Town / Township","Quarter / Village Tract","Postal Code"
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နောင်ယား(က) ရပ်ကွက်",0901001
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နောင်ယား(ခ) ရပ်ကွက်",0901002
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါဥခူ ရပ်ကွက်",0901003
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မိုင်းလုံး ရပ်ကွက်",0901004
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မင်္ဂလာ ရပ်ကွက်",0901005
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဓမ္မာရုံ ရပ်ကွက်",0901006
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0901007
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ရွှေတောင် ရပ်ကွက်",0901008
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","လောဓမ္မ ရပ်ကွက်",0901009
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါတမ ရပ်ကွက်",0901010
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါနိုးကူး ရပ်ကွက်",0901011
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ရှမ်းစု ရပ်ကွက်",0901012
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မင်းစု ရပ်ကွက်",0901013
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နာနတ်တော ရပ်ကွက်",0901014
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ဘော်ဝမ် (က) ရပ်ကွက်",0901015
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ဘော်ဝမ် (ခ) ရပ်ကွက်",0901016
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဧက (၅၀ဝ) ရပ်ကွက်",0901017
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ထေးသမ ရပ်ကွက်",0901018
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ကွတ် ရပ်ကွက်",0901019
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ပန်ကန်း ကျေးရွာအုပ်စု",0901200
