Region,"Town / Township","Quarter / Village Tract","Postal Code"
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ပန်ကန်း ကျေးရွာအုပ်စု",0901200
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ထီးစဲခါး ကျေးရွာအုပ်စု",0901201
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ပိန်းချစ် ကျေးရွာအုပ်စု",0901202
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နိုးကိုး ကျေးရွာအုပ်စု",0901203
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ကုန်းသာ ကျေးရွာအုပ်စု",0901204
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါပေါ်ကလဲ ကျေးရွာအုပ်စု",0901205
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နွားလဝိုး ကျေးရွာအုပ်စု",0901206
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ချိကယ် ကျေးရွာအုပ်စု",0901207
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မထောခူ ကျေးရွာအုပ်စု",0901208
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ပါလောင်း ကျေးရွာအုပ်စု",0901209
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","တီးလုံ ကျေးရွာအုပ်စု",0901210
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","လောပိတ ကျေးရွာအုပ်စု",0901211
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ထီးတငါး ကျေးရွာအုပ်စု",0901212
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဆင်တောင် ကျေးရွာအုပ်စု",0902200
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဘုရားဖြူ ကျေးရွာအုပ်စု",0902201
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","နန်းမယ်ခုံ ကျေးရွာအုပ်စု",0902202
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","အိုကေ ကျေးရွာအုပ်စု",0902203
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါဘူးကူး ကျေးရွာအုပ်စု",0902204
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဆောင်ဒူရွာသစ် ကျေးရွာအုပ်စု",0902205
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဝါသောခိုရွာသစ် ကျေးရွာအုပ်စု",0902206
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","သေးဆူလဲ ကျေးရွာအုပ်စု",0902207
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါတော်ကူး ကျေးရွာအုပ်စု",0902208
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","နောင်ပုလဲ ကျေးရွာအုပ်စု",0902209
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒီးမော့ဆို ကျေးရွာအုပ်စု",0902210
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါရောက်ခူ ကျေးရွာအုပ်စု",0902211
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ခူးပရာ ကျေးရွာအုပ်စု",0902212
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","လိုဘာခို ကျေးရွာအုပ်စု",0902213
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဝါဘန်းပလို့ ကျေးရွာအုပ်စု",0902214
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","မြလဲ ကျေးရွာအုပ်စု",0902215
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဆောင်ဒူလာ ကျေးရွာအုပ်စု",0902216
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","လိုပူ ကျေးရွာအုပ်စု",0902217
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဟိုဝမ် ကျေးရွာအုပ်စု",0902218
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ပန်ပက် ကျေးရွာအုပ်စု",0902219
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ငွေတောင် ကျေးရွာအုပ်စု",0902220
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","စံပြ (၆) မိုင် ကျေးရွာအုပ်စု",0902221
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါကလော်ဒူ ကျေးရွာအုပ်စု",0902222
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါဖု ကျေးရွာအုပ်စု",0902223
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ထီးဖိုးကလိုး ကျေးရွာအုပ်စု",0902224
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","ဒေါတမကြီး ကျေးရွာအုပ်စု",0902225
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဖရူဆို ကျေးရွာအုပ်စု",0903200
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ထီးပေါ်ဆို ကျေးရွာအုပ်စု",0903201
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ရာဧပရား ကျေးရွာအုပ်စု",0903202
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ကေးလျား (ကြယ်ဖိုးကြီး) ကျေးရွာအုပ်စု",0903203
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","မာခရော်ရှေ့ ကျေးရွာအုပ်စု",0903204
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","မိုဆို ကျေးရွာအုပ်စု",0903205
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဒိုးလာစော ကျေးရွာအုပ်စု",0903206
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဒိုးပရယ် ကျေးရွာအုပ်စု",0903207
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဟိုယာ ကျေးရွာအုပ်စု",0903208
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဒိုမိုစော ကျေးရွာအုပ်စု",0903209
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ရော်ဒေါ်ခေါ ကျေးရွာအုပ်စု",0903210
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ကေကော ကျေးရွာအုပ်စု",0903211
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","သိုသီးဖို ကျေးရွာအုပ်စု",0903212
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","တော်ခူ ကျေးရွာအုပ်စု",0903213
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ဘူးခူ ကျေးရွာအုပ်စု",0904200
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","နန်းဖဲ ကျေးရွာအုပ်စု",0904201
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ဘောလခဲ ကျေးရွာအုပ်စု",0904202
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","စောလုံ ကျေးရွာအုပ်စု",0904203
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ချိကွဲ့ ကျေးရွာအုပ်စု",0904204
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ဝမ်လွဲ့ ကျေးရွာအုပ်စု",0904205
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","နန်းလင်း ကျေးရွာအုပ်စု",0904206
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","လွယ်ဝိုင်း ကျေးရွာအုပ်စု",0904207
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ဟွေအော ကျေးရွာအုပ်စု",0904208
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ဖားဆောင်း ကျေးရွာအုပ်စု",0905200
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ဝမ်အောင်း ကျေးရွာအုပ်စု",0905201
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ဗဟန်းလော့ ကျေးရွာအုပ်စု",0905202
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ကွာခီး ကျေးရွာအုပ်စု",0905203
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ကော်သူဒိုး ကျေးရွာအုပ်စု",0905204
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","မော်ချီး ကျေးရွာအုပ်စု",0905205
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","မိုဆာခီး ကျေးရွာအုပ်စု",0905206
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","ကရယ်ခီး ကျေးရွာအုပ်စု",0905207
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","မယ်စဲ့ ကျေးရွာအုပ်စု",0906200
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","ဟိုဂျစ် ကျေးရွာအုပ်စု",0906201
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","မယ်ဆည်နမ် ကျေးရွာအုပ်စု",0906202
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","နန်းမန်း ကျေးရွာအုပ်စု",0906203
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","သာယာ ကျေးရွာအုပ်စု",0906204
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","ဒေါကဒွီး ကျေးရွာအုပ်စု",0906205
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","ရှားတောမြောက်ပိုင်း ကျေးရွာအုပ်စု",0907200
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","ရှားတောတောင်ပိုင်း ကျေးရွာအုပ်စု",0907201
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","ရှားတောအလယ်ပိုင်း ကျေးရွာအုပ်စု",0907202
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","သံလွင် (အရှေ့) ကျေးရွာအုပ်စု",0907203
