Region,"Town / Township","Quarter / Village Tract","Postal Code"
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နောင်ယား(က) ရပ်ကွက်",0901001
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နောင်ယား(ခ) ရပ်ကွက်",0901002
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါဥခူ ရပ်ကွက်",0901003
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မိုင်းလုံး ရပ်ကွက်",0901004
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မင်္ဂလာ ရပ်ကွက်",0901005
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဓမ္မာရုံ ရပ်ကွက်",0901006
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0901007
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ရွှေတောင် ရပ်ကွက်",0901008
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","လောဓမ္မ ရပ်ကွက်",0901009
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါတမ ရပ်ကွက်",0901010
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဒေါနိုးကူး ရပ်ကွက်",0901011
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ရှမ်းစု ရပ်ကွက်",0901012
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","မင်းစု ရပ်ကွက်",0901013
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နာနတ်တော ရပ်ကွက်",0901014
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ဘော်ဝမ် (က) ရပ်ကွက်",0901015
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ဘော်ဝမ် (ခ) ရပ်ကွက်",0901016
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ဧက (၅၀ဝ) ရပ်ကွက်",0901017
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","ထေးသမ ရပ်ကွက်",0901018
ကယားပြည်နယ်,"လွိုင်ကော် မြို့နယ်","နမ့်ကွတ် ရပ်ကွက်",0901019
ကယားပြည်နယ်,"ဒီးမော့ဆို မြို့နယ်","မြို့မ ရပ်ကွက်",0902001
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ညောင်ဇင် ရပ်ကွက်",0903001
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ထီးတရဲ ရပ်ကွက်",0903002
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ထီးကူးဆို ရပ်ကွက်",0903003
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","ဒီးဒါးကူး ရပ်ကွက်",0903004
ကယားပြည်နယ်,"ဖရူဆို မြို့နယ်","လောဘူးဒါး ရပ်ကွက်",0903005
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ကယားပိုင်း ရပ်ကွက်",0904001
ကယားပြည်နယ်,"ဘောလခဲ မြို့နယ်","ရှမ်းပိုင်း ရပ်ကွက်",0904002
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","မြောက်ပိုင်း ရပ်ကွက်",0905001
ကယားပြည်နယ်,"ဖားဆောင်း မြို့နယ်","တောင်ပိုင်း ရပ်ကွက်",0905002
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","မြောက်ပိုင်း ရပ်ကွက်",0906001
ကယားပြည်နယ်,"မယ်စဲ မြို့နယ်","တောင်ပိုင်း ရပ်ကွက်",0906002
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","အောင်ချမ်းသာ ရပ်ကွက်",0907001
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0907002
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","တောင်ပိုင်း ရပ်ကွက်",0907003
ကယားပြည်နယ်,"ရှားတော မြို့နယ်","အလယ်ပိုင်း ရပ်ကွက်",0907004
ကယားပြည်နယ်,"လွိုင်လင်လေး မြို့","အောင်တေဇ ရပ်ကွက်",0960001
ကယားပြည်နယ်,"လွိုင်လင်လေး မြို့","အောင်သိန္ဒိ ရပ်ကွက်",0960002
ကယားပြည်နယ်,"လွိုင်လင်လေး မြို့","အောင်မင်္ဂလာ ရပ်ကွက်",0960003
ကယားပြည်နယ်,"နန်းမယ်ခုံ မြို့","မြို့မကယန်း ရပ်ကွက်",0961001
ကယားပြည်နယ်,"နန်းမယ်ခုံ မြို့","မြို့မရှမ်း ရပ်ကွက်",0961002
ကယားပြည်နယ်,"နန်းမယ်ခုံ မြို့","ခေါ်ခုကယား ရပ်ကွက်",0961003
ကယားပြည်နယ်,"နန်းမယ်ခုံ မြို့","ခေါ်ခုရှမ်း ရပ်ကွက်",0961004
ကယားပြည်နယ်,"ရွာသစ် မြို့","မြောက်ပိုင်း ရပ်ကွက်",0962001
ကယားပြည်နယ်,"ရွာသစ် မြို့","တောင်ပိုင်း ရပ်ကွက်",0962002
