Region,"Town / Township","Quarter / Village Tract","Postal Code"
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","သရက်တော၊ မြိုင်သဇင်၊ ကြာအင်း ရပ်ကွက်",1301001
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဈေးတန်း ရပ်ကွက်",1301002
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကူးဆိပ် ရပ်ကွက်",1301003
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဇီးတော ရပ်ကွက်",1301004
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","အောင်နန်းမင်္ဂလာ ရပ်ကွက်",1301005
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ပြည်ထောင်စု ရပ်ကွက်",1301006
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ထောင်ဝိ ရပ်ကွက်",1301007
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ရတနာဒီပ ရပ်ကွက်",1301008
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဇွဲမာန်လွင် ရပ်ကွက်",1301009
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့တရုတ်ရ ကျေးရွာအုပ်စု",1301200
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့လှိုက် ကျေးရွာအုပ်စု",1301201
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့သံခါ ကျေးရွာအုပ်စု",1301202
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ကူး ကျေးရွာအုပ်စု",1301203
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ထမ္မလိန်း ကျေးရွာအုပ်စု",1301204
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ကျိုက် (ဖအွံ) ကျေးရွာအုပ်စု",1301205
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့သင်း ကျေးရွာအုပ်စု",1301206
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့လမု ကျေးရွာအုပ်စု",1301207
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကျုံဖဲ ကျေးရွာအုပ်စု",1301208
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ဂွန်း (ဖဲတကာ) ကျေးရွာအုပ်စု",1301209
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကုလားစု ကျေးရွာအုပ်စု",1301210
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကျုံစောင့် ကျေးရွာအုပ်စု",1301211
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ဂွန်း (ဘားကပ်) ကျေးရွာအုပ်စု",1301212
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ရင်း (ထက်) ကျေးရွာအုပ်စု",1301213
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ရင်း (အောက်) ကျေးရွာအုပ်စု",1301214
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့သင်းရှူး (ထမ္မတိုင်) ကျေးရွာအုပ်စု",1301215
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့စိန်ဘန် (အထက်) ကျေးရွာအုပ်စု",1301216
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့စိန်ဘန် (အောက်) ကျေးရွာအုပ်စု",1301217
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ကဒါ ကျေးရွာအုပ်စု",1301218
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့မူးတာ ကျေးရွာအုပ်စု",1301219
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကော့ထော် ကျေးရွာအုပ်စု",1301220
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကျုံမသွယ် ကျေးရွာအုပ်စု",1301221
