Region,"Town / Township","Quarter / Village Tract","Postal Code"
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","သရက်တော၊ မြိုင်သဇင်၊ ကြာအင်း ရပ်ကွက်",1301001
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဈေးတန်း ရပ်ကွက်",1301002
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ကူးဆိပ် ရပ်ကွက်",1301003
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဇီးတော ရပ်ကွက်",1301004
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","အောင်နန်းမင်္ဂလာ ရပ်ကွက်",1301005
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ပြည်ထောင်စု ရပ်ကွက်",1301006
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ထောင်ဝိ ရပ်ကွက်",1301007
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ရတနာဒီပ ရပ်ကွက်",1301008
ကရင်ပြည်နယ်,"ဘားအံ မြို့နယ်","ဇွဲမာန်လွင် ရပ်ကွက်",1301009
ကရင်ပြည်နယ်,"သံတောင်ကြီး မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1302001
ကရင်ပြည်နယ်,"သံတောင်ကြီး မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1302002
ကရင်ပြည်နယ်,"သံတောင်ကြီး မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1302003
ကရင်ပြည်နယ်,"သံတောင်ကြီး မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1302004
ကရင်ပြည်နယ်,"သံတောင်ကြီး မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1302005
ကရင်ပြည်နယ်,"ဖာပွန် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1303001
ကရင်ပြည်နယ်,"ဖာပွန် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1303002
ကရင်ပြည်နယ်,"ဖာပွန် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1303003
ကရင်ပြည်နယ်,"ဖာပွန် မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1303004
ကရင်ပြည်နယ်,"လှိုင်းဘွဲ့ မြို့နယ်","(က) ရပ်ကွက်",1304001
ကရင်ပြည်နယ်,"လှိုင်းဘွဲ့ မြို့နယ်","(ခ) ရပ်ကွက်",1304002
ကရင်ပြည်နယ်,"လှိုင်းဘွဲ့ မြို့နယ်","(ဂ) ရပ်ကွက်",1304003
ကရင်ပြည်နယ်,"လှိုင်းဘွဲ့ မြို့နယ်","(ဃ) ရပ်ကွက်",1304004
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1305001
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1305002
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1305003
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1305004
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1305005
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",1305006
ကရင်ပြည်နယ်,"မြဝတီ မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",1305007
ကရင်ပြည်နယ်,"ကော့ကရိတ် မြို့နယ်","ချောင်းတောင် ရပ်ကွက်",1306001
ကရင်ပြည်နယ်,"ကော့ကရိတ် မြို့နယ်","ဝင်းကြီး ရပ်ကွက်",1306002
ကရင်ပြည်နယ်,"ကော့ကရိတ် မြို့နယ်","အလယ်တန်း ရပ်ကွက်",1306003
ကရင်ပြည်နယ်,"ကော့ကရိတ် မြို့နယ်","အထက်တောင်သူစု ရပ်ကွက်",1306004
