Region,"Town / Township","Quarter / Village Tract","Postal Code"
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဈေးဟောင်း ရပ်ကွက်",0301001
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဈေးသစ် ရပ်ကွက်",0301002
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0301003
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ကျောဘုတ် ရပ်ကွက်",0301004
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","မြို့ဟောင်း ရပ်ကွက်",0301005
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","မြို့သစ် ရပ်ကွက်",0301006
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟားခါးထာရ် (၁) ရပ်ကွက်",0301007
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟားခါးထာရ် (၂) ရပ်ကွက်",0301008
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ခွါဘဲ ကျေးရွာအုပ်စု",0301200
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","နှီရ်လောန်း ကျေးရွာအုပ်စု",0301201
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","လောက်လုံး ကျေးရွာအုပ်စု",0301202
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","သီဖူလ်း ကျေးရွာအုပ်စု",0301203
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ချွန်ကျုံး ကျေးရွာအုပ်စု",0301204
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟရန်ဟရိန်း ကျေးရွာအုပ်စု",0301205
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဇိုးခွါး ကျေးရွာအုပ်စု",0301206
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဘွာလ်တပ် ကျေးရွာအုပ်စု",0301207
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","မာလ်ဆောမ် ကျေးရွာအုပ်စု",0301208
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","သီနမ်း ကျေးရွာအုပ်စု",0301209
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ရင်ပီး ကျေးရွာအုပ်စု",0301210
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟိုင်ဖိုင် ကျေးရွာအုပ်စု",0301211
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဖါရွန်း ကျေးရွာအုပ်စု",0301212
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဒါအိုချိမ်း ကျေးရွာအုပ်စု",0301213
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဗန်ဟား ကျေးရွာအုပ်စု",0301214
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ရွာန်း ကျေးရွာအုပ်စု",0301215
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဆူရ်ခွား ကျေးရွာအုပ်စု",0301216
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","လုံသာရ် ကျေးရွာအုပ်စု",0301217
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ကျန်ဗား ကျေးရွာအုပ်စု",0301218
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဆွမ်ဆင် ကျေးရွာအုပ်စု",0301219
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","လုံရန်း ကျေးရွာအုပ်စု",0301220
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဖိုင်ဖာ (က) ကျေးရွာအုပ်စု",0301221
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဒွမ်ဗား ကျေးရွာအုပ်စု",0301222
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဆတ္တား ကျေးရွာအုပ်စု",0301223
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဘုံသွ ကျေးရွာအုပ်စု",0301224
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ခွါပီး ကျေးရွာအုပ်စု",0301225
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဘွန်လုံး ကျေးရွာအုပ်စု",0301226
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဒေါင်ဗား ကျေးရွာအုပ်စု",0301227
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","လုံခင်း ကျေးရွာအုပ်စု",0301228
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","လေပီး ကျေးရွာအုပ်စု",0301229
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0302001
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0302002
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",0302003
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","တလန်ခွါ ကျေးရွာအုပ်စု",0302200
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","သီးခွန်သွမ်း ကျေးရွာအုပ်စု",0302201
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လုံဇာရ် ကျေးရွာအုပ်စု",0302202
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","တလန်သဲ ကျေးရွာအုပ်စု",0302203
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","တလန်ပီး ကျေးရွာအုပ်စု",0302204
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လုံဒိန်း ကျေးရွာအုပ်စု",0302205
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဗန်ဇန် ကျေးရွာအုပ်စု",0302206
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဒွန်း ကျေးရွာအုပ်စု",0302207
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဇန်တလန် ကျေးရွာအုပ်စု",0302208
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လုံလဲရ် ကျေးရွာအုပ်စု",0302209
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ထန်ဇန် ကျေးရွာအုပ်စု",0302210
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဆိုင်က ကျေးရွာအုပ်စု",0302211
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဘုန်တလန် ကျေးရွာအုပ်စု",0302212
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ထာအို ကျေးရွာအုပ်စု",0302213
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဟရိန်းခန်း ကျေးရွာအုပ်စု",0302214
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ထွာလမ်း ကျေးရွာအုပ်စု",0302215
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","တလန်ရွား ကျေးရွာအုပ်စု",0302216
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဆလဲင်း ကျေးရွာအုပ်စု",0302217
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","သီကီရ် ကျေးရွာအုပ်စု",0302218
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ရှာလမ်း ကျေးရွာအုပ်စု",0302219
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လူလ်ပီးလုံ ကျေးရွာအုပ်စု",0302220
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","မှောင်တလန် ကျေးရွာအုပ်စု",0302221
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ကြောင်ထီယား ကျေးရွာအုပ်စု",0302222
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဆူရ်ငင်း ကျေးရွာအုပ်စု",0302223
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အိုင်ဘူရ်း ကျေးရွာအုပ်စု",0302224
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဖန်ထဲင် ကျေးရွာအုပ်စု",0302225
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","နှာဟရိန် (က) ကျေးရွာအုပ်စု",0302226
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ခွါဟရန် ကျေးရွာအုပ်စု",0302227
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ထန်သြ ကျေးရွာအုပ်စု",0302228
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ငါဖိုင်သဲ ကျေးရွာအုပ်စု",0302229
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လိုင်လင်း ကျေးရွာအုပ်စု",0302230
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ငါဖိုင်ပီး ကျေးရွာအုပ်စု",0302231
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ခွါဘုံ ကျေးရွာအုပ်စု",0302232
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","လောင်တလန် ကျေးရွာအုပ်စု",0302233
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဇဲဖိုင် (က) ကျေးရွာအုပ်စု",0302234
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဘဲလ်ဟာရ် ကျေးရွာအုပ်စု",0302235
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","ဟရီဖီး ကျေးရွာအုပ်စု",0302236
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ကျင်မွာလ် ရပ်ကွက်",0303001
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဗလိုင် ရပ်ကွက်",0303002
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဖာရ်ထောက် ရပ်ကွက်",0303003
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","တလန်လို ရပ်ကွက်",0303004
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လိုင်ဇိုး ရပ်ကွက်",0303005
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လိုင်လွန် ရပ်ကွက်",0303006
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လုံပီး ရပ်ကွက်",0303007
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဇာလိုင် ရပ်ကွက်",0303008
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ကေဟိုင်မွာလ် ကျေးရွာအုပ်စု",0303200
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ရာလ်လောန် ကျေးရွာအုပ်စု",0303201
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","မန်ခင်း ကျေးရွာအုပ်စု",0303202
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လဲင်ဟိုင် ကျေးရွာအုပ်စု",0303203
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လဲင်သဲ ကျေးရွာအုပ်စု",0303204
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ထုံးထုလ် ကျေးရွာအုပ်စု",0303205
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လိုင်ဇိုး ကျေးရွာအုပ်စု",0303206
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","အဲလ်မွန်ပီး ကျေးရွာအုပ်စု",0303207
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ကြောင်ထဲ ကျေးရွာအုပ်စု",0303208
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","တာရွန် ကျေးရွာအုပ်စု",0303209
