Region,"Town / Township","Quarter / Village Tract","Postal Code"
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဈေးဟောင်း ရပ်ကွက်",0301001
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဈေးသစ် ရပ်ကွက်",0301002
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0301003
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ကျောဘုတ် ရပ်ကွက်",0301004
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","မြို့ဟောင်း ရပ်ကွက်",0301005
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","မြို့သစ် ရပ်ကွက်",0301006
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟားခါးထာရ် (၁) ရပ်ကွက်",0301007
ချင်းပြည်နယ်,"ဟားခါး မြို့နယ်","ဟားခါးထာရ် (၂) ရပ်ကွက်",0301008
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0302001
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0302002
ချင်းပြည်နယ်,"ထန်တလန် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",0302003
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ကျင်မွာလ် ရပ်ကွက်",0303001
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဗလိုင် ရပ်ကွက်",0303002
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဖာရ်ထောက် ရပ်ကွက်",0303003
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","တလန်လို ရပ်ကွက်",0303004
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လိုင်ဇိုး ရပ်ကွက်",0303005
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လိုင်လွန် ရပ်ကွက်",0303006
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","လုံပီး ရပ်ကွက်",0303007
ချင်းပြည်နယ်,"ဖလမ်း မြို့နယ်","ဇာလိုင် ရပ်ကွက်",0303008
ချင်းပြည်နယ်,"တီးတိန် မြို့နယ်","စကောလမ်း ရပ်ကွက်",0304001
ချင်းပြည်နယ်,"တီးတိန် မြို့နယ်","မြို့မ ရပ်ကွက်",0304002
ချင်းပြည်နယ်,"တီးတိန် မြို့နယ်","လွယ်ဘွားလ် ရပ်ကွက်",0304003
ချင်းပြည်နယ်,"တီးတိန် မြို့နယ်","လေးလုမ်း ရပ်ကွက်",0304004
ချင်းပြည်နယ်,"တွန်းဇန် မြို့နယ်","ခေါဝုန် / လေးဆန် ရပ်ကွက်",0305001
ချင်းပြည်နယ်,"တွန်းဇန် မြို့နယ်","ခေါလိုင် / ဂိုးဇန် ရပ်ကွက်",0305002
ချင်းပြည်နယ်,"မတူပီ မြို့နယ်","စိန်ဘောင် ရပ်ကွက်",0306001
ချင်းပြည်နယ်,"မတူပီ မြို့နယ်","ခွာဘွေး ရပ်ကွက်",0306002
ချင်းပြည်နယ်,"မတူပီ မြို့နယ်","လောင်ဗန်း ရပ်ကွက်",0306003
ချင်းပြည်နယ်,"မတူပီ မြို့နယ်","ငလား ရပ်ကွက်",0306004
ချင်းပြည်နယ်,"မင်းတပ် မြို့နယ်","အရှေ့ ပြင် ရပ်ကွက်",0307001
ချင်းပြည်နယ်,"မင်းတပ် မြို့နယ်","ဘဝသစ် ရပ်ကွက်",0307002
ချင်းပြည်နယ်,"မင်းတပ် မြို့နယ်","စံပြ ရပ်ကွက်",0307003
ချင်းပြည်နယ်,"မင်းတပ် မြို့နယ်","အနောက် ရပ်ကွက်",0307004
ချင်းပြည်နယ်,"ကန်ပက်လက် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0308001
ချင်းပြည်နယ်,"ကန်ပက်လက် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0308002
ချင်းပြည်နယ်,"ပလက်ဝ မြို့နယ်","မြို့မ ရပ်ကွက်",0309001
ချင်းပြည်နယ်,"ပလက်ဝ မြို့နယ်","ရွာမ ရပ်ကွက်",0309002
ချင်းပြည်နယ်,"ပလက်ဝ မြို့နယ်","ရိက္ခာ ရပ်ကွက်",0309003
ချင်းပြည်နယ်,"ပလက်ဝ မြို့နယ်","ကင်ဝ ရပ်ကွက်",0309004
ချင်းပြည်နယ်,"ဆူရ်ခွား မြို့","ဆိုင်လိုသာရ် ရပ်ကွက်",0360001
ချင်းပြည်နယ်,"ဆူရ်ခွား မြို့","ဆလုံပူး ရပ်ကွက်",0360002
ချင်းပြည်နယ်,"နှာဟရိန် မြို့","အမှတ် (၁) ရပ်ကွက်",0361001
ချင်းပြည်နယ်,"နှာဟရိန် မြို့","အမှတ် (၂) ရပ်ကွက်",0361002
ချင်းပြည်နယ်,"ရိခေါ်ဒါရ် မြို့","အမှတ် (၁) ရပ်ကွက်",0362001
ချင်းပြည်နယ်,"ရိခေါ်ဒါရ် မြို့","အမှတ် (၂) ရပ်ကွက်",0362002
ချင်းပြည်နယ်,"ဝေဘူလ မြို့","မြို့မ ရပ်ကွက်",0363001
ချင်းပြည်နယ်,"ဝေဘူလ မြို့","ကျန်ဘာရီ ရပ်ကွက်",0363002
ချင်းပြည်နယ်,"ဝေဘူလ မြို့","လုံးသပ် ရပ်ကွက်",0363003
ချင်းပြည်နယ်,"ဝေဘူလ မြို့","မွာလ်ဇောလ် ရပ်ကွက်",0363004
ချင်းပြည်နယ်,"ခိုင်ကမ်း မြို့","အမှတ် (၁) ရပ်ကွက်",0364001
ချင်းပြည်နယ်,"ခိုင်ကမ်း မြို့","အမှတ် (၂) ရပ်ကွက်",0364002
ချင်းပြည်နယ်,"ခိုင်ကမ်း မြို့","အမှတ် (၃) ရပ်ကွက်",0364003
ချင်းပြည်နယ်,"ခိုင်ကမ်း မြို့","အမှတ် (၄) ရပ်ကွက်",0364004
ချင်းပြည်နယ်,"ကျီခါး မြို့","အမှတ် (၁) ရပ်ကွက်",0365001
ချင်းပြည်နယ်,"ကျီခါး မြို့","အမှတ် (၂) ရပ်ကွက်",0365002
ချင်းပြည်နယ်,"ရေဇွာ မြို့","မြို့မ ရပ်ကွက်",0366001
ချင်းပြည်နယ်,"ရေဇွာ မြို့","အင်ရော ရပ်ကွက်",0366002
ချင်းပြည်နယ်,"ရေဇွာ မြို့","မွာပီး ရပ်ကွက်",0366003
ချင်းပြည်နယ်,"ရေဇွာ မြို့","လောင်းရဲ ရပ်ကွက်",0366004
ချင်းပြည်နယ်,"လိုင်လင်းပီ မြို့","အမှတ် (၁) ရပ်ကွက်",0367001
ချင်းပြည်နယ်,"လိုင်လင်းပီ မြို့","အမှတ် (၂) ရပ်ကွက်",0367002
ချင်းပြည်နယ်,"မကွီအိမ်နူး မြို့","မကွီအိမ်နူး ရပ်ကွက်",0368001
ချင်းပြည်နယ်,"မကွီအိမ်နူး မြို့","ကြုံလောင်း ရပ်ကွက်",0368002
ချင်းပြည်နယ်,"မကွီအိမ်နူး မြို့","ထိန်ပြုံး ရပ်ကွက်",0368003
ချင်းပြည်နယ်,"မကွီအိမ်နူး မြို့","ဗွီနူး ရပ်ကွက်",0368004
ချင်းပြည်နယ်,"ကျင်ဒွေး မြို့","ကျင်ဒွေး ရပ်ကွက်",0369001
ချင်းပြည်နယ်,"ကျင်ဒွေး မြို့","ဟုတ်ပုံကျင်း ရပ်ကွက်",0369002
ချင်းပြည်နယ်,"ကျင်ဒွေး မြို့","ဖုံးတွီကျင်း ရပ်ကွက်",0369003
ချင်းပြည်နယ်,"ကျင်ဒွေး မြို့","ထန်းကုန်း ရပ်ကွက်",0369004
ချင်းပြည်နယ်,"ဆမီး မြို့","အမှတ် (၁) ရပ်ကွက်",0370001
ချင်းပြည်နယ်,"ဆမီး မြို့","အမှတ် (၂) ရပ်ကွက်",0370002
ချင်းပြည်နယ်,"ဆမီး မြို့","အမှတ် (၃) ရပ်ကွက်",0370003
