Region,"Town / Township","Quarter / Village Tract","Postal Code"
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ပီနောင်စွပ် ကျေးရွာအုပ်စု",0201200
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကျဲသရောက် (စွန်ပါ) ကျေးရွာအုပ်စု",0201201
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","သမန်းချောင်းစုံ ကျေးရွာအုပ်စု",0201202
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကြိုင်ရိုင် ကျေးရွာအုပ်စု",0201203
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ယောင်ငွေး ကျေးရွာအုပ်စု",0201204
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟာဝါး ကျေးရွာအုပ်စု",0201205
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ခလပ်လိပ်တော် ကျေးရွာအုပ်စု",0201206
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရှန်ရှိန် (ရှာရာ) ကျေးရွာအုပ်စု",0201207
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လာခူး (၁) ကျေးရွာအုပ်စု",0201208
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရှားမီး ကျေးရွာအုပ်စု",0201209
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဆန်လွန်း ကျေးရွာအုပ်စု",0201210
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လွန်ရန် ကျေးရွာအုပ်စု",0201211
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဂဂေါကမ္ဘာ ကျေးရွာအုပ်စု",0201212
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","သာမန်း ကျေးရွာအုပ်စု",0201213
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လိန်းနှုတ် (၁) ကျေးရွာအုပ်စု",0201214
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","အထက်လူလွန်း ကျေးရွာအုပ်စု",0201215
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လုံတွန် ကျေးရွာအုပ်စု",0201216
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဖါကျက် ကျေးရွာအုပ်စု",0201217
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ယောကျော် ကျေးရွာအုပ်စု",0201218
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ချိန်ကောက် ကျေးရွာအုပ်စု",0201219
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","တော်လွန်း ကျေးရွာအုပ်စု",0201220
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လပ်ကီးလုံရာ ကျေးရွာအုပ်စု",0201221
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဆန်တီး ကျေးရွာအုပ်စု",0201222
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရိန်းခူး ကျေးရွာအုပ်စု",0201223
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကာလွန်း ကျေးရွာအုပ်စု",0201224
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","မီကူးနောက်ကုန်း ကျေးရွာအုပ်စု",0201225
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကျားဝမ်နောက်ပေါက် ကျေးရွာအုပ်စု",0201226
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","တော်ကျဲ ကျေးရွာအုပ်စု",0201227
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရန်စီ ကျေးရွာအုပ်စု",0201228
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လွန်နူး ကျေးရွာအုပ်စု",0201229
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ချမ်ဗန် ကျေးရွာအုပ်စု",0201230
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကကြီးချမ်မြူ ကျေးရွာအုပ်စု",0201231
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဒုံဟီး ကျေးရွာအုပ်စု",0201232
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟခီး ကျေးရွာအုပ်စု",0201233
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လားမား ကျေးရွာအုပ်စု",0201234
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ငိုင်မောင်း ကျေးရွာအုပ်စု",0201235
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လားဟောင်း ကျေးရွာအုပ်စု",0201236
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟဆန်းကိုင် ကျေးရွာအုပ်စု",0201237
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လိပ်လင်းကန် ကျေးရွာအုပ်စု",0201238
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","နှုတ်ပါ ကျေးရွာအုပ်စု",0201239
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဗိုတဲလာနူး ကျေးရွာအုပ်စု",0201240
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟခွန်း ကျေးရွာအုပ်စု",0201241
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟဟောင် ကျေးရွာအုပ်စု",0201242
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကော်လန်း ကျေးရွာအုပ်စု",0201243
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟချွန်းဆား ကျေးရွာအုပ်စု",0201244
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟရှိတ်နောက်ညူ ကျေးရွာအုပ်စု",0201245
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကဲဆန်ဘောက်လွန်း ကျေးရွာအုပ်စု",0201246
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကဲဆန်ဆာလင် ကျေးရွာအုပ်စု",0201247
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရန်နောဆန်ရီ ကျေးရွာအုပ်စု",0201248
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ချမ္မကောက်ဆန်ရီ ကျေးရွာအုပ်စု",0201249
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဝမ်ကဆွန်ခေါ် ကျေးရွာအုပ်စု",0201250
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကြူယန်း ကျေးရွာအုပ်စု",0201251
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကဲဆန်လောင်ကျန် ကျေးရွာအုပ်စု",0201252
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ကားရော်ကုန်ရွှေ ကျေးရွာအုပ်စု",0201253
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ပွန်ရှိန် ကျေးရွာအုပ်စု",0201254
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရှိတ်ညူ ကျေးရွာအုပ်စု",0201255
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရော်ကွန် ကျေးရွာအုပ်စု",0201256
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရှန်ဟဲ ကျေးရွာအုပ်စု",0201257
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","တကိုင်း ကျေးရွာအုပ်စု",0201258
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","နောင်ယမ်း ကျေးရွာအုပ်စု",0201259
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","တကုံး (၁) ကျေးရွာအုပ်စု",0201260
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","နောင်ကလူး ကျေးရွာအုပ်စု",0201261
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","နန်လစ် ကျေးရွာအုပ်စု",0201262
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ထဟော (၁) ကျေးရွာအုပ်စု",0201263
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဟူလောင် ကျေးရွာအုပ်စု",0201264
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","လုံလောင်း ကျေးရွာအုပ်စု",0201265
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ဝပ်ထမ်း ကျေးရွာအုပ်စု",0201266
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကာမွေလောရီ ကျေးရွာအုပ်စု",0202200
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ယမ်းကြုန်း ကျေးရွာအုပ်စု",0202201
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","နောက်ညူခါဆန် ကျေးရွာအုပ်စု",0202202
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကားရော်နောက်ညို ကျေးရွာအုပ်စု",0202203
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ထန်ခေါ်နောက်ကုန်း ကျေးရွာအုပ်စု",0202204
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ခမ်းမလား ကျေးရွာအုပ်စု",0202205
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","မော်ဖွန် ကျေးရွာအုပ်စု",0202206
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","အန့်ပေါ် ကျေးရွာအုပ်စု",0202207
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ယမ်းကျိန် ကျေးရွာအုပ်စု",0202208
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လောနောက်ကုန်း ကျေးရွာအုပ်စု",0202209
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","တွေးထွေနောက်ကုန်း ကျေးရွာအုပ်စု",0202210
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လကျန်း ကျေးရွာအုပ်စု",0202211
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ဆော်လော် ကျေးရွာအုပ်စု",0202212
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ဟွေထိုက် ကျေးရွာအုပ်စု",0202213
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လောင်ကျန်းနောက်ကုန်း ကျေးရွာအုပ်စု",0202214
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","မကျန် ကျေးရွာအုပ်စု",0202215
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ညင်ရှောင် ကျေးရွာအုပ်စု",0202216
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကပ္ပလံဒေဝေါ ကျေးရွာအုပ်စု",0202217
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ဟန်ဆင် ကျေးရွာအုပ်စု",0202218
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကူကူးနောက်ကုန်း ကျေးရွာအုပ်စု",0202219
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လွန်းထောင်း ကျေးရွာအုပ်စု",0202220
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လုံခင် ကျေးရွာအုပ်စု",0202221
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကုန်းခါးလယ် ကျေးရွာအုပ်စု",0202222
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ဂဟုန်း ကျေးရွာအုပ်စု",0202223
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","ကုန်းလန်း ကျေးရွာအုပ်စု",0202224
