Region,"Town / Township","Quarter / Village Tract","Postal Code"
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရှရ ရပ်ကွက်",0201001
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","မြို့မ ရပ်ကွက်",0201002
စစ်ကိုင်းတိုင်းဒေသကြီး,"နန်းယွန်း မြို့နယ်","ရောကော ရပ်ကွက်",0201003
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","အမှုထမ်းများ ရပ်ကွက်",0202001
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","လဟယ်ရွာမ ရပ်ကွက်",0202002
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","အမှတ် (၁) တိုးချဲ့ ရပ်ကွက်",0202003
စစ်ကိုင်းတိုင်းဒေသကြီး,"လဟယ် မြို့နယ်","အမှတ် (၂) တိုးချဲ့ ရပ်ကွက်",0202004
စစ်ကိုင်းတိုင်းဒေသကြီး,"ခန္တီး မြို့နယ်","ပေါမိုင်း ရပ်ကွက်",0203001
စစ်ကိုင်းတိုင်းဒေသကြီး,"ခန္တီး မြို့နယ်","ခန္တီးမြို့မ ရပ်ကွက်",0203002
စစ်ကိုင်းတိုင်းဒေသကြီး,"ခန္တီး မြို့နယ်","ဇီးဖြူကုန်း ရပ်ကွက်",0203003
စစ်ကိုင်းတိုင်းဒေသကြီး,"လေရှီး မြို့နယ်","မြို့မ ရပ်ကွက်",0204001
စစ်ကိုင်းတိုင်းဒေသကြီး,"လေရှီး မြို့နယ်","အမှုထမ်း ရပ်ကွက်",0204002
စစ်ကိုင်းတိုင်းဒေသကြီး,"ဟုမ္မလင်း မြို့နယ်","ဟုမ္မလင်း ရပ်ကွက်",0205001
စစ်ကိုင်းတိုင်းဒေသကြီး,"ဟုမ္မလင်း မြို့နယ်","နောင်ပကျစ် ရပ်ကွက်",0205002
စစ်ကိုင်းတိုင်းဒေသကြီး,"ဟုမ္မလင်း မြို့နယ်","ခိုပဲဝ ရပ်ကွက်",0205003
စစ်ကိုင်းတိုင်းဒေသကြီး,"ဖောင်းပြင် မြို့နယ်","ကျွန်းရွှေဝါ ရပ်ကွက်",0206001
စစ်ကိုင်းတိုင်းဒေသကြီး,"ဖောင်းပြင် မြို့နယ်","အင်ကြင်းမြိုင် ရပ်ကွက်",0206002
စစ်ကိုင်းတိုင်းဒေသကြီး,"တမူး မြို့နယ်","တမူးမြို့မ ရပ်ကွက်",0207001
စစ်ကိုင်းတိုင်းဒေသကြီး,"တမူး မြို့နယ်","ဈေးတန်း ရပ်ကွက်",0207002
စစ်ကိုင်းတိုင်းဒေသကြီး,"တမူး မြို့နယ်","စန္ဒကူး ရပ်ကွက်",0207003
စစ်ကိုင်းတိုင်းဒေသကြီး,"တမူး မြို့နယ်","စော်ဘွားအင်း ရပ်ကွက်",0207004
စစ်ကိုင်းတိုင်းဒေသကြီး,"မော်လိုက် မြို့နယ်","မြို့မ အမှတ်(၁) ရပ်ကွက်",0208001
စစ်ကိုင်းတိုင်းဒေသကြီး,"မော်လိုက် မြို့နယ်","မြို့မ အမှတ်(၂) ရပ်ကွက်",0208002
စစ်ကိုင်းတိုင်းဒေသကြီး,"ကလေး မြို့နယ်","ညောင်ပင်သာ ရပ်ကွက်",0209001
စစ်ကိုင်းတိုင်းဒေသကြီး,"ကလေး မြို့နယ်","ပင်လုံ ရပ်ကွက်",0209002
စစ်ကိုင်းတိုင်းဒေသကြီး,"ကလေး မြို့နယ်","အောင်သစ္စာ ရပ်ကွက်",0209003
စစ်ကိုင်းတိုင်းဒေသကြီး,"ကလေး မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",0209004
စစ်ကိုင်းတိုင်းဒေသကြီး,"ကလေး မြို့နယ်","တာဟန်း ရပ်ကွက်",0209005
