Region,"Town / Township","Quarter / Village Tract","Postal Code"
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဇဟာ ကျေးရွာအုပ်စု",1401200
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","သပြေချောင်း ကျေးရွာအုပ်စု",1401201
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","မောင်မယ်ရှောင် ကျေးရွာအုပ်စု",1401202
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဇလွန်း ကျေးရွာအုပ်စု",1401203
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","တလိုင်းတောင် ကျေးရွာအုပ်စု",1401204
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","သဗျာ ကျေးရွာအုပ်စု",1401205
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ပကာရီ ကျေးရွာအုပ်စု",1401206
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","အညာဖျား ကျေးရွာအုပ်စု",1401207
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဟာမြင်းကြီး ကျေးရွာအုပ်စု",1401208
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဝကုန်း ကျေးရွာအုပ်စု",1401209
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ပျားသားချောင်း ကျေးရွာအုပ်စု",1401210
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကျောက်ရပ် ကျေးရွာအုပ်စု",1401211
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ရှမ္မတွင်း ကျေးရွာအုပ်စု",1401212
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကူးတို့ ကျေးရွာအုပ်စု",1401213
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကနိုင်းဒါ ကျေးရွာအုပ်စု",1401214
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ရှင်မုတ္တီး ကျေးရွာအုပ်စု",1401215
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ရောင်းမော် ကျေးရွာအုပ်စု",1401216
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","အမြား ကျေးရွာအုပ်စု",1401217
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","တောင်သုံးလုံး ကျေးရွာအုပ်စု",1401218
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကျောက်မဲတောင် ကျေးရွာအုပ်စု",1401219
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","မြေးခံဘော် ကျေးရွာအုပ်စု",1401220
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဟိန္ဒား ကျေးရွာအုပ်စု",1401221
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဖောင်းတောကြီး ကျေးရွာအုပ်စု",1401222
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကလစ်ကြီး ကျေးရွာအုပ်စု",1401223
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဆင်ဖြူတိုင် ကျေးရွာအုပ်စု",1401224
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","ပုလဲကူ ကျေးရွာအုပ်စု",1402200
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","ရလိုင် ကျေးရွာအုပ်စု",1402201
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","ပုဂေါဇွန်း ကျေးရွာအုပ်စု",1402202
