Region,"Town / Township","Quarter / Village Tract","Postal Code"
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဆန်းချီ ရပ်ကွက်",1401001
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","အိုးလုပ် ရပ်ကွက်",1401002
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","တလိုင်းထိန် ရပ်ကွက်",1401003
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","သင်္ဘောဆိပ် ရပ်ကွက်",1401004
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဒေါင်းငူ ရပ်ကွက်",1401005
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကြက်စားပြင် ရပ်ကွက်",1401006
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဘုမ္မော် ရပ်ကွက်",1401007
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဇရစ် ရပ်ကွက်",1401008
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကညုံ ရပ်ကွက်",1401009
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ပိန္နဲတော ရပ်ကွက်",1401010
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","အနောက်မြို့တွင်း ရပ်ကွက်",1401011
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဗျောတောဝ ရပ်ကွက်",1401012
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ကျောက်မော် ရပ်ကွက်",1401013
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ထိန်သစ် ရပ်ကွက်",1401014
တနင်္သာရီတိုင်းဒေသကြီး,"ထားဝယ် မြို့နယ်","ဆင်ဆိပ် ရပ်ကွက်",1401015
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","မြို့မ (က) ရပ်ကွက်",1402001
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","မြို့မ (ခ) ရပ်ကွက်",1402002
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","မြို့မ (ဂ) ရပ်ကွက်",1402003
တနင်္သာရီတိုင်းဒေသကြီး,"ရေဖြူ မြို့နယ်","မြို့မ (ဃ) ရပ်ကွက်",1402004
တနင်္သာရီတိုင်းဒေသကြီး,"သရက်ချောင်း မြို့နယ်","မော်ရှီကုန်း ရပ်ကွက်",1403001
တနင်္သာရီတိုင်းဒေသကြီး,"သရက်ချောင်း မြို့နယ်","ကျောက်မြောင်း ရပ်ကွက်",1403002
တနင်္သာရီတိုင်းဒေသကြီး,"သရက်ချောင်း မြို့နယ်","သရက်ချောင်း ရပ်ကွက်",1403003
တနင်္သာရီတိုင်းဒေသကြီး,"သရက်ချောင်း မြို့နယ်","ပန်းတော ရပ်ကွက်",1403004
တနင်္သာရီတိုင်းဒေသကြီး,"သရက်ချောင်း မြို့နယ်","ဆင်ဖြူပြင် ရပ်ကွက်",1403005
တနင်္သာရီတိုင်းဒေသကြီး,"လောင်းလုံး မြို့နယ်","(က) ရပ်ကွက်",1404001
တနင်္သာရီတိုင်းဒေသကြီး,"လောင်းလုံး မြို့နယ်","(ခ) ရပ်ကွက်",1404002
တနင်္သာရီတိုင်းဒေသကြီး,"လောင်းလုံး မြို့နယ်","(ဂ) ရပ်ကွက်",1404003
တနင်္သာရီတိုင်းဒေသကြီး,"လောင်းလုံး မြို့နယ်","(ဃ) ရပ်ကွက်",1404004
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","နောက်လယ် ရပ်ကွက်",1405001
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","တလိုင်းစု ရပ်ကွက်",1405002
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ဆိပ်ငယ် ရပ်ကွက်",1405003
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ဈေးတန်း ရပ်ကွက်",1405004
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ကန်ခေါင်း ရပ်ကွက်",1405005
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","မြစ်ငယ် ရပ်ကွက်",1405006
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ထားဝယ်စု ရပ်ကွက်",1405007
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ကန်ကြီး ရပ်ကွက်",1405008
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ရေပုန်း ရပ်ကွက်",1405009
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","ကန်ဖျား ရပ်ကွက်",1405010
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","အလယ်ကျွန်း ရပ်ကွက်",1405011
တနင်္သာရီတိုင်းဒေသကြီး,"မြိတ် မြို့နယ်","မြိတ်တောင် ရပ်ကွက်",1405012
တနင်္သာရီတိုင်းဒေသကြီး,"ပုလော မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1406001
တနင်္သာရီတိုင်းဒေသကြီး,"ပုလော မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1406002
တနင်္သာရီတိုင်းဒေသကြီး,"ပုလော မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1406003
တနင်္သာရီတိုင်းဒေသကြီး,"ပုလော မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1406004
တနင်္သာရီတိုင်းဒေသကြီး,"ပုလော မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1406005
တနင်္သာရီတိုင်းဒေသကြီး,"တနင်္သာရီ မြို့နယ်","ချောင်းကြီး ရပ်ကွက်",1407001
တနင်္သာရီတိုင်းဒေသကြီး,"တနင်္သာရီ မြို့နယ်","ချောင်းငယ် ရပ်ကွက်",1407002
တနင်္သာရီတိုင်းဒေသကြီး,"ဘုတ်ပြင်း မြို့နယ်","ရွှေဘုံသာ ရပ်ကွက်",1408001
တနင်္သာရီတိုင်းဒေသကြီး,"ဘုတ်ပြင်း မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",1408002
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","ရွှေဟင်္သာ ရပ်ကွက်",1409001
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","အဏ္ဏဝါ ရပ်ကွက်",1409002
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","ပိတောက်ရွှေဝါ ရပ်ကွက်",1409003
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","ဘုရင့်နောင် ရပ်ကွက်",1409004
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","အောင်သုခ ရပ်ကွက်",1409005
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","အေးမြကန်သာ ရပ်ကွက်",1409006
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","သီရိမြိုင် ရပ်ကွက်",1409007
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","ရွှေဇင်ယော် ရပ်ကွက်",1409008
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","အေးရိပ်ငြိမ် ရပ်ကွက်",1409009
တနင်္သာရီတိုင်းဒေသကြီး,"ကော့သောင်း မြို့နယ်","ရွှေပြည်သာ ရပ်ကွက်",1409010
တနင်္သာရီတိုင်းဒေသကြီး,"ကျွန်းစု မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1410001
တနင်္သာရီတိုင်းဒေသကြီး,"ကျွန်းစု မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1410002
တနင်္သာရီတိုင်းဒေသကြီး,"ကျွန်းစု မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1410003
တနင်္သာရီတိုင်းဒေသကြီး,"ကျွန်းစု မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1410004
တနင်္သာရီတိုင်းဒေသကြီး,"မေတ္တာ မြို့","အမှတ် (၁) ရပ်ကွက်",1460001
တနင်္သာရီတိုင်းဒေသကြီး,"မေတ္တာ မြို့","အမှတ် (၂) ရပ်ကွက်",1460002
တနင်္သာရီတိုင်းဒေသကြီး,"မေတ္တာ မြို့","အမှတ် (၃) ရပ်ကွက်",1460003
တနင်္သာရီတိုင်းဒေသကြီး,"ကလိန်အောင် မြို့","အမှတ် (၁) ရပ်ကွက်",1461001
တနင်္သာရီတိုင်းဒေသကြီး,"ကလိန်အောင် မြို့","အမှတ် (၂) ရပ်ကွက်",1461002
တနင်္သာရီတိုင်းဒေသကြီး,"ကလိန်အောင် မြို့","အမှတ် (၃) ရပ်ကွက်",1461003
တနင်္သာရီတိုင်းဒေသကြီး,"ကလိန်အောင် မြို့","အမှတ် (၄) ရပ်ကွက်",1461004
တနင်္သာရီတိုင်းဒေသကြီး,"ပလောက် မြို့","အမှတ် (၁) ရပ်ကွက်",1462001
တနင်္သာရီတိုင်းဒေသကြီး,"ပလောက် မြို့","အမှတ် (၂) ရပ်ကွက်",1462002
တနင်္သာရီတိုင်းဒေသကြီး,"ပလောက် မြို့","အမှတ် (၃) ရပ်ကွက်",1462003
တနင်္သာရီတိုင်းဒေသကြီး,"ပလောက် မြို့","အမှတ် (၄) ရပ်ကွက်",1462004
တနင်္သာရီတိုင်းဒေသကြီး,"ပလ မြို့","အမှတ် (၁) ရပ်ကွက်",1463001
တနင်္သာရီတိုင်းဒေသကြီး,"ပလ မြို့","အမှတ် (၂) ရပ်ကွက်",1463002
တနင်္သာရီတိုင်းဒေသကြီး,"ပလ မြို့","အမှတ် (၃) ရပ်ကွက်",1463003
တနင်္သာရီတိုင်းဒေသကြီး,"ပလ မြို့","အမှတ် (၄) ရပ်ကွက်",1463004
တနင်္သာရီတိုင်းဒေသကြီး,"မောတောင် မြို့","မြို့မ ရပ်ကွက်",1464001
တနင်္သာရီတိုင်းဒေသကြီး,"မောတောင် မြို့","အမှတ် (၁) ရပ်ကွက်",1464002
တနင်္သာရီတိုင်းဒေသကြီး,"မောတောင် မြို့","အမှတ် (၂) ရပ်ကွက်",1464003
တနင်္သာရီတိုင်းဒေသကြီး,"ပြည်ကြီးမဏ္ဍိုင် မြို့","ပြည်ကြီးမဏ္ဍိုင် ရပ်ကွက်",1465001
တနင်္သာရီတိုင်းဒေသကြီး,"ပြည်ကြီးမဏ္ဍိုင် မြို့","လေညှာ (အရှေ့) ရပ်ကွက်",1465002
တနင်္သာရီတိုင်းဒေသကြီး,"ပြည်ကြီးမဏ္ဍိုင် မြို့","လေညှာ (အနောက်) ရပ်ကွက်",1465003
တနင်္သာရီတိုင်းဒေသကြီး,"ကရသူရိ မြို့","အမှတ် (၁) ရပ်ကွက်",1466001
တနင်္သာရီတိုင်းဒေသကြီး,"ကရသူရိ မြို့","အမှတ် (၂) ရပ်ကွက်",1466002
တနင်္သာရီတိုင်းဒေသကြီး,"ကရသူရိ မြို့","အမှတ် (၃) ရပ်ကွက်",1466003
တနင်္သာရီတိုင်းဒေသကြီး,"ခမောက်ကြီး မြို့","အမှတ် (၁) ရပ်ကွက်",1467001
တနင်္သာရီတိုင်းဒေသကြီး,"ခမောက်ကြီး မြို့","အမှတ် (၂) ရပ်ကွက်",1467002
တနင်္သာရီတိုင်းဒေသကြီး,"ခမောက်ကြီး မြို့","အမှတ် (၄) ရပ်ကွက်",1467003
