Region,"Town / Township","Quarter / Village Tract","Postal Code"
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ဇမ္ဗူသီရိ မြို့နယ်","တဲကြီးကုန်း ကျေးရွာအုပ်စု",1501200
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ဇမ္ဗူသီရိ မြို့နယ်","အလျင်လို ကျေးရွာအုပ်စု",1501201
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ဇမ္ဗူသီရိ မြို့နယ်","ပြန့်ကပြေး ကျေးရွာအုပ်စု",1501202
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကင်ပွန်းတန်း ကျေးရွာအုပ်စု",1502200
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကံဦး ကျေးရွာအုပ်စု",1502201
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကူးတို့ဆိပ် ကျေးရွာအုပ်စု",1502202
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကျီးအင်း ကျေးရွာအုပ်စု",1502203
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ငကောင်းကန် ကျေးရွာအုပ်စု",1502204
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကျွန်းဦး ကျေးရွာအုပ်စု",1502205
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ဆင်သေ ကျေးရွာအုပ်စု",1502206
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ဇီးဖြူပင် ကျေးရွာအုပ်စု",1502207
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ညောင်ပင်သာ ကျေးရွာအုပ်စု",1502208
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","တောင်သာ ကျေးရွာအုပ်စု",1502209
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","နှမ်းတော ကျေးရွာအုပ်စု",1502210
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","နတ်သရဲ ကျေးရွာအုပ်စု",1502211
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ပြူတွင်း ကျေးရွာအုပ်စု",1502212
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ပျဉ်းမနားဟောင်း ကျေးရွာအုပ်စု",1502213
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ယောက်သွားအင်း ကျေးရွာအုပ်စု",1502214
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ရွာသာ ကျေးရွာအုပ်စု",1502215
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ရွာသစ် ကျေးရွာအုပ်စု",1502216
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","လဲလူးအိုင် ကျေးရွာအုပ်စု",1502217
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","သစ်လေးလုံး ကျေးရွာအုပ်စု",1502218
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","သနပ်ပင်ဆိပ် ကျေးရွာအုပ်စု",1502219
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","မယ်ဇလီကုန်း ကျေးရွာအုပ်စု",1502220
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ဥယျာဉ်စု ကျေးရွာအုပ်စု",1502221
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ကိုးတစ် ကျေးရွာအုပ်စု",1502222
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ဘန့်ဘား ကျေးရွာအုပ်စု",1502223
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","သစ်တွန် ကျေးရွာအုပ်စု",1502224
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ပြည်တောင်ကိုး ကျေးရွာအုပ်စု",1502225
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","ဘို့မ ကျေးရွာအုပ်စု",1502226
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","မဲပေါက် ကျေးရွာအုပ်စု",1502227
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","အလယ်ချောင်း ကျေးရွာအုပ်စု",1502228
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","သကြားစက် ကျေးရွာအုပ်စု",1502229
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","ပျဉ်းမနား မြို့နယ်","သာယာကုန်း ကျေးရွာအုပ်စု",1502230
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ကင်းသာ ကျေးရွာအုပ်စု",1503200
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ခရမ်းစပ်ကုန်း ကျေးရွာအုပ်စု",1503201
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ထုံးဖို ကျေးရွာအုပ်စု",1503202
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ဗျိုင်းအင်း ကျေးရွာအုပ်စု",1503203
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ရှောက်ကုန်း ကျေးရွာအုပ်စု",1503204
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ကျားသေအိုင် ကျေးရွာအုပ်စု",1503205
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ကံကြီး ကျေးရွာအုပ်စု",1503206
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","ကျောက်စရစ်ကုန်း ကျေးရွာအုပ်စု",1503207
"နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)","တပ်ကုန်း မြို့နယ်","တဲမြင့် ကျေးရွာအုပ်စု",1503208
