Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဝက်ထီးကန် ကျေးရွာအုပ်စု",1801200
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","နှောကန် ကျေးရွာအုပ်စု",1801201
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဝက်မြေတော ကျေးရွာအုပ်စု",1801202
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဝါးရုံဆိပ် ကျေးရွာအုပ်စု",1801203
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","လွှဇင် ကျေးရွာအုပ်စု",1801204
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","လဘ ကျေးရွာအုပ်စု",1801205
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","မြို့မ ကျေးရွာအုပ်စု",1801206
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","သခွက်စောက် ကျေးရွာအုပ်စု",1801207
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ကုန်းဇင်း ကျေးရွာအုပ်စု",1801208
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","အင်းဝင်း ကျေးရွာအုပ်စု",1801209
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","တဲကြီးကုန်း ကျေးရွာအုပ်စု",1801210
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပနီပင် ကျေးရွာအုပ်စု",1801211
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","သစ်ချိုပင် ကျေးရွာအုပ်စု",1801212
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပေါက်နွယ်ခြုံ ကျေးရွာအုပ်စု",1801213
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","အလိုတော်ရ ကျေးရွာအုပ်စု",1801214
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပျဉ်းမအိုင် ကျေးရွာအုပ်စု",1801215
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ကွင်းကြီး ကျေးရွာအုပ်စု",1801216
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ကျောသာ ကျေးရွာအုပ်စု",1801217
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ကံကြီးကုန်း ကျေးရွာအုပ်စု",1801218
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ကံကျိုး ကျေးရွာအုပ်စု",1801219
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","တလုပ်ပင် ကျေးရွာအုပ်စု",1801220
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","တောင်တီး ကျေးရွာအုပ်စု",1801221
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","သူဌေး ကျေးရွာအုပ်စု",1801222
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","တောင်ခွေးရဲ ကျေးရွာအုပ်စု",1801223
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","မုဌော ကျေးရွာအုပ်စု",1801224
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပေါင်းတမော့ ကျေးရွာအုပ်စု",1801225
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","တွင်းဗြည်း ကျေးရွာအုပ်စု",1801226
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပေါင်းတလည် ကျေးရွာအုပ်စု",1801227
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဗြူးကုန်း ကျေးရွာအုပ်စု",1801228
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဘန့်ပြင် ကျေးရွာအုပ်စု",1801229
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","မြောင်းဆုံ ကျေးရွာအုပ်စု",1801230
