Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","နဝင်း ရပ်ကွက်",1801001
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ရွှေကူ ရပ်ကွက်",1801002
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","အိုးတန်း ရပ်ကွက်",1801003
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဆံတော် ရပ်ကွက်",1801004
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ဆင်စု ရပ်ကွက်",1801005
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ရွာဘဲ ရပ်ကွက်",1801006
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ခေတ္တရာမြို့သစ် ရပ်ကွက်",1801007
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ပြည်သာယာ ရပ်ကွက်",1801008
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","နဝဒေး ရပ်ကွက်",1801009
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပြည် မြို့နယ်","ရွှေတံခါး ရပ်ကွက်",1801010
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပေါက်ခေါင်း မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1802001
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပေါက်ခေါင်း မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1802002
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပေါက်ခေါင်း မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1802003
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပေါက်ခေါင်း မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1802004
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပေါက်ခေါင်း မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1802005
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပန်းတောင်း မြို့နယ်","ကြခပ် ရပ်ကွက်",1803001
"ပဲခူးတိုင်းဒေသကြီး (အနောက်)","ပန်းတောင်း မြို့နယ်","မင်းရပ် ရပ်ကွက်",1803002
