Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","မြို့တွင်းအရှေ့ (က) ရပ်ကွက်",0801001
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","မြို့တွင်းအရှေ့ (ခ) ရပ်ကွက်",0801002
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","မြို့တွင်းအနောက် (က) ရပ်ကွက်",0801003
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","မြို့တွင်းအနောက် (ခ) ရပ်ကွက်",0801004
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","လိပ်ပြာကန် ရပ်ကွက်",0801005
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ပုဏ္ဏားစု ရပ်ကွက်",0801006
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ပန်းလှိုင် ရပ်ကွက်",0801007
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0801008
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ညောင်ဝိုင်း (တောင်) ရပ်ကွက်",0801009
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ညောင်ဝိုင်း (မြောက်) ရပ်ကွက်",0801010
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","သွန်းဘုရားကုန်း ရပ်ကွက်",0801011
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ကျောက်ကြီးစု ရပ်ကွက်",0801012
"ပဲခူးတိုင်းဒေသကြီး (အရှေ့)","ပဲခူး မြို့နယ်","ဇိုင်းဂနိုင်း (တောင်) ရပ်ကွက်",0801013
