Region,"Town / Township","Quarter / Village Tract","Postal Code"
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အိုင်ကြီးကုန်း ကျေးရွာအုပ်စု",0401200
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အလယ်ဘို ကျေးရွာအုပ်စု",0401201
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","သစ်ရာကောက် ကျေးရွာအုပ်စု",0401202
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဒဟတ်ကန် ကျေးရွာအုပ်စု",0401203
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဂျုတ်ကုန်း ကျေးရွာအုပ်စု",0401204
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အင်တိုင်းကြီး ကျေးရွာအုပ်စု",0401205
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကန်ပြား ကျေးရွာအုပ်စု",0401206
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကန်တော် ကျေးရွာအုပ်စု",0401207
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကံသာကြီး ကျေးရွာအုပ်စု",0401208
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကရင် ကျေးရွာအုပ်စု",0401209
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကွမ်းအုံ ကျေးရွာအုပ်စု",0401210
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကျစ်စုံပွေး ကျေးရွာအုပ်စု",0401211
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကျွန်းပြတ် ကျေးရွာအုပ်စု",0401212
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","လက်ပုတို ကျေးရွာအုပ်စု",0401213
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","လပ်ပတော ကျေးရွာအုပ်စု",0401214
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","လင့်မြင့် ကျေးရွာအုပ်စု",0401215
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မကြီးခြေတောက် ကျေးရွာအုပ်စု",0401216
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","လယ်ယား ကျေးရွာအုပ်စု",0401217
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မိကျောင်းရဲ ကျေးရွာအုပ်စု",0401218
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မယ်လှတောင် ကျေးရွာအုပ်စု",0401219
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မကြီးကန် ကျေးရွာအုပ်စု",0401220
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","သပြေစမ်း ကျေးရွာအုပ်စု",0401221
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြေနု ကျေးရွာအုပ်စု",0401222
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြင်ကွန်း ကျေးရွာအုပ်စု",0401223
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြင်းစိုင်း ကျေးရွာအုပ်စု",0401224
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","နံကပ်ကျွန်း ကျေးရွာအုပ်စု",0401225
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","နတ်ကန် ကျေးရွာအုပ်စု",0401226
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ငါးဆောင် ကျေးရွာအုပ်စု",0401227
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ညောင်ပင် ကျေးရွာအုပ်စု",0401228
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ညောင်ကံ ကျေးရွာအုပ်စု",0401229
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ညောင်ကြပ်စမ်း ကျေးရွာအုပ်စု",0401230
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အုန်းတွဲ ကျေးရွာအုပ်စု",0401231
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ပဌနဂို ကျေးရွာအုပ်စု",0401232
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ပုထိုး ကျေးရွာအုပ်စု",0401233
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဘုရားပြို ကျေးရွာအုပ်စု",0401234
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဘုရားကုန်း ကျေးရွာအုပ်စု",0401235
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ပေပင်စမ်း ကျေးရွာအုပ်စု",0401236
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဖုတ်ကုန်း ကျေးရွာအုပ်စု",0401237
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဖိုးလေးလုံး ကျေးရွာအုပ်စု",0401238
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဆားတိုင်ကံ ကျေးရွာအုပ်စု",0401239
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","စမ်းမကြီး ကျေးရွာအုပ်စု",0401240
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ရှားပင်လှ ကျေးရွာအုပ်စု",0401241
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ရှားစောင်းကံ ကျေးရွာအုပ်စု",0401242
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဆူးပြစ်စမ်း ကျေးရွာအုပ်စု",0401243
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဆူးကောက်စမ်း ကျေးရွာအုပ်စု",0401244
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","တပေါက်တော ကျေးရွာအုပ်စု",0401245
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","တပ်ကုန်း ကျေးရွာအုပ်စု",0401246
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","တောင်ခွင် ကျေးရွာအုပ်စု",0401247
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မင်း ကျေးရွာအုပ်စု",0401248
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","တယ်ပင်ကံပေါက် ကျေးရွာအုပ်စု",0401249
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","သမန်းတော ကျေးရွာအုပ်စု",0401250
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","သရက်လေးပင် ကျေးရွာအုပ်စု",0401251
