Region,"Town / Township","Quarter / Village Tract","Postal Code"
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြို့ဟောင်း ရပ်ကွက်",0401001
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဆုံ ရပ်ကွက်",0401002
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဈေးလယ်စိုး ရပ်ကွက်",0401003
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြို့မအိုးဘို ရပ်ကွက်",0401004
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ဆားရွှေကင်း ရပ်ကွက်",0401005
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ရွာသစ်ပွဲကြို ရပ်ကွက်",0401006
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","သိင်္ဂါဂီရိ ရပ်ကွက်",0401007
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0401008
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မင်းကံကြီး ရပ်ကွက်",0401009
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","ကန်သာ ရပ်ကွက်",0401010
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","မြင်သာ ရပ်ကွက်",0401011
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အောင်ရတနာ ရပ်ကွက်",0401012
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အောင်ချမ်းသာ ရပ်ကွက်",0401013
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",0401014
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အောင်မေတ္တာ ရပ်ကွက်",0401015
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","အောင်စေတနာ ရပ်ကွက်",0401016
မကွေးတိုင်းဒေသကြီး,"မကွေး မြို့နယ်","စိုးကောမင်း ရပ်ကွက်",0401017
မကွေးတိုင်းဒေသကြီး,"မင်းဘူး မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0402001
မကွေးတိုင်းဒေသကြီး,"မင်းဘူး မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0402002
မကွေးတိုင်းဒေသကြီး,"မင်းဘူး မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",0402003
မကွေးတိုင်းဒေသကြီး,"မင်းဘူး မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",0402004
