Region,"Town / Township","Quarter / Village Tract","Postal Code"
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ဘုန်းတော်တိုး ရပ်ကွက်",0501001
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ဒေါနဘွား ရပ်ကွက်",0501002
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","အနှိပ်တော် ရပ်ကွက်",0501003
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ပြည်ကြီးကျက်သရေ (အရှေ့) ရပ်ကွက်",0501004
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ပြည်ကြီးကျက်သရေ (အနောက်) ရပ်ကွက်",0501005
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ပုလဲငွေရောင် ရပ်ကွက်",0501006
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","မေဃဂီရိ ရပ်ကွက်",0501007
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","အောင်မြေသာစံမြို့ ရပ်ကွက်",0501008
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","မင်းတဲအီကင်း ရပ်ကွက်",0501009
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ညောင်ကွဲ ရပ်ကွက်",0501010
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ပြည်ကြီးရန်လုံ ရပ်ကွက်",0501011
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ပြည်လုံးချမ်းသာ ရပ်ကွက်",0501012
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","အမရဌာနီ (အရှေ့) ရပ်ကွက်",0501013
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","အမရဌာနီ (အနောက်) ရပ်ကွက်",0501014
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","ဥပုသ်တော် ရပ်ကွက်",0501015
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","အိုးဘို ရပ်ကွက်",0501016
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","သီရိမာလာ (အရှေ့) ရပ်ကွက်",0501017
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","သီရိမာလာ (အနောက်) ရပ်ကွက်",0501018
မန္တလေးတိုင်းဒေသကြီး,"အောင်မြေသာစံ မြို့နယ်","မဟာဇေယျာဘုံ ရပ်ကွက်",0501019
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","အောင်နန်းရိပ်သာ (အရှေ့) ရပ်ကွက်",0502001
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","အောင်နန်းရိပ်သာ (အနောက်) ရပ်ကွက်",0502002
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ချမ်းအေးသာစံ (အရှေ့) ရပ်ကွက်",0502003
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ချမ်းအေးသာစံ (အလယ်) ရပ်ကွက်",0502004
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ချမ်းအေးသာစံ (အနောက်) ရပ်ကွက်",0502005
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ဒေးဝန်း (အနောက်) ရပ်ကွက်",0502006
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ဟေမာဇလ ရပ်ကွက်",0502007
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ကံကောက် ရပ်ကွက်",0502008
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ကဉ္စနမဟီ ရပ်ကွက်",0502009
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","မောရဂီဝါ ရပ်ကွက်",0502010
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပါတ်ကုန်းပျော်ဘွယ် ရပ်ကွက်",0502011
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပါတ်ကုန်းဝန်းကျင် ရပ်ကွက်",0502012
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပြည်ကြီးမျက်မှန် ရပ်ကွက်",0502013
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပြည်ကြီးမျက်ရှင် ရပ်ကွက်",0502014
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပြည်ကြီးပျော်ဘွယ် (အရှေ့) ရပ်ကွက်",0502015
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ပြည်ကြီးပျော်ဘွယ် (အနောက်) ရပ်ကွက်",0502016
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","စိတ္တရမဟီ ရပ်ကွက်",0502017
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","သီရိဟေမာ (အရှေ့) ရပ်ကွက်",0502018
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","သီရိဟေမာ (အနောက်) ရပ်ကွက်",0502019
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းအေးသာစံ မြို့နယ်","ရန်မျိုးလုံ ရပ်ကွက်",0502020
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","မဟာနွယ်စင် ရပ်ကွက်",0503001
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","စကြာနွယ်စဉ် ရပ်ကွက်",0503002
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ဟေမမာလာ (မြောက်) ရပ်ကွက်",0503003
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ဟေမမာလာ (တောင်) ရပ်ကွက်",0503004
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ရတနာဘုမ္မိ (အရှေ့) ရပ်ကွက်",0503005
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ရတနာဘုမ္မိ (အနောက်) ရပ်ကွက်",0503006
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","မဟာအောင်မြေ (အရှေ့) ရပ်ကွက်",0503007
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","မဟာအောင်မြေ (အနောက်) ရပ်ကွက်",0503008
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ရွှေဘုန်းရှိန် ရပ်ကွက်",0503009
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ချမ်းမြသာစည် (မြောက်) ရပ်ကွက်",0503010
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","တက္ကသိုလ် ရပ်ကွက်",0503011
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","စိန်ပန်း ရပ်ကွက်",0503012
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ဒေးဝန်း (အရှေ့) ရပ်ကွက်",0503013
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","သံလျက်မော် (အနောက်) ရပ်ကွက်",0503014
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","သံလျက်မော် (အရှေ့) ရပ်ကွက်",0503015
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","မဟာမြိုင် (၁) ရပ်ကွက်",0503016
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","မဟာမြိုင် (၂) ရပ်ကွက်",0503017
မန္တလေးတိုင်းဒေသကြီး,"မဟာအောင်မြေ မြို့နယ်","ရဲမွန်တောင် ရပ်ကွက်",0503018
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","သံလျှက်မော် (တောင်) ရပ်ကွက်",0504001
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","ကျွန်းလုံးဥသျှောင် ရပ်ကွက်",0504002
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","တမ္ပဝတီ ရပ်ကွက်",0504003
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","ချမ်းမြသာစည် (တောင်) ရပ်ကွက်",0504004
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","မြို့သစ်အမှတ် (၁) ရပ်ကွက်",0504005
မန္တလေးတိုင်းဒေသကြီး,"ချမ်းမြသာစည် မြို့နယ်","မြို့သစ်အမှတ် (၂) ရပ်ကွက်",0504006
