Region,"Town / Township","Quarter / Village Tract","Postal Code"
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကတိုး ကျေးရွာအုပ်စု",1201200
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့စိန် ကျေးရွာအုပ်စု",1201201
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကျောက်တန်း ကျေးရွာအုပ်စု",1201202
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","စမ်းကြီး ကျေးရွာအုပ်စု",1201203
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့တွန် ကျေးရွာအုပ်စု",1201204
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့နှပ် ကျေးရွာအုပ်စု",1201205
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့လှာ ကျေးရွာအုပ်စု",1201206
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့ပေါက် ကျေးရွာအုပ်စု",1201207
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ငန်းတေး ကျေးရွာအုပ်စု",1201208
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မင်းရွာ ကျေးရွာအုပ်စု",1201209
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မုရောင်း ကျေးရွာအုပ်စု",1201210
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဂွေးကုန်း ကျေးရွာအုပ်စု",1201211
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ခြောက်မိုင်ကျွဲခြံကုန်း ကျေးရွာအုပ်စု",1201212
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့ခနိ ကျေးရွာအုပ်စု",1201213
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","နောင်ခရိ ကျေးရွာအုပ်စု",1201214
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကြာအင်း ကျေးရွာအုပ်စု",1201215
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကော့ခမယ် ကျေးရွာအုပ်စု",1201216
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဖါးအောက် ကျေးရွာအုပ်စု",1201217
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ရိုးဂိုး ကျေးရွာအုပ်စု",1201218
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","အဘိုင်း ကျေးရွာအုပ်စု",1202200
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျူချောင် ကျေးရွာအုပ်စု",1202201
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","သုံးခွ ကျေးရွာအုပ်စု",1202202
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဝင်းကံ ကျေးရွာအုပ်စု",1202203
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","လှည်းလမ်းကူး ကျေးရွာအုပ်စု",1202204
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","အင်္ဂပို ကျေးရွာအုပ်စု",1202205
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကဒိုင်ဒွတ် ကျေးရွာအုပ်စု",1202206
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကမ်းနီ ကျေးရွာအုပ်စု",1202207
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ခရွဲ ကျေးရွာအုပ်စု",1202208
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မုက္ခမော့ ကျေးရွာအုပ်စု",1202209
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကော့ထင်း ကျေးရွာအုပ်စု",1202210
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကော့ဘိန်း ကျေးရွာအုပ်စု",1202211
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျောင်းရွာ ကျေးရွာအုပ်စု",1202212
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျိုက္ကသာ ကျေးရွာအုပ်စု",1202213
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျိုက်ပိ ကျေးရွာအုပ်စု",1202214
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကင်မွန်းချောင်း ကျေးရွာအုပ်စု",1202215
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မလော့ချောင် ကျေးရွာအုပ်စု",1202216
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မာလာဖူး ကျေးရွာအုပ်စု",1202217
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မုက္ခမူ ကျေးရွာအုပ်စု",1202218
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မရမ်းချောင်း ကွာရီရွာသစ် ကျေးရွာအုပ်စု",1202219
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျွန်းတော ကျေးရွာအုပ်စု",1202220
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ငှက်ပျောတော ကျေးရွာအုပ်စု",1202221
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","သိမ်ဇရပ် ကျေးရွာအုပ်စု",1202222
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျောက်ကလပ် ကျေးရွာအုပ်စု",1202223
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဘိုရားကြီး ကျေးရွာအုပ်စု",1202224
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ပျဉ်းကတိုးကုန်း ကျေးရွာအုပ်စု",1202225
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဖက္တလိပ် ကျေးရွာအုပ်စု",1202226
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ပီတိ ကျေးရွာအုပ်စု",1202227
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","စစ်တောင်း ကျေးရွာအုပ်စု",1202228
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","စွပ္ပနူး ကျေးရွာအုပ်စု",1202229
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ခလွန် ကျေးရွာအုပ်စု",1202230
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဝါးဘိုးချောင်း ကျေးရွာအုပ်စု",1202231
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကွင်းကလေး ကျေးရွာအုပ်စု",1202232
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဇီးပြောင်း ကျေးရွာအုပ်စု",1202233
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မုပ္ပလင် ကျေးရွာအုပ်စု",1202234
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကျိုက်ထီးရိုးရင်ပြင်တော် ကျေးရွာအုပ်စု",1202235
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","နှင်းပုလဲ ကျေးရွာအုပ်စု",1203200
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ရွှေလှေ ကျေးရွာအုပ်စု",1203201
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ညောင်ပလင် ကျေးရွာအုပ်စု",1203202
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","လိပ်ခုံး ကျေးရွာအုပ်စု",1203203
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","တဘက်ဆွဲ ကျေးရွာအုပ်စု",1203204
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","အနိင်းပွန် ကျေးရွာအုပ်စု",1203205
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မုသင် ကျေးရွာအုပ်စု",1203206
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဇွဲကလာ ကျေးရွာအုပ်စု",1203207
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဇုတ်သုတ် ကျေးရွာအုပ်စု",1203208
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဇုက္ကလီ ကျေးရွာအုပ်စု",1203209
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကော့ကဒွတ် ကျေးရွာအုပ်စု",1203210
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ယွန်းဒလင်းကုန်း ကျေးရွာအုပ်စု",1203211
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","တောင်စွန်း ကျေးရွာအုပ်စု",1203212
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ပေါက်တော ကျေးရွာအုပ်စု",1203213
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကင်းရွာ ကျေးရွာအုပ်စု",1203214
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","တောင်ကြီး ကျေးရွာအုပ်စု",1203215
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဝင်းက ကျေးရွာအုပ်စု",1203216
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","အရက်သီမ ကျေးရွာအုပ်စု",1203217
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မရမ်းကုန်း ကျေးရွာအုပ်စု",1203218
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","သိန်ငူ ကျေးရွာအုပ်စု",1203219
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","သဲဖြူချောင်း ကျေးရွာအုပ်စု",1203220
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","အလူး ကျေးရွာအုပ်စု",1203221
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဝင်းပြန် ကျေးရွာအုပ်စု",1203222
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကျောက်ရေတွင်း ကျေးရွာအုပ်စု",1203223
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဖိုးဝါးသိမ် ကျေးရွာအုပ်စု",1203224
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဂုံညင်းနွယ် ကျေးရွာအုပ်စု",1203225
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဝင်းသောင် ကျေးရွာအုပ်စု",1203226
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကဒီပု ကျေးရွာအုပ်စု",1203227
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဒေါက်ရပ် ကျေးရွာအုပ်စု",1203228
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ရွှေရောင်ပြ ကျေးရွာအုပ်စု",1203229
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကျခတ်ချောင်း ကျေးရွာအုပ်စု",1203230
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","တညင်းကုန်း ကျေးရွာအုပ်စု",1203231
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကဇိုင်း ကျေးရွာအုပ်စု",1203232
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ရင်းအုံ ကျေးရွာအုပ်စု",1203233
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မဲလံ ကျေးရွာအုပ်စု",1203234
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မဲလံဂေါင်း ကျေးရွာအုပ်စု",1203235
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","အဟုံးဝ ကျေးရွာအုပ်စု",1203236
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဘုရားဆိပ် ကျေးရွာအုပ်စု",1203237
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","နတ်ကြီး ကျေးရွာအုပ်စု",1203238
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မဲနသန် ကျေးရွာအုပ်စု",1203239
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","မဲပလီ ကျေးရွာအုပ်စု",1203240
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ပီတိ ကျေးရွာအုပ်စု",1203241
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဘောနောခီး ကျေးရွာအုပ်စု",1203242
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","အစူးချောင်း ကျေးရွာအုပ်စု",1203243
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဝင်းတာပန် ကျေးရွာအုပ်စု",1203244
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","လေးကေ ကျေးရွာအုပ်စု",1203245
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကြိုးဝိုင်း ကျေးရွာအုပ်စု",1203246
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ပိုင်ဒဝယ် ကျေးရွာအုပ်စု",1203247
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကျားကွင်း ကျေးရွာအုပ်စု",1203248
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကျောက်လုံးကြီး ကျေးရွာအုပ်စု",1203249
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဆင်အင်း ကျေးရွာအုပ်စု",1203250
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","တောင်ကြား ကျေးရွာအုပ်စု",1204200
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဝင်းပ ကျေးရွာအုပ်စု",1204201
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကော့လှိုင်း ကျေးရွာအုပ်စု",1204202
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ချောင်းဇောက် ကျေးရွာအုပ်စု",1204203
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဝီယော် ကျေးရွာအုပ်စု",1204204
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ပိန္နဲတော ကျေးရွာအုပ်စု",1204205
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဓနု ကျေးရွာအုပ်စု",1204206
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဝင်းဖုန်း ကျေးရွာအုပ်စု",1204207
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","မတ်ချ ကျေးရွာအုပ်စု",1204208
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","နောင်ကတုတ် ကျေးရွာအုပ်စု",1204209
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","သိမ်ဆိပ် ကျေးရွာအုပ်စု",1204210
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကျိုက္ကော် ကျေးရွာအုပ်စု",1204211
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","တံတားဦး ကျေးရွာအုပ်စု",1204212
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","မိုးကောင်း ကျေးရွာအုပ်စု",1204213
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဒုံဝန်း ကျေးရွာအုပ်စု",1204214
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကတိုက်ကလေး ကျေးရွာအုပ်စု",1204215
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကတိုက်ကြီး ကျေးရွာအုပ်စု",1204216
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဓနုကတိုက် ကျေးရွာအုပ်စု",1204217
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဆိပ်ကျွန်း ကျေးရွာအုပ်စု",1204218
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","တောကြီး ကျေးရွာအုပ်စု",1204219
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","သောင်ကြီး ကျေးရွာအုပ်စု",1204220
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဇရစ်ချောင် ကျေးရွာအုပ်စု",1204221
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","မြေနီကုန်း ကျေးရွာအုပ်စု",1204222
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဆင်ဖြူကျွန်း ကျေးရွာအုပ်စု",1204223
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","နောင်ဘို ကျေးရွာအုပ်စု",1204224
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ပေါ်တော်မူ ကျေးရွာအုပ်စု",1204225
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဘူဒင်းချောင် ကျေးရွာအုပ်စု",1204226
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","မရမ်းကုန်း ကျေးရွာအုပ်စု",1204227
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဇိုက္ကရဲ ကျေးရွာအုပ်စု",1204228
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ထိန်ပင် ကျေးရွာအုပ်စု",1204229
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","နောင်ကုလား ကျေးရွာအုပ်စု",1204230
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဒေးဗရိမ်း ကျေးရွာအုပ်စု",1204231
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","သရက်တော ကျေးရွာအုပ်စု",1204232
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","အောင်းစိုင် ကျေးရွာအုပ်စု",1204233
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","တောင်စွန်း ကျေးရွာအုပ်စု",1204234
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","အုပ္ဖိုချောင် ကျေးရွာအုပ်စု",1204235
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကျောက်တန်း ကျေးရွာအုပ်စု",1204236
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ကျုံပါ ကျေးရွာအုပ်စု",1204237
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဂေါ့ ကျေးရွာအုပ်စု",1204238
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဝင်းစိန်ရွာသစ် ကျေးရွာအုပ်စု",1204239
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဝင်းစိန်အလယ် ကျေးရွာအုပ်စု",1204240
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဒူးရင်းဆိပ် ကျေးရွာအုပ်စု",1204241
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ထောင်မှူး ကျေးရွာအုပ်စု",1204242
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဆင်ကျုံး ကျေးရွာအုပ်စု",1204243
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဈေးမသွယ် (အထက်) ကျေးရွာအုပ်စု",1204244
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဈေးမသွယ် (အောက်) ကျေးရွာအုပ်စု",1204245
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","စခန်းကြီး ကျေးရွာအုပ်စု",1204246
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","အနန်းပင် ကျေးရွာအုပ်စု",1204247
