Region,"Town / Township","Quarter / Village Tract","Postal Code"
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ရွှေမြိုင်သီရိ ရပ်ကွက်",1201001
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကျိုက်ဖနဲ ရပ်ကွက်",1201002
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","လှိုင်ရှမ်းစု ရပ်ကွက်",1201003
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","အောက်ကျင်း ရပ်ကွက်",1201004
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မန္တလေး ရပ်ကွက်",1201005
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဖက်တန်း ရပ်ကွက်",1201006
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ရွှေတောင် ရပ်ကွက်",1201007
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","စစ်ကဲကုန်း ရပ်ကွက်",1201008
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မရမ်းကုန်း ရပ်ကွက်",1201009
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ပန်းဘဲတန်း ရပ်ကွက်",1201010
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဘိုကုန်း ရပ်ကွက်",1201011
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မောင်ငံ ရပ်ကွက်",1201012
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကွင်းရပ် ရပ်ကွက်",1201013
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မြေနီကုန်း ရပ်ကွက်",1201014
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဈေးကြို ရပ်ကွက်",1201015
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","သီရိမြိုင် ရပ်ကွက်",1201016
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မုပွန် ရပ်ကွက်",1201017
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဇေယျာသီရိ ရပ်ကွက်",1201018
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","သာယာအေး ရပ်ကွက်",1201019
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","သီရိမင်္ဂလာ ရပ်ကွက်",1201020
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","မြိုင်သာယာ ရပ်ကွက်",1201021
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဇေယျာမြိုင် ရပ်ကွက်",1201022
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ကျောက်တန်း ရပ်ကွက်",1201023
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","စမ်းကြီး ရပ်ကွက်",1201024
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ဂွေးကုန်း ရပ်ကွက်",1201025
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","နောင်ခရီ ရပ်ကွက်",1201026
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ငန်းတေး ရပ်ကွက်",1201027
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ခြောက်မိုင်ကျွဲခြံကုန်း ရပ်ကွက်",1201028
မွန်ပြည်နယ်,"မော်လမြိုင် မြို့နယ်","ညောင်ပင်ဆိပ် ရပ်ကွက်",1201029
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ဇေယျာမွန် ရပ်ကွက်",1202001
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","မြောက်ပိုင်း ရပ်ကွက်",1202002
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကော့စံနိုင် ရပ်ကွက်",1202003
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","တောင်ပိုင်း ရပ်ကွက်",1202004
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","ကံ့ကော် ရပ်ကွက်",1202005
မွန်ပြည်နယ်,"ကျိုက်ထို မြို့နယ်","တောင်သူစု ရပ်ကွက်",1202006
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဆရာစံ ရပ်ကွက်",1203001
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဖိုးရာဇာ ရပ်ကွက်",1203002
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ကန်သာယာ ရပ်ကွက်",1203003
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဖိုးလှကြီး ရပ်ကွက်",1203004
မွန်ပြည်နယ်,"ဘီးလင်း မြို့နယ်","ဗိုလ်တေဇ ရပ်ကွက်",1203005
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","လိပ်အင်း ရပ်ကွက်",1204001
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","နန်းခဲ ရပ်ကွက်",1204002
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","အောက်ကျင်း ရပ်ကွက်",1204003
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","သိမ်ကုန်း ရပ်ကွက်",1204004
မွန်ပြည်နယ်,"သထုံ မြို့နယ်","ဘင်လှိုင် ရပ်ကွက်",1204005
မွန်ပြည်နယ်,"ပေါင် မြို့နယ်","မိုးနိုင်း ရပ်ကွက်",1205001
မွန်ပြည်နယ်,"ပေါင် မြို့နယ်","ကဒုံစီး ရပ်ကွက်",1205002
မွန်ပြည်နယ်,"ပေါင် မြို့နယ်","ပေါင်း ရပ်ကွက်",1205003
မွန်ပြည်နယ်,"ပေါင် မြို့နယ်","ကဒါ ရပ်ကွက်",1205004
မွန်ပြည်နယ်,"ချောင်းဆုံ မြို့နယ်","အနောက် ရပ်ကွက်",1206001
မွန်ပြည်နယ်,"ချောင်းဆုံ မြို့နယ်","အရှေ့ ရပ်ကွက်",1206002
မွန်ပြည်နယ်,"ချောင်းဆုံ မြို့နယ်","တိုးချဲ့ ရပ်ကွက်",1206003
မွန်ပြည်နယ်,"ကျိုက်မရော မြို့နယ်","ရှင်စောပု ရပ်ကွက်",1207001
မွန်ပြည်နယ်,"ကျိုက်မရော မြို့နယ်","ရန်မျိုးအောင် ရပ်ကွက်",1207002
မွန်ပြည်နယ်,"ကျိုက်မရော မြို့နယ်","အထရံ ရပ်ကွက်",1207003
မွန်ပြည်နယ်,"ကျိုက်မရော မြို့နယ်","အောင်သုခ ရပ်ကွက်",1207004
မွန်ပြည်နယ်,"မုဒုံ မြို့နယ်","မြို့မ (၁) ရပ်ကွက်",1208001
မွန်ပြည်နယ်,"မုဒုံ မြို့နယ်","မြို့မ (၂) ရပ်ကွက်",1208002
မွန်ပြည်နယ်,"မုဒုံ မြို့နယ်","မြို့မ (၃) ရပ်ကွက်",1208003
မွန်ပြည်နယ်,"မုဒုံ မြို့နယ်","မြို့မ (၄) ရပ်ကွက်",1208004
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","ကြာကန် ရပ်ကွက်",1209001
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","အောင်ချမ်းသာ ရပ်ကွက်",1209002
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","စက်သစ် ရပ်ကွက်",1209003
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",1209004
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","ဟံသာဝတီ ရပ်ကွက်",1209005
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","အောင်ဇေယျ ရပ်ကွက်",1209006
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","ကျောင်းပိုင်း ရပ်ကွက်",1209007
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","ကြံ့ခိုင်ရေး ရပ်ကွက်",1209008
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","အောင်သာယာ ရပ်ကွက်",1209009
မွန်ပြည်နယ်,"သံဖြူဇရပ် မြို့နယ်","ဖောင်စိန် ရပ်ကွက်",1209010
မွန်ပြည်နယ်,"ရေး မြို့နယ်","သီရိဇေယျာ ရပ်ကွက်",1210001
မွန်ပြည်နယ်,"ရေး မြို့နယ်","သီရိမာလာ ရပ်ကွက်",1210002
မွန်ပြည်နယ်,"ရေး မြို့နယ်","သီရိနန္ဒာ ရပ်ကွက်",1210003
မွန်ပြည်နယ်,"ရေး မြို့နယ်","သီရိခေမာ ရပ်ကွက်",1210004
မွန်ပြည်နယ်,"ရေး မြို့နယ်","ရန်မျိုးအောင် ရပ်ကွက်",1210005
မွန်ပြည်နယ်,"ရေး မြို့နယ်","ရန်ကြီးအောင် ရပ်ကွက်",1210006
မွန်ပြည်နယ်,"ရေး မြို့နယ်","အောင်သုခ ရပ်ကွက်",1210007
မွန်ပြည်နယ်,"ရေး မြို့နယ်","အောင်မေတ္တာ ရပ်ကွက်",1210008
မွန်ပြည်နယ်,"ရေး မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",1210009
