Region,"Town / Township","Quarter / Village Tract","Postal Code"
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မောင်နီပြင် ကျေးရွာအုပ်စု",0701200
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","သင်းပုန်းတန်း ကျေးရွာအုပ်စု",0701201
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ချောင်းနွယ် ကျေးရွာအုပ်စု",0701202
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျက်တောပြင် ကျေးရွာအုပ်စု",0701203
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အောင်ဒိုင် ကျေးရွာအုပ်စု",0701204
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဂန့်ဂေါ်ကျွန်း ကျေးရွာအုပ်စု",0701205
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျေးတော ကျေးရွာအုပ်စု",0701206
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရွာသစ်ကေ ကျေးရွာအုပ်စု",0701207
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","နာရီကန် ကျေးရွာအုပ်စု",0701208
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဆေးသမား ကျေးရွာအုပ်စု",0701209
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဇောပူဂျာ ကျေးရွာအုပ်စု",0701210
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ခတင်ပိုက် ကျေးရွာအုပ်စု",0701211
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကြွီတဲ ကျေးရွာအုပ်စု",0701212
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","သိန်းတန် ကျေးရွာအုပ်စု",0701213
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျားမသောက် ကျေးရွာအုပ်စု",0701214
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ညိုရောင်ချောင်း ကျေးရွာအုပ်စု",0701215
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ချီလိုင်ဖင်း ကျေးရွာအုပ်စု",0701216
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အမြင့်ကျွန်း ကျေးရွာအုပ်စု",0701217
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ပါဒလိပ် ကျေးရွာအုပ်စု",0701218
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မြစ်နား ကျေးရွာအုပ်စု",0701219
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","င/တောက်တက် ကျေးရွာအုပ်စု",0701220
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","တောကံ ကျေးရွာအုပ်စု",0701221
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဝါဘို ကျေးရွာအုပ်စု",0701222
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဥယျာဉ်သာ ကျေးရွာအုပ်စု",0701223
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ခေါင်းဒုက္ကာ ကျေးရွာအုပ်စု",0701224
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","သင်းဂနက် ကျေးရွာအုပ်စု",0701225
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဘုမေ ကျေးရွာအုပ်စု",0701226
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","အင်တူလာ ကျေးရွာအုပ်စု",0702200
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","တပ်ချောင်း ကျေးရွာအုပ်စု",0702201
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကာလာဒေးဖက် ကျေးရွာအုပ်စု",0702202
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရဲအောင်စံရဖွေ ကျေးရွာအုပ်စု",0702203
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကြောင်နဖေ ကျေးရွာအုပ်စု",0702204
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","အောင်ဇံ ကျေးရွာအုပ်စု",0702205
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","လှိုင်သီ ကျေးရွာအုပ်စု",0702206
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကျွန်းပေါက်ပြုစု ကျေးရွာအုပ်စု",0702207
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ငါးရန့်ချောင်း ကျေးရွာအုပ်စု",0702208
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သစ်တုံးနားခွဆုံ ကျေးရွာအုပ်စု",0702209
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","နန်းရာကိုင်း ကျေးရွာအုပ်စု",0702210
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","တမန်းသား ကျေးရွာအုပ်စု",0702211
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သက်ကိုင်ညာ ကျေးရွာအုပ်စု",0702212
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရေနောက်ငါးသား ကျေးရွာအုပ်စု",0702213
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြောချောင်း ကျေးရွာအုပ်စု",0702214
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြိုမိချောင်း ကျေးရွာအုပ်စု",0702215
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","စံကားပင်ရင်း ကျေးရွာအုပ်စု",0702216
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မင်းကြီး (တူလာတူလီ) ကျေးရွာအုပ်စု",0702217
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","နတ်ချောင်း ကျေးရွာအုပ်စု",0702218
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကြိမ်ချောင်း ကျေးရွာအုပ်စု",0702219
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ပဒကားရွာသစ် ကျေးရွာအုပ်စု",0702220
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဝက်ကျိန်း ကျေးရွာအုပ်စု",0702221
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဒုံးပိုက် (အောင်ဆိပ်ပြင်) ကျေးရွာအုပ်စု",0702222
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","စပါယ်ကုံး ကျေးရွာအုပ်စု",0702223
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","လောင်းဒုံ ကျေးရွာအုပ်စု",0702224
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ငါးစားကြူး ကျေးရွာအုပ်စု",0702225
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကြက်ရိုးပြင် ကျေးရွာအုပ်စု",0702226
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဒိုးတန်း ကျေးရွာအုပ်စု",0702227
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","အထက်ပြူးမ ကျေးရွာအုပ်စု",0702228
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ပြူးမကညင်တန်း ကျေးရွာအုပ်စု",0702229
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကပ္ပကောင်း ကျေးရွာအုပ်စု",0702230
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့သစ် ကျေးရွာအုပ်စု",0702231
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရေမျက်တောင် ကျေးရွာအုပ်စု",0702232
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ငါးခူရ ကျေးရွာအုပ်စု",0702233
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ခြံပြင် ကျေးရွာအုပ်စု",0702234
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရေတွင်းကျွန်း ကျေးရွာအုပ်စု",0702235
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရွက်ညိုတောင် ကျေးရွာအုပ်စု",0702236
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဦးရှည်ကျ ကျေးရွာအုပ်စု",0702237
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ပွင့်ဖြူချောင်း ကျေးရွာအုပ်စု",0702238
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကျားခေါင်းတောင် ကျေးရွာအုပ်စု",0702239
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရေခပ်ချောင်းခွဆုံ ကျေးရွာအုပ်စု",0702240
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဒါးကြီးဇား ကျေးရွာအုပ်စု",0702241
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ငန်းချောင်း ကျေးရွာအုပ်စု",0702242
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြောတောင် ကျေးရွာအုပ်စု",0702243
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဖားဝတ်ချောင်း (ရွာသစ်) ကျေးရွာအုပ်စု",0702244
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သရက်အုပ် ကျေးရွာအုပ်စု",0702245
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မောင်နှမ ကျေးရွာအုပ်စု",0702246
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကျောက်ပြင်ဆိပ် ကျေးရွာအုပ်စု",0702247
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သူဦးလာ ကျေးရွာအုပ်စု",0702248
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရွှေဇားကပ္ပကောင်း ကျေးရွာအုပ်စု",0702249
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကျီးကန်းပြင် ကျေးရွာအုပ်စု",0702250
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","လှပိုးခေါင် ကျေးရွာအုပ်စု",0702251
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကျောက်လှေကား ကျေးရွာအုပ်စု",0702252
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သက်ကေပြင် ကျေးရွာအုပ်စု",0702253
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဇင်ပိုင်ညာ ကျေးရွာအုပ်စု",0702254
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မင်္ဂလာကြီး (ပြင်ဖြူ) ကျေးရွာအုပ်စု",0702255
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","နွားရုံတောင် ကျေးရွာအုပ်စု",0702256
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကညင်တော ကျေးရွာအုပ်စု",0702257
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ပေါင်းဇား ကျေးရွာအုပ်စု",0702258
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","သီဟိုဠ်ကျွန်း ကျေးရွာအုပ်စု",0702259
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့ဦး ကျေးရွာအုပ်စု",0702260
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကညင်တန်း(ခ)မြို့မကညင်တန်း ကျေးရွာအုပ်စု",0702261
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့သူကြီး ကျေးရွာအုပ်စု",0702262
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ညောင်ချောင်း ကျေးရွာအုပ်စု",0702263
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ပန်းတောပြင် ကျေးရွာအုပ်စု",0702264
