Region,"Town / Township","Quarter / Village Tract","Postal Code"
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျေးပင်ကြီး ရပ်ကွက်",0701001
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မောလိပ် ရပ်ကွက်",0701002
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အိုးတန်း ရပ်ကွက်",0701003
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မိဇံ ရပ်ကွက်",0701004
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရူပတောင် ရပ်ကွက်",0701005
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရူပမြောက် ရပ်ကွက်",0701006
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မြို့သူကြီး ရပ်ကွက်",0701007
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","တရားသီးစု ရပ်ကွက်",0701008
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","လမ္မတော်တောင် ရပ်ကွက်",0701009
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","လမ္မတော်မြောက် ရပ်ကွက်",0701010
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရွှေပြား ရပ်ကွက်",0701011
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဆင်ကူးလမ်း ရပ်ကွက်",0701012
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အုန်းတပင် ရပ်ကွက်",0701013
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","လမ်းသစ် ရပ်ကွက်",0701014
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရွာကြီးမြောက် ရပ်ကွက်",0701015
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရွာကြီးတောင် ရပ်ကွက်",0701016
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဘောင်းဒွတ် ရပ်ကွက်",0701017
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဘောက်သီးစု ရပ်ကွက်",0701018
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျောင်းတက်လမ်း ရပ်ကွက်",0701019
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0701020
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဓညဝတီ ရပ်ကွက်",0701021
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အနောက်စံပြ ရပ်ကွက်",0701022
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ရဲနွယ်စု ရပ်ကွက်",0701023
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မကျဉ်းမြိုင် ရပ်ကွက်",0701024
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကသဲရွာ ရပ်ကွက်",0701025
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","စက်ရုံစု ရပ်ကွက်",0701026
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကုန်တန်း ရပ်ကွက်",0701027
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဘောလုံးကွင်း ရပ်ကွက်",0701028
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ကျောင်းကြီးလမ်း ရပ်ကွက်",0701029
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",0701030
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","ဆတ်ရိုးကျ ရပ်ကွက်",0701031
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","မင်းဂံ ရပ်ကွက်",0701032
ရခိုင်ပြည်နယ်,"စစ်တွေ မြို့နယ်","အောင်မင်္ဂလာမြောက် ရပ်ကွက်",0701033
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့မအနောက် ရပ်ကွက်",0702001
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့မတောင် ရပ်ကွက်",0702002
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့မမြောက် ရပ်ကွက်",0702003
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့မအရှေ့ ရပ်ကွက်",0702004
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ရွာသစ်ကေ ရပ်ကွက်",0702005
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","၄-မိုင် ရပ်ကွက်",0702006
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ကညင်တန်း ရပ်ကွက်",0702007
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မောင်နီ ရပ်ကွက်",0702008
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့သူကြီး ရပ်ကွက်",0702009
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","ဝေသာလီ ရပ်ကွက်",0702010
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","မြို့ဦး ရပ်ကွက်",0702011
ရခိုင်ပြည်နယ်,"မောင်တော မြို့နယ်","လက်သာ ရပ်ကွက်",0702012
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","အနောက် ရပ်ကွက်",0703001
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","မြို့မ ရပ်ကွက်",0703002
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","မြို့သစ် ရပ်ကွက်",0703003
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","သပြေကုန်း ရပ်ကွက်",0703004
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","တောင် ရပ်ကွက်",0703005
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","မြို့သစ်တောင် ရပ်ကွက်",0703006
ရခိုင်ပြည်နယ်,"ဘူးသီးတောင် မြို့နယ်","မီးရထားဆိပ် ရပ်ကွက်",0703007
ရခိုင်ပြည်နယ်,"ရသေ့တောင် မြို့နယ်","တောင်ရင်း ရပ်ကွက်",0704001
ရခိုင်ပြည်နယ်,"ရသေ့တောင် မြို့နယ်","ချောင်းဝ ရပ်ကွက်",0704002
ရခိုင်ပြည်နယ်,"ရသေ့တောင် မြို့နယ်","အရှေ့မြောက် ရပ်ကွက်",0704003
ရခိုင်ပြည်နယ်,"ရသေ့တောင် မြို့နယ်","အရှေ့တောင် ရပ်ကွက်",0704004
ရခိုင်ပြည်နယ်,"ပုဏ္ဏားကျွန်း မြို့နယ်","စံပြ ရပ်ကွက်",0705001
ရခိုင်ပြည်နယ်,"ပုဏ္ဏားကျွန်း မြို့နယ်","မြို့သစ် ရပ်ကွက်",0705002
ရခိုင်ပြည်နယ်,"ပုဏ္ဏားကျွန်း မြို့နယ်","အလယ်စု ရပ်ကွက်",0705003
ရခိုင်ပြည်နယ်,"ပုဏ္ဏားကျွန်း မြို့နယ်","ရွာဟောင်း ရပ်ကွက်",0705004
ရခိုင်ပြည်နယ်,"ကျောက်တော် မြို့နယ်","ရှမ်းရွာ ရပ်ကွက်",0706001
ရခိုင်ပြည်နယ်,"ကျောက်တော် မြို့နယ်","မြို့သစ် ရပ်ကွက်",0706002
ရခိုင်ပြည်နယ်,"ကျောက်တော် မြို့နယ်","ကျောက်တော် ရပ်ကွက်",0706003
