Region,"Town / Township","Quarter / Village Tract","Postal Code"
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","နွယ်ခွေ ကျေးရွာအုပ်စု",1102200
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ကုန်းတလပေါင် ကျေးရွာအုပ်စု",1102201
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ရွှေနံ့သာ ကျေးရွာအုပ်စု",1102203
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ပျဉ်းမပင် ကျေးရွာအုပ်စု",1102204
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","သင်္ဃန်းကျွန်းကြီး ကျေးရွာအုပ်စု",1102205
ရန်ကုန်တိုင်းဒေသကြီး,"ရွှေပြည်သာ မြို့နယ်","အုပ်ဖို ကျေးရွာအုပ်စု",1125200
ရန်ကုန်တိုင်းဒေသကြီး,"ရွှေပြည်သာ မြို့နယ်","ဇီးကုန်း ကျေးရွာအုပ်စု",1125201
ရန်ကုန်တိုင်းဒေသကြီး,"ရွှေပြည်သာ မြို့နယ်","ကျောင်းကုန်း ကျေးရွာအုပ်စု",1125202
ရန်ကုန်တိုင်းဒေသကြီး,"ရွှေပြည်သာ မြို့နယ်","လှော်ကား ကျေးရွာအုပ်စု",1125203
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ရခိုင်ချောင် (တောင်) ကျေးရွာအုပ်စု",1126200
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ရခိုင်ချောင် (မြောက်) ကျေးရွာအုပ်စု",1126201
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ဓနုတ်စံပြ ကျေးရွာအုပ်စု",1126202
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ညောင်ချောင်း ကျေးရွာအုပ်စု",1126203
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","တုံးတင်ဂံ (တောင်) ကျေးရွာအုပ်စု",1126204
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","တုံးတင်ဂံ (မြောက်) ကျေးရွာအုပ်စု",1126205
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ဘိုးဖြူချောင်း ကျေးရွာအုပ်စု",1126206
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ခနောင် (ရွာမ) ကျေးရွာအုပ်စု",1126207
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ခနောင် (အထက်) ကျေးရွာအုပ်စု",1126208
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ခနောင် (ရှမ်းစု) ကျေးရွာအုပ်စု",1126209
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","တံတားချောင်း ကျေးရွာအုပ်စု",1126210
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ရဲချောင်း ကျေးရွာအုပ်စု",1126211
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","သပြေကုန်း ကျေးရွာအုပ်စု",1126212
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ညောင်ငုတ်တို ကျေးရွာအုပ်စု",1126213
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ထော် (အောက်) ကျေးရွာအုပ်စု",1126214
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ရဲချောင်းဝ ကျေးရွာအုပ်စု",1126215
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ပျော်ဘွယ်ကြီး ကျေးရွာအုပ်စု",1126216
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ရွှေလှေချောင် ကျေးရွာအုပ်စု",1126217
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ညောင်ပင် ကျေးရွာအုပ်စု",1126218
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ကျွဲလူးအိုင် ကျေးရွာအုပ်စု",1126219
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","သမ္ဘာန်ချောင်း ကျေးရွာအုပ်စု",1126220
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","ထူးကြီး ကျေးရွာအုပ်စု",1126221
ရန်ကုန်တိုင်းဒေသကြီး,"ဒလ မြို့နယ်","သရောတန်း ကျေးရွာအုပ်စု",1126222
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဝင်းခနီး ကျေးရွာအုပ်စု",1129200
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဖားကူး (အရှေ့) ကျေးရွာအုပ်စု",1129201
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဖားကူး (အနောက်) ကျေးရွာအုပ်စု",1129202
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဒေးဇတ် ကျေးရွာအုပ်စု",1129203
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ရုံးသပြေကန် ကျေးရွာအုပ်စု",1129204
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","မင်္ဂလွန်း ကျေးရွာအုပ်စု",1129205
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဘောသပြေကန် ကျေးရွာအုပ်စု",1129206
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ကရင်ဆိပ် ကျေးရွာအုပ်စု",1129207
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","သပြေကုန်း ကျေးရွာအုပ်စု",1129208
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ပုဂံတောင် ကျေးရွာအုပ်စု",1129209
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","အလွန်းဆုတ် ကျေးရွာအုပ်စု",1129210
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ကျောင်းကုန်းဆိပ်ကြီး (ခ) ဂျမား ကျေးရွာအုပ်စု",1129211
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","လက်ယက်စမ်း ကျေးရွာအုပ်စု",1129212
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","သူဌေးကွင်း ကျေးရွာအုပ်စု",1129213
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","စစ်ပင်ကွင်း ကျေးရွာအုပ်စု",1129214
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဘယက် ကျေးရွာအုပ်စု",1129215
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ငါးဗြေမ ကျေးရွာအုပ်စု",1129216
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","င/ပ ကျေးရွာအုပ်စု",1129217
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","သနပ်ပင် ကျေးရွာအုပ်စု",1129218
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဗိုလ်ချုပ် ကျေးရွာအုပ်စု",1129219
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ညောင်သုံးပင် ကျေးရွာအုပ်စု",1129220
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဘုရားကုန်း ကျေးရွာအုပ်စု",1129221
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","လဟာယက် ကျေးရွာအုပ်စု",1129222
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ကဒတ်ဖျာ ကျေးရွာအုပ်စု",1129223
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ညောင်လေးပင် ကျေးရွာအုပ်စု",1129224
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ကုလားဝဲ ကျေးရွာအုပ်စု",1129225
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ဆေးလုံးကြီး ကျေးရွာအုပ်စု",1129226
ရန်ကုန်တိုင်းဒေသကြီး,"သန်လျင် မြို့နယ်","ချောင်းစောက် ကျေးရွာအုပ်စု",1129227
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ကန်ပြောင် ကျေးရွာအုပ်စု",1130200
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ပီလခတ် ကျေးရွာအုပ်စု",1130201
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ကျုံကန် ကျေးရွာအုပ်စု",1130202
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ဝဲကြီး ကျေးရွာအုပ်စု",1130203
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ရွာသစ်ကြီး ကျေးရွာအုပ်စု",1130204
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ကြံပင် ကျေးရွာအုပ်စု",1130205
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","သောင်ကြီး ကျေးရွာအုပ်စု",1130206
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ကရင်ချောင် ကျေးရွာအုပ်စု",1130207
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ဇွဲကနာ ကျေးရွာအုပ်စု",1130208
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","အစဲ ကျေးရွာအုပ်စု",1130209
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","မင်္ဂလွန်း ကျေးရွာအုပ်စု",1130210
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","နရွဲချောင် ကျေးရွာအုပ်စု",1130211
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","စစ်တပင် ကျေးရွာအုပ်စု",1130212
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","မြကိုင်း ကျေးရွာအုပ်စု",1130213
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","ဘိုးဘ ကျေးရွာအုပ်စု",1130214
ရန်ကုန်တိုင်းဒေသကြီး,"ကျောက်တန်း မြို့နယ်","သနပ္ပင်ချင်း ကျေးရွာအုပ်စု",1130215
