Region,"Town / Township","Quarter / Village Tract","Postal Code"
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ကမ်းနား (အနောက်) ရပ်ကွက်",1101001
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ကမ်းနား (အလယ်) ရပ်ကွက်",1101002
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ကွက်သစ် ရပ်ကွက်",1101003
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ပေါက်တော ရပ်ကွက်",1101004
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ဈေးကုန်း (အနောက်) ရပ်ကွက်",1101005
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ဈေးကုန်း (အရှေ့) ရပ်ကွက်",1101006
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ပိန်းနှဲကုန်း ရပ်ကွက်",1101007
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","မြို့သစ် (က+ခ) ရပ်ကွက်",1101008
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","မြို့သစ် (ဂ) ရပ်ကွက်",1101009
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ကြို့ကုန်း (အနောက်) ရပ်ကွက်",1101010
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ကြို့ကုန်း (အရှေ့) ရပ်ကွက်",1101011
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","စော်ဘွားကြီးကုန်း ရပ်ကွက်",1101012
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","နံ့သာကုန်း ရပ်ကွက်",1101013
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","တောင်သူကုန်း ရပ်ကွက်",1101014
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ရွာမ (အရှေ့) ရပ်ကွက်",1101015
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ရွာမ (အလယ်) ရပ်ကွက်",1101016
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ရွာမ (အနောက်) ရပ်ကွက်",1101017
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","ဖော့ကန် ရပ်ကွက်",1101018
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","စဉ့်ငူ ရပ်ကွက်",1101019
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","အောင်ဆန်း ရပ်ကွက်",1101020
ရန်ကုန်တိုင်းဒေသကြီး,"အင်းစိန် မြို့နယ်","တညင်းကုန်း ရပ်ကွက်",1101021
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ကြံခင်းစု ရပ်ကွက်",1102001
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","အနန်းပင် ရပ်ကွက်",1102002
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ချစ်တီးကုန်း ရပ်ကွက်",1102003
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","အမှတ် (၂) (က) ရပ်ကွက်",1102004
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","အမှတ် (၂) (ခ) ရပ်ကွက်",1102005
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","အမှတ် (၃) (က) ရပ်ကွက်",1102006
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","အမှတ် (၃) (ခ) ရပ်ကွက်",1102007
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","စမ်းကြီးဝ ရပ်ကွက်",1102008
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","တပ်မတော်စံပြ ရပ်ကွက်",1102009
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ပေါက်ကုန်း ရပ်ကွက်",1102010
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","မင်္ဂလာဒုံဈေး ရပ်ကွက်",1102011
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ပြန်လည်နေရာချထားရေး ရပ်ကွက်",1102012
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",1102013
ရန်ကုန်တိုင်းဒေသကြီး,"မင်္ဂလာဒုံ မြို့နယ်","တောတိုက် ရပ်ကွက်",1102014
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1103001
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1103002
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","က ရပ်ကွက်",1103003
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ခ ရပ်ကွက်",1103004
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဂ ရပ်ကွက်",1103005
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဃ ရပ်ကွက်",1103006
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","င ရပ်ကွက်",1103007
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","စ ရပ်ကွက်",1103008
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဆ ရပ်ကွက်",1103009
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဇ ရပ်ကွက်",1103010
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဈ ရပ်ကွက်",1103011
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ည ရပ်ကွက်",1103012
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဋ ရပ်ကွက်",1103013
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဌ ရပ်ကွက်",1103014
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","တံတားကြီး ရပ်ကွက်",1103015
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ကျောက်ရေတွင်း ရပ်ကွက်",1103016
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ပုရွက်ဆိတ်ကုန်း ရပ်ကွက်",1103017
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ဝေဘာဂီမြို့သစ် ရပ်ကွက်",1103018
ရန်ကုန်တိုင်းဒေသကြီး,"မြောက်ဥက္ကလာပ မြို့နယ်","ရွှေပေါက်ကံမြို့သစ် ရပ်ကွက်",1103019
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1104001
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1104002
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1104003
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1104004
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1104005
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",1104006
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",1104007
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၈) ရပ်ကွက်",1104008
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၉) ရပ်ကွက်",1104009
ရန်ကုန်တိုင်းဒေသကြီး,"ကမာရွတ် မြို့နယ်","အမှတ် (၁၀) ရပ်ကွက်",1104010
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1105001
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1105002
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1105003
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1105004
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1105005
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",1105006
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",1105007
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၈) ရပ်ကွက်",1105008
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၉) ရပ်ကွက်",1105009
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၀) ရပ်ကွက်",1105010
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၁) ရပ်ကွက်",1105011
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၂) ရပ်ကွက်",1105012
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၃) ရပ်ကွက်",1105013
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၄) ရပ်ကွက်",1105014
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၅) ရပ်ကွက်",1105015
ရန်ကုန်တိုင်းဒေသကြီး,"လှိုင် မြို့နယ်","အမှတ် (၁၆) ရပ်ကွက်",1105016
ရန်ကုန်တိုင်းဒေသကြီး,"မရမ်းကုန်း မြို့နယ်","အမှတ် (၁) (သမိုင်းဘူတာအနောက်) ရပ်ကွက်",1106001
ရန်ကုန်တိုင်းဒေသကြီး,"မရမ်းကုန်း မြို့နယ်","အမှတ် (၂) (သမိုင်းမြို့) ရပ်ကွက်",1106002
