Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ညောင်ဖြူစခန်း ရပ်ကွက်",0601001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မင်္ဂလာဦး ရပ်ကွက်",0601002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0601003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရတနာသီရိ ရပ်ကွက်",0601004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ညောင်ရွှေဟော်ကုန်း ရပ်ကွက်",0601005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရေအေးကွင်း ရပ်ကွက်",0601006
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကန်အောက် ရပ်ကွက်",0601007
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ချမ်းမြသာစည် ရပ်ကွက်",0601008
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0601009
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရွှေတောင် ရပ်ကွက်",0601010
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံအောက် ရပ်ကွက်",0601011
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","လမ်းမတော် ရပ်ကွက်",0601012
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဟော်ကုန်း ရပ်ကွက်",0601013
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","စိန်ပန်း ရပ်ကွက်",0601014
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံသာ ရပ်ကွက်",0601015
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မြို့မ ရပ်ကွက်",0601016
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","သစ်တော ရပ်ကွက်",0601017
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ချမ်းသာ ရပ်ကွက်",0601018
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကျောင်းကြီးစု ရပ်ကွက်",0601019
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","စပ်စံထွန်း ရပ်ကွက်",0601020
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဘုရားဖြူ ရပ်ကွက်",0601021
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံကြီး ရပ်ကွက်",0601022
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နန်းဟောင်း ကျေးရွာအုပ်စု",0601200
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","လွယ်ကော် ကျေးရွာအုပ်စု",0601201
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မင်္ဂလာ ကျေးရွာအုပ်စု",0601202
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နန်းဟူး ကျေးရွာအုပ်စု",0601203
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဖက်ကွန် ကျေးရွာအုပ်စု",0601204
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်လေ ကျေးရွာအုပ်စု",0601205
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဖာမွန်း ကျေးရွာအုပ်စု",0601206
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ထီဖောင်း ကျေးရွာအုပ်စု",0601207
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နမ်းဆီး ကျေးရွာအုပ်စု",0601208
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပန်းတင် ကျေးရွာအုပ်စု",0601209
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မိုင်းသော် (အရှေ့) ကျေးရွာအုပ်စု",0601210
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မိုင်းသော် (အနောက်) ကျေးရွာအုပ်စု",0601211
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဘန့်ကွေး ကျေးရွာအုပ်စု",0601212
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","တောင်လေးလုံး ကျေးရွာအုပ်စု",0601213
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","သံတဲ ကျေးရွာအုပ်စု",0601214
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကွန်လုံ ကျေးရွာအုပ်စု",0601215
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကျောက်နီ ကျေးရွာအုပ်စု",0601216
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ကား ကျေးရွာအုပ်စု",0601217
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","အသုံးတော် ကျေးရွာအုပ်စု",0601218
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နားဟီး ကျေးရွာအုပ်စု",0601219
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ခဲ ကျေးရွာအုပ်စု",0601220
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကက္ကူ ကျေးရွာအုပ်စု",0601221
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပင်တွန် ကျေးရွာအုပ်စု",0601222
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ပစ် ကျေးရွာအုပ်စု",0601223
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0602001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0602002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",0602003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",0602004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",0602005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",0602006
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",0602007
