Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နန်းဟောင်း ကျေးရွာအုပ်စု",0601200
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","လွယ်ကော် ကျေးရွာအုပ်စု",0601201
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မင်္ဂလာ ကျေးရွာအုပ်စု",0601202
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နန်းဟူး ကျေးရွာအုပ်စု",0601203
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဖက်ကွန် ကျေးရွာအုပ်စု",0601204
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်လေ ကျေးရွာအုပ်စု",0601205
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဖာမွန်း ကျေးရွာအုပ်စု",0601206
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ထီဖောင်း ကျေးရွာအုပ်စု",0601207
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နမ်းဆီး ကျေးရွာအုပ်စု",0601208
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပန်းတင် ကျေးရွာအုပ်စု",0601209
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မိုင်းသော် (အရှေ့) ကျေးရွာအုပ်စု",0601210
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မိုင်းသော် (အနောက်) ကျေးရွာအုပ်စု",0601211
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဘန့်ကွေး ကျေးရွာအုပ်စု",0601212
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","တောင်လေးလုံး ကျေးရွာအုပ်စု",0601213
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","သံတဲ ကျေးရွာအုပ်စု",0601214
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကွန်လုံ ကျေးရွာအုပ်စု",0601215
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကျောက်နီ ကျေးရွာအုပ်စု",0601216
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ကား ကျေးရွာအုပ်စု",0601217
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","အသုံးတော် ကျေးရွာအုပ်စု",0601218
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နားဟီး ကျေးရွာအုပ်စု",0601219
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ခဲ ကျေးရွာအုပ်စု",0601220
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကက္ကူ ကျေးရွာအုပ်စု",0601221
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပင်တွန် ကျေးရွာအုပ်စု",0601222
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","နောင်ပစ် ကျေးရွာအုပ်စု",0601223
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","လမိုင်း ကျေးရွာအုပ်စု",0602200
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","နန်းနိုင် ကျေးရွာအုပ်စု",0602201
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","လွယ်အံ ကျေးရွာအုပ်စု",0602202
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","မြင်းမထိ ကျေးရွာအုပ်စု",0602203
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","တောင်လား ကျေးရွာအုပ်စု",0602204
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","တောင်ကွဲ ကျေးရွာအုပ်စု",0602205
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","ဝက်ဖြူရေ ကျေးရွာအုပ်စု",0602206
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","ရွှေမင်းဖုန်း ကျေးရွာအုပ်စု",0602207
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","နန်းတိုင်း ကျေးရွာအုပ်စု",0602208
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","ကမ္ဘားနီ ကျေးရွာအုပ်စု",0602209
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","ရေချို ကျေးရွာအုပ်စု",0602210
