Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ညောင်ဖြူစခန်း ရပ်ကွက်",0601001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မင်္ဂလာဦး ရပ်ကွက်",0601002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0601003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရတနာသီရိ ရပ်ကွက်",0601004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ညောင်ရွှေဟော်ကုန်း ရပ်ကွက်",0601005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရေအေးကွင်း ရပ်ကွက်",0601006
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကန်အောက် ရပ်ကွက်",0601007
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ချမ်းမြသာစည် ရပ်ကွက်",0601008
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဈေးပိုင်း ရပ်ကွက်",0601009
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ရွှေတောင် ရပ်ကွက်",0601010
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံအောက် ရပ်ကွက်",0601011
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","လမ်းမတော် ရပ်ကွက်",0601012
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဟော်ကုန်း ရပ်ကွက်",0601013
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","စိန်ပန်း ရပ်ကွက်",0601014
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံသာ ရပ်ကွက်",0601015
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","မြို့မ ရပ်ကွက်",0601016
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","သစ်တော ရပ်ကွက်",0601017
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ချမ်းသာ ရပ်ကွက်",0601018
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကျောင်းကြီးစု ရပ်ကွက်",0601019
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","စပ်စံထွန်း ရပ်ကွက်",0601020
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ဘုရားဖြူ ရပ်ကွက်",0601021
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","တောင်ကြီး မြို့နယ်","ကံကြီး ရပ်ကွက်",0601022
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",0602001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",0602002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",0602003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",0602004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",0602005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",0602006
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",0602007
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၈) ရပ်ကွက်",0602008
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၉) ရပ်ကွက်",0602009
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၁၀) ရပ်ကွက်",0602010
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ကလော မြို့နယ်","အမှတ် (၁၁) ရပ်ကွက်",0602011
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ဆူးဗိုကုန်း ရပ်ကွက်",0603001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ရှမ်း ရပ်ကွက်",0603002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ဈေးတန်း ရပ်ကွက်",0603003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ဆင်ခေါင်း ရပ်ကွက်",0603004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ရွာသစ်စေတီကုန်း ရပ်ကွက်",0603005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","အော်ယော ရပ်ကွက်",0603006
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ရွာငယ် ရပ်ကွက်",0603007
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ဟော်ကုန်း ရပ်ကွက်",0603008
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","အနောက် ရပ်ကွက်",0603009
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ပေါက်တော ရပ်ကွက်",0603010
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ငှက်ပျောတော ရပ်ကွက်",0603011
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","ပြည်တော်သာ ရပ်ကွက်",0603012
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်းတယ မြို့နယ်","သီရိမင်္ဂလာရပ်ကွက် ရပ်ကွက်",0603013
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ရွာငံ မြို့နယ်","မြို့ကုန်း ရပ်ကွက်",0604001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ရွာငံ မြို့နယ်","ရွာမ ရပ်ကွက်",0604002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ရွာငံ မြို့နယ်","ဈေးတန်း ရပ်ကွက်",0604003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","ဘန့်ဖယ် ရပ်ကွက်",0605001
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","ဘုရားမြောက် ရပ်ကွက်",0605002
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","အရှေ့ ရပ်ကွက်",0605003
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","အနောက် ရပ်ကွက်",0605004
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","ဈေးတန်း ရပ်ကွက်",0605005
"ရှမ်းပြည်နယ် (တောင်ပိုင်း)","ပင်လောင်း မြို့နယ်","ရုံးဝင်း ရပ်ကွက်",0605006
