Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဟူးမွန် ကျေးရွာအုပ်စု",1601200
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မန်အိုင် ကျေးရွာအုပ်စု",1601201
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မယ်ဟန် ကျေးရွာအုပ်စု",1601202
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","လွယ်တောက် ကျေးရွာအုပ်စု",1601203
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","နမ့်တွန်း ကျေးရွာအုပ်စု",1601204
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဝိန်းထန် ကျေးရွာအုပ်စု",1601205
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ကုန်းဆာ ကျေးရွာအုပ်စု",1601206
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","တာပုံ ကျေးရွာအုပ်စု",1601207
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဟိုနမ့် ကျေးရွာအုပ်စု",1601208
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မန်ကပ် ကျေးရွာအုပ်စု",1601209
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မန်ပြိန်း ကျေးရွာအုပ်စု",1601210
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မတ်ချိနု ကျေးရွာအုပ်စု",1601211
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဟိုပိတ် ကျေးရွာအုပ်စု",1601212
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ကောင်းကြဲ ကျေးရွာအုပ်စု",1601213
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဆွမ်ကွယ် ကျေးရွာအုပ်စု",1601214
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ဟိုနား ကျေးရွာအုပ်စု",1601215
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","အီနိုင်း ကျေးရွာအုပ်စု",1601216
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","နားကွမ်းလုံ ကျေးရွာအုပ်စု",1601217
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ကောင်းကြဲ (အီ) ကျေးရွာအုပ်စု",1601218
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","နမ့်ပေါင် ကျေးရွာအုပ်စု",1601219
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ခုန်စုန် ကျေးရွာအုပ်စု",1601220
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","လုပ်ဝိုင် ကျေးရွာအုပ်စု",1601221
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မန်စယ် ကျေးရွာအုပ်စု",1601222
