Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","သီရိမဟာ ရပ်ကွက်",1601001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","အောင်မေတ္တာ ရပ်ကွက်",1601002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ရွှေဘုံသာ ရပ်ကွက်",1601003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","အာရုံတော် ရပ်ကွက်",1601004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","အောင်မင်္ဂလာ ရပ်ကွက်",1601005
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","ရွှေလီ ရပ်ကွက်",1601006
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","သံလွင် ရပ်ကွက်",1601007
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","အောင်သီတာ ရပ်ကွက်",1601008
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မြန်မာခါးရိုး ရပ်ကွက်",1601009
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","မြို့ဝမ် ရပ်ကွက်",1601010
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","နမ့်ပါချီး ရပ်ကွက်",1601011
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","လားရှိုး မြို့နယ်","လားရှိုးကြီး ရပ်ကွက်",1601012
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","သိန္နီ မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1602001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","သိန္နီ မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1602002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","သိန္နီ မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1602003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","သိန္နီ မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1602004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မိုင်းရယ် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1603001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မိုင်းရယ် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1603002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မိုင်းရယ် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1603003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1604001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1604002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1604003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1604004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1604005
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","ဝိန်းလောင်း ရပ်ကွက်",1604006
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","မန်လွယ် ရပ်ကွက်",1604007
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","နောင်မို ရပ်ကွက်",1604008
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","မန်စန် ရပ်ကွက်",1604009
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","တန့်ယန်း မြို့နယ်","ဟိုနမ့် ရပ်ကွက်",1604010
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ပန်ဆန်း (ပန်ခမ်း) မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1605001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ပန်ဆန်း (ပန်ခမ်း) မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1605002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ပန်ဆန်း (ပန်ခမ်း) မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1605003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","ခရစ်ယာန် ရပ်ကွက်",1609001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","ဈေး ရပ်ကွက်",1609002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","တောင် ရပ်ကွက်",1609003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","ဟိုမွန် ရပ်ကွက်",1609004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","မြောက် ရပ်ကွက်",1609005
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","ကောင်းနောင် ရပ်ကွက်",1609006
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","စွမ်တော် ရပ်ကွက်",1609007
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","တော်ရွက် ရပ်ကွက်",1609008
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","မူဆယ် မြို့နယ်","ကောင်းမူးတုံ ရပ်ကွက်",1609009
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1610001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1610002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1610003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1610004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1610005
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",1610006
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",1610007
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၈) ရပ်ကွက်",1610008
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၉) ရပ်ကွက်",1610009
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁၀) ရပ်ကွက်",1610010
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁၁) ရပ်ကွက်",1610011
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁၂) ရပ်ကွက်",1610012
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁၃) ရပ်ကွက်",1610013
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","နမ့်ခမ်း မြို့နယ်","အမှတ် (၁၄) ရပ်ကွက်",1610014
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ကွတ်ခိုင် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1611001
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ကွတ်ခိုင် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1611002
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ကွတ်ခိုင် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1611003
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ကွတ်ခိုင် မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1611004
"ရှမ်းပြည်နယ် (မြောက်ပိုင်း)","ကွတ်ခိုင် မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1611005
