Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1701001
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1701002
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1701003
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1701004
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1701005
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ကတ်တောင် ကျေးရွာအုပ်စု",1701200
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ကတ်ထိုက် ကျေးရွာအုပ်စု",1701201
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ကတ်ဖ ကျေးရွာအုပ်စု",1701202
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","တာလေ ကျေးရွာအုပ်စု",1701203
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နမ့်ခတ် ကျေးရွာအုပ်စု",1701204
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နမ့်နီ/နမ့်လုံ ကျေးရွာအုပ်စု",1701205
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နမ့်အင်း ကျေးရွာအုပ်စု",1701206
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နားပေါ် ကျေးရွာအုပ်စု",1701207
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နောင်ကုန် ကျေးရွာအုပ်စု",1701208
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","နောင်တောင်း ကျေးရွာအုပ်စု",1701209
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ပင်းတောက် ကျေးရွာအုပ်စု",1701210
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ပန်ကြူ ကျေးရွာအုပ်စု",1701211
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","ပန်မတ် ကျေးရွာအုပ်စု",1701212
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းကိုင် ကျေးရွာအုပ်စု",1701213
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းငွန်း ကျေးရွာအုပ်စု",1701214
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းဇင်း ကျေးရွာအုပ်စု",1701215
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းဒခွန် ကျေးရွာအုပ်စု",1701216
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းနော့/ဖာတ ကျေးရွာအုပ်စု",1701217
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းပတ် (အထက်) ကျေးရွာအုပ်စု",1701218
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းပတ် (အောက်) ကျေးရွာအုပ်စု",1701219
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","မိုင်းပန် (လယ်) ကျေးရွာအုပ်စု",1701220
