Region,"Town / Township","Quarter / Village Tract","Postal Code"
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1701001
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1701002
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1701003
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1701004
"ရှမ်းပြည်နယ် (အရှေ့)","ကျိုင်းတုံ မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1701005
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းခတ် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1702001
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းခတ် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1702002
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ကျိန်းဟင် ရပ်ကွက်",1703001
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ဈေးတန်း ရပ်ကွက်",1703002
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ပါနွမ်း ရပ်ကွက်",1703003
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ပါမိုင် ရပ်ကွက်",1703004
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","မွန်ကဲ ရပ်ကွက်",1703005
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","မိုင်းပိန်း ရပ်ကွက်",1703006
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","မောက်မိုင် ရပ်ကွက်",1703007
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ဝိန်းလိတ် ရပ်ကွက်",1703008
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ဟိုကပ် ရပ်ကွက်",1703009
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ဟော်ကဲ ရပ်ကွက်",1703010
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းယန်း မြို့နယ်","ဟော်ဟိုက် ရပ်ကွက်",1703011
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းလား မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1704001
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းလား မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1704002
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","ကျဒယ် ရပ်ကွက်",1705001
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","မယ်ဆွမ်တောင် ရပ်ကွက်",1705002
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","မယ်ဆွမ်မြောက် ရပ်ကွက်",1705003
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","မြို့သစ် ရပ်ကွက်",1705004
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","ဝိန်းနေ ရပ်ကွက်",1705005
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းဆတ် မြို့နယ်","ဝိန်းဝိုင် ရပ်ကွက်",1705006
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းပျဉ်း မြို့နယ်","ပိန်းဆန်း ရပ်ကွက်",1706001
"ရှမ်းပြည်နယ် (အရှေ့)","မိုင်းပျဉ်း မြို့နယ်","အလယ်ပိုင်း ရပ်ကွက်",1706002
